kicks_prop,marks_prop,handballs_prop,disposals_prop,effective_disposals,disposal_efficiency_percentage,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,clangers,free_kicks_for,free_kicks_against,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,one_percenters,bounces,goal_assists_prop,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers_prop,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,shots_at_goal_prop,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
0.03592814371257485,0.043478260869565216,0.004878048780487805,0.02411873840445269,11,85,0,0,0.03759398496240601,0.05063291139240506,0.02666666666666667,1,1,0,0.025423728813559324,0.023411371237458192,0.11538461538461539,0,0,0,0,81,77,97,0,2,1,307,0.01904761904761905,3,1,3,10,0,1,3,1,14,9.2,0,0,0,22,8,7,50,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0.9954956769943237,0.0039047382306307554,5.452936165966094e-4,5.429853990790434e-5,0.005158221083547687,0,Matthew Kennedy,0,15802,11,Carlton,2020,0
0.03367875647668394,0.011560693641618497,0.029508196721311476,0.03183791606367583,15,68,0,0,0.03488372093023256,0.08139534883720931,0.058823529411764705,6,0,3,0.03463203463203463,0.033112582781456956,0,0,0,1,0,73,66,70,3,0,2,469,0.05785123966942149,1,0,17,7,1,7,0,1,20,7.7,1,0,0,30,5,5,35,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0.99783855676651,0.0015230528078973293,3.353209758643061e-4,3.031025407835841e-4,0.003103002381976694,0,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,0
0.0449438202247191,0.04225352112676056,0.034782608695652174,0.040955631399317405,20,83,0,0,0.02197802197802198,0.022727272727272728,0,4,1,1,0.022222222222222223,0.04011461318051576,0,0,1,1,0,84,88,93,0,0,5,559,0.05357142857142857,8,0,6,14,0,5,1,0,10,11.3,2,0,1,1,11,7,53,0,0,2,1,94,1,0,0,0,1,0,0,0,0,0.7935200929641724,0.11084529757499695,0.09050552546977997,0.005129080265760422,0.30724358931183815,0,Sam Docherty,1,15651,2,Carlton,2020,0
0.008746355685131196,0.01652892561983471,0.013513513513513514,0.010954616588419406,6,86,0,0,0,0.021739130434782608,0,1,0,0,0.011152416356877323,0.011049723756906077,0.047619047619047616,0,0,0,0,83,23,31,0,0,1,116,0.015748031496062992,0,0,1,3,0,2,0,0,9,3.1,0,0,0,3,11,8,59,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0.9997614026069641,2.2592257300857455e-4,6.662650321231922e-6,6.009543994878186e-6,2.5727650563567295e-4,0,Fischer McAsey,0,15765,8,Adelaide,2020,0
0.02346041055718475,0.03676470588235294,0.03488372093023256,0.028380634390651086,14,82,0.04,0,0.020618556701030927,0.02,0.01639344262295082,2,1,0,0.02575107296137339,0.03333333333333333,0,0.05,1,0,0.058823529411764705,77,72,85,1,0,5,129,0.021505376344086023,0,0,8,6,0,3,0,1,11,7.6,0,0.023809523809523808,0,24,6,11,72,0,0,0,0,41,1,0,0,0,0,0,0,0,1,0.9991725087165833,7.18995404895395e-4,8.042216359172016e-5,2.8038775781169534e-5,9.63956059422344e-4,0,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,0
0.026954177897574125,0.009615384615384616,0.03111111111111111,0.028523489932885907,11,65,0,0,0.04807692307692308,0.029411764705882353,0.1016949152542373,4,2,1,0.039568345323741004,0.01718213058419244,0,0,1,0,0,88,66,77,4,2,3,244,0.019867549668874173,3,1,8,4,1,6,0,0,19,9.9,0,0,1,7,11,7,53,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0.9981871247291565,0.0012294237967580557,5.098333349451423e-4,7.359018491115421e-5,0.002469861021381803,0,James Worpel,0,15763,8,Hawthorn,2020,0
0.02932551319648094,0,0.017391304347826087,0.024518388791593695,6,43,0,0,0.023529411764705882,0.027777777777777776,0.03571428571428571,1,1,1,0.009009009009009009,0.034782608695652174,0,0,0,0,0,77,44,44,1,1,2,258,0.052083333333333336,0,1,7,3,0,0,0,0,10,0.2,0,0,0,66,3,18,111,0,0,0,0,110,0,1,1,0,0,0,0,0,0,0.99982750415802,1.2457407137844712e-4,3.389070843695663e-5,1.4041005670151208e-5,2.34478505262814e-4,0,Dom Sheed,0,15766,8,West Coast,2020,0
0.002770083102493075,0.007246376811594203,0.014760147601476014,0.007911392405063292,4,80,0,0,0.05555555555555555,0,0.015151515151515152,2,1,2,0.019230769230769232,0.0027548209366391185,0.058823529411764705,0.058823529411764705,4,0,0,80,45,88,0,1,1,10,0,0,0,8,0,0,0,0,0,13,10.9,0,0.027777777777777776,1,17,10,6,46,0,0,0,0,195,1,0,0,0,0,0,0,1,0,0.9989436268806458,7.587055442854762e-4,2.2590898151975125e-4,7.174974598456174e-5,0.001425772745278664,0,Shane Mumford,0,15748,6,Greater Western Sydney,2020,0
0.005865102639296188,0.007352941176470588,0.011627906976744186,0.008347245409015025,5,100,0,0,0.010309278350515464,0,0,4,0,3,0.012875536480686695,0.002777777777777778,0.07142857142857142,0,3,0,0,81,10,23,0,0,0,29,0.010752688172043012,3,0,5,2,0,2,1,0,6,1.5,0,0,3,24,6,11,72,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0.9999170303344727,6.505336205009371e-5,1.6360849258489907e-5,1.5663356407458195e-6,1.0247406748931098e-4,0,Ryan Gardner,0,15801,11,Western Bulldogs,2020,0
0.014577259475218658,0.03355704697986577,0.03875968992248062,0.024958402662229616,14,93,0.06666666666666667,0,0,0.013888888888888888,0.01639344262295082,1,0,0,0.013574660633484163,0.031746031746031744,0,0.0625,1,0,0,91,56,70,0,1,2,126,0.008695652173913044,3,0,4,4,1,3,1,0,10,8.7,1,0.03225806451612903,1,24,2,10,62,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0.9994082450866699,4.028863331768662e-4,1.0339883738197386e-4,8.546841854695231e-5,8.660892635816708e-4,0,Josh Daicos,0,15806,11,Collingwood,2020,0
