kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
4,1,6,10,5,50,1,2,3,5,0,1,1,1,0,0,5,7,0,1,0,0,0,76,58,60,0,1,5,130,1,0,5,0,0,2,0,3,1,3,5,0,25,0,1,19,7.4,12,1,3,0,26,7,11,73,0,0,0,0,280,0.012738853503184714,0.009259259259259259,0.021739130434782608,0.01694915254237288,0.07142857142857142,0.25,0.05263157894736842,0.012345679012345678,0.014705882352941176,0.021367521367521368,0.0196078431372549,0,0.14285714285714285,0,0.008928571428571428,0.1111111111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.09168866276741028,Justin Westhoff,0,15829,14,Port Adelaide,2020,34,0
12,3,4,16,13,81,0,0,0,0,7,1,1,2,1,0,4,10,0,0,2,0,0,83,54,78,0,1,4,351,2,4,0,1,2,0,0,3,9,0,4,0,0,1,0,5,10.8,0,2,0,1,30,8,6,44,0,0,0,0,131,0.04013377926421405,0.02654867256637168,0.017241379310344827,0.030131826741996232,0,0,0,0.013513513513513514,0.015384615384615385,0.021621621621621623,0.02881844380403458,0,0,0,0.02666666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022231992334127426,Nathan Wilson,0,15864,18,Fremantle,2020,27,0
12,2,8,20,12,60,0,0,0,3,0,5,2,3,1,0,5,15,0,0,0,0,2,86,71,76,2,0,3,356,6,0,0,0,0,0,0,3,7,1,3,0,0,0,1,13,6.7,0,0,1,0,12,7,7,49,0,0,0,0,153,0.037383177570093455,0.0125,0.036036036036036036,0.03683241252302026,0,0,0.0379746835443038,0.07352941176470588,0.03278688524590164,0.02577319587628866,0.04155124653739612,0,0,0.15384615384615385,0.06315789473684211,0.03571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.024058738723397255,Toby Greene,0,15824,13,Greater Western Sydney,2020,34,0
10,1,13,23,16,70,0,1,0,4,3,2,3,2,1,0,11,14,0,0,2,0,0,83,77,98,1,2,3,284,3,1,0,0,0,1,0,8,5,0,8,0,0,0,0,23,14.4,0,1,1,0,51,9,8,57,0,0,0,0,117,0.030120481927710843,0.0070921985815602835,0.044673539518900345,0.03691813804173355,0,0.09090909090909091,0.05970149253731343,0.02531645569620253,0.04918032786885246,0.05045871559633028,0.03508771929824561,0,0,0,0.030927835051546393,0.024390243902439025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.002970706671476364,Touk Miller,0,15862,18,Gold Coast,2020,28,0
7,4,3,10,7,70,0,0,0,3,2,2,1,2,0,1,4,7,0,0,2,0,0,86,48,63,0,1,3,224,4,4,0,0,1,0,0,6,5,0,4,0,0,0,0,11,2.7,0,0,0,2,4,11,7,53,0,0,0,0,52,0.022364217252396165,0.03418803418803419,0.015384615384615385,0.01968503937007874,0,0,0.030927835051546393,0.02702702702702703,0.018518518518518517,0.01818181818181818,0.024822695035460994,0,0,0,0.03669724770642202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01062924787402153,Callum Ah Chee,0,15767,8,Brisbane Lions,2020,21,0
11,2,4,15,9,60,1,0,0,5,2,3,2,0,1,0,7,8,0,0,2,1,0,82,74,90,0,2,3,302,3,2,0,0,0,1,0,6,6,1,5,0,0,0,1,19,13.1,0,1,1,1,1,11,7,53,0,0,0,0,23,0.034161490683229816,0.01680672268907563,0.018779342723004695,0.028037383177570093,0.1,0,0.0625,0.03529411764705882,0.034482758620689655,0.035,0.024844720496894408,0,0,0,0.030303030303030304,0.03571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.21229194104671478,Michael Gibbons,0,15651,2,Carlton,2020,7,0
6,3,7,13,12,92,0,0,0,0,0,1,1,1,0,0,4,9,1,0,0,0,0,75,41,58,0,1,4,71,0,4,0,0,2,0,0,2,5,0,3,0,0,1,0,2,7.3,0,1,0,0,6,7,11,73,0,0,0,0,22,0.018518518518518517,0.02027027027027027,0.033816425120772944,0.02448210922787194,0,0,0,0.013157894736842105,0.017543859649122806,0.020512820512820513,0.028037383177570093,0.08333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.00946864578872919,Ben Paton,0,15744,6,St Kilda,2020,27,0
5,1,8,13,9,69,1,0,0,3,1,0,0,3,0,2,5,8,0,0,1,0,0,72,46,63,0,0,2,114,1,0,0,0,0,0,0,7,2,1,5,0,0,0,0,12,5.8,0,0,1,1,21,7,10,67,0,0,0,0,26,0.01557632398753894,0.008928571428571428,0.034482758620689655,0.023508137432188065,0.06666666666666667,0,0.031578947368421054,0,0,0.021645021645021644,0.025477707006369428,0,0,0,0.008547008547008548,0.02702702702702703,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01296937931329012,James Rowbottom,0,15837,15,Sydney,2020,31,0
2,1,7,9,7,78,0,0,0,1,1,0,0,2,0,0,3,6,0,0,3,0,0,88,27,39,0,0,1,46,1,4,0,0,1,0,0,8,1,0,3,0,0,0,0,10,5.2,0,0,0,2,75,5,5,35,0,0,0,0,22,0.005698005698005698,0.0072992700729927005,0.028225806451612902,0.015025041736227046,0,0,0.010869565217391304,0,0,0.012244897959183673,0.017241379310344827,0,0,0,0.008771929824561403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001594747882336378,Tom Doedee,0,15653,2,Adelaide,2020,25,0
17,3,12,29,22,76,0,0,0,3,2,7,6,1,2,1,9,17,0,0,0,0,1,76,95,124,4,2,8,430,4,2,0,0,0,0,0,6,12,0,7,0,0,0,1,12,11.6,0,1,0,0,33,12,13,90,1,1,10,0,171,0.05120481927710843,0.02702702702702703,0.047244094488188976,0.04948805460750853,0,0,0.03571428571428571,0.07692307692307693,0.08571428571428572,0.04225352112676056,0.049132947976878616,0,0,0.05555555555555555,0.037383177570093455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7074127197265625,Cameron Guthrie,3,15781,10,Geelong,2020,1,3
