player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Port Adelaide,75,73,382,104.26825957273832,2
Geelong,64,73,335,106.77309282758506,-9
Brisbane Lions,65,67,330,103.14624433999415,-2
St Kilda,60,66,281,82.70962774154032,-6
Western Bulldogs,61,61,315,90.0071479579201,0
Collingwood,61,60,269,84.6377571085468,1
West Coast,60,58,273,86.49273043283029,2
Melbourne,61,57,257,88.07106267294148,4
Fremantle,45,55,261,81.23208854056429,-10
Richmond,56,52,298,71.90906560636358,4
Greater Western Sydney,51,49,224,81.64012591406936,2
Carlton,47,43,230,75.7737935987534,4
Sydney,35,43,197,66.22094175894745,-8
Essendon,37,38,209,63.59986455645412,-1
North Melbourne,27,34,144,60.13286295614671,-7
Gold Coast,37,33,189,53.46269342501182,4
Hawthorn,30,32,164,54.28201095020631,-2
Adelaide,16,24,130,48.88351414719364,-8
