player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,29,93,32.376763224601746,2
Travis Boak,Port Adelaide,21,23,77,23.078384675085545,-2
Christian Petracca,Melbourne,20,21,78,24.20445862656925,-1
Jack Steele,St Kilda,20,19,72,19.328057158738375,1
Scott Pendlebury,Collingwood,13,15,43,15.872040009126067,-2
Taylor Adams,Collingwood,11,15,60,17.866655495017767,-4
Zach Merrett,Essendon,13,14,55,16.84469791688025,-1
Marcus Bontempelli,Western Bulldogs,10,14,59,17.157297149300575,-4
Sam Menegola,Geelong,5,14,41,16.111085752025247,-9
Dustin Martin,Richmond,15,13,42,13.502880501910113,2
Jack Macrae,Western Bulldogs,15,13,46,18.978831444401294,2
Luke Parker,Sydney,15,13,44,18.259711630642414,2
Patrick Dangerfield,Geelong,15,12,44,16.87317876331508,3
Cameron Guthrie,Geelong,14,12,48,16.299585103988647,2
Nat Fyfe,Fremantle,10,12,39,17.099257461726665,-2
Tom Rockliff,Port Adelaide,10,12,25,13.041853910544887,-2
Andrew Gaff,West Coast,8,12,29,15.820555330719799,-4
Zak Jones,St Kilda,7,12,37,12.353593908250332,-5
Andrew Brayshaw,Fremantle,9,10,34,9.668436678592116,-1
Jarryd Lyons,Brisbane Lions,9,10,39,14.456142324022949,-1
Josh Kelly,Greater Western Sydney,8,10,33,11.99008567724377,-2
Andrew McGrath,Essendon,7,10,37,9.350079500116408,-3
Nic Naitanui,West Coast,5,10,51,10.021691530942917,-5
Lachie Whitfield,Greater Western Sydney,4,10,40,14.111694909632206,-6
David Mundy,Fremantle,3,10,36,9.533176993951201,-7
Tom Hawkins,Geelong,11,9,35,10.160405262839049,2
Ollie Wines,Port Adelaide,10,9,43,12.85173671413213,1
Sam Walsh,Carlton,8,9,38,13.40655283536762,-1
Adam Treloar,Collingwood,4,9,24,6.949394024908543,-5
Joel Selwood,Geelong,3,9,27,7.797156181186438,-6
Clayton Oliver,Melbourne,14,8,34,15.998030368238688,6
Toby Greene,Greater Western Sydney,12,8,34,8.855597539804876,4
Tim Kelly,West Coast,11,8,34,10.41008238075301,3
Charlie Dixon,Port Adelaide,9,8,36,9.145849937573075,1
Luke Ryan,Fremantle,6,8,30,7.73102340195328,-2
Todd Goldstein,North Melbourne,5,8,32,10.634130691294558,-3
Hugh McCluggage,Brisbane Lions,4,8,30,10.878737416584045,-4
Matt Crouch,Adelaide,3,8,24,10.47472130204551,-5
Jack Billings,St Kilda,2,8,25,9.927680160850286,-6
