player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,29,93,29,2
Jack Steele,St Kilda,20,23,72,23,-3
Travis Boak,Port Adelaide,21,21,77,21,0
Christian Petracca,Melbourne,20,20,78,20,0
Jack Macrae,Western Bulldogs,15,18,46,18,-3
Zach Merrett,Essendon,13,17,55,17,-4
Taylor Adams,Collingwood,11,16,60,16,-5
Cameron Guthrie,Geelong,14,15,48,15,-1
Marcus Bontempelli,Western Bulldogs,10,15,59,15,-5
Clayton Oliver,Melbourne,14,14,34,14,0
Patrick Dangerfield,Geelong,15,13,44,13,2
Scott Pendlebury,Collingwood,13,12,43,12,1
Jarryd Lyons,Brisbane Lions,9,12,39,12,-3
Dustin Martin,Richmond,15,11,42,11,4
Tom Hawkins,Geelong,11,11,35,11,0
Luke Parker,Sydney,15,10,44,10,5
Nat Fyfe,Fremantle,10,10,39,10,0
Andrew Brayshaw,Fremantle,9,10,34,10,-1
Nic Naitanui,West Coast,5,10,56,10,-5
Rory Laird,Adelaide,4,10,33,10,-6
Tim Kelly,West Coast,11,9,34,9,2
Ollie Wines,Port Adelaide,10,9,43,9,1
Matt Rowell,Gold Coast,9,9,30,9,0
Sam Menegola,Geelong,5,9,41,9,-4
Todd Goldstein,North Melbourne,5,9,32,9,-4
Lachie Whitfield,Greater Western Sydney,4,9,40,9,-5
Max Gawn,Melbourne,13,8,30,8,5
Charlie Dixon,Port Adelaide,9,8,36,8,1
Josh Kelly,Greater Western Sydney,8,8,33,8,0
Dylan Shiel,Essendon,6,8,24,8,-2
Trent Cotchin,Richmond,5,8,26,8,-3
Hugh McCluggage,Brisbane Lions,4,8,30,8,-4
Matt Crouch,Adelaide,3,8,24,8,-5
Toby Greene,Greater Western Sydney,12,7,34,7,5
Patrick Cripps,Carlton,10,7,18,7,3
Tom Rockliff,Port Adelaide,10,7,25,7,3
Andrew Gaff,West Coast,8,7,29,7,1
Michael Walters,Fremantle,8,7,34,7,1
Mitch Duncan,Geelong,5,7,33,7,-2
Adam Treloar,Collingwood,4,7,24,7,-3
Josh P. Kennedy,Sydney,4,7,19,7,-3
Caleb Daniel,Western Bulldogs,3,7,35,7,-4
Tom Mitchell,Hawthorn,10,6,23,6,4
Shai Bolton,Richmond,9,6,32,6,3
Dan Butler,St Kilda,8,6,25,6,2
Brodie Grundy,Collingwood,6,6,22,6,0
Lachie Hunter,Western Bulldogs,6,6,20,6,0
Luke Ryan,Fremantle,6,6,30,6,0
Nick Haynes,Greater Western Sydney,4,6,25,6,-2
Tim English,Western Bulldogs,4,6,19,6,-2
Adam Cerra,Fremantle,3,6,22,6,-3
David Mundy,Fremantle,3,6,36,6,-3
Touk Miller,Gold Coast,3,6,21,6,-3
Dayne Zorko,Brisbane Lions,0,6,30,6,-6
Dom Sheed,West Coast,11,5,18,5,6
Hugh Greenwood,Gold Coast,11,5,21,5,6
Rowan Marshall,St Kilda,8,5,23,5,3
Sam Walsh,Carlton,8,5,38,5,3
Andrew McGrath,Essendon,7,5,37,5,2
Zak Jones,St Kilda,7,5,37,5,2
Chad Wingard,Hawthorn,6,5,29,5,1
Jack Viney,Melbourne,6,5,30,5,1
Kane Lambert,Richmond,6,5,20,5,1
Tom Papley,Sydney,6,5,20,5,1
