Feature,Gain,Cover,Frequency
coaches_votes,0.6372737783550498,0.031144348685862258,0.028615794143744454
afl_fantasy_score,0.07032089895415719,0.0308927793705068,0.031721384205856254
disposals_prop,0.01864735922497288,0.03372495751395561,0.024179236912156166
supercoach_score,0.015724836322049036,0.017648464255321947,0.03127772848269743
rolling_avg_votes_per_game,0.012951228826049849,0.024819370027944092,0.022404614019520853
goals,0.010870750897362527,0.010700800958256523,0.0075421472937000885
metres_gained,0.009031219108006224,0.044756069657722414,0.027950310559006212
goals_prop,0.008614328068443589,0.02719815012247143,0.015971606033717833
shots_at_goal_prop,0.007541332488051301,0.022575985483169053,0.013753327417923691
num_games,0.007495911011662257,0.016742848442470634,0.024179236912156166
marks_prop,0.007467113668871698,0.030689433127665863,0.02040816326530612
turnovers_prop,0.007363939140148037,0.03307057379217643,0.018633540372670808
team_score,0.007016646633429601,0.005734498937827814,0.014418811002661935
match_margin,0.0069085533262288135,0.005913902256553153,0.018633540372670808
handballs_prop,0.006843345802858625,0.04574936378423648,0.024401064773735583
clearances_prop,0.006590283032188209,0.01937370368877841,0.015971606033717833
uncontested_possessions_prop,0.00654124822364443,0.05613098195833223,0.025953859804791483
inside_fifties_prop,0.006384954963532744,0.027886087660440775,0.02129547471162378
contested_possessions_prop,0.006272034081799644,0.01827367807659409,0.01885536823425022
kicks_prop,0.006269404263672876,0.042666965222565495,0.021960958296362024
rating_points,0.006124095996894477,0.022912029481495746,0.023291925465838508
match_outcome_Loss,0.0055375612170855265,0.0029461599512103907,0.005545696539485359
disposal_efficiency_percentage,0.005154050682253229,0.011706235158970056,0.023735581188997337
tackles_prop,0.004805605153890508,0.026426243737955823,0.017524401064773737
time_on_ground_percentage,0.004668382280297725,0.012702732916175654,0.01974267968056788
pressure_acts,0.004392562214093481,0.015101577855560433,0.01419698314108252
disposals,0.004165662354175904,0.0075410094235639855,0.01663708961845608
intercepts,0.0036831089253605335,0.006702164018809696,0.009982253771073648
effective_kicks,0.003466132412922841,0.00706586040836849,0.010425909494232475
def_half_pressure_acts,0.003354152569547145,0.004088338598809497,0.011313220940550133
kicks,0.003258581277607615,0.00413757334417397,0.062111801242236024
contested_marks_prop,0.0032393418425062594,0.009726391391608274,0.008207630878438331
ground_ball_gets,0.0032139109056916366,0.009629945246579239,0.013087843833185448
team_behinds,0.0031233232412003864,0.004903409691589845,0.01574977817213842
behinds_prop,0.002720554118316859,0.007692085902490587,0.007763975155279503
goal_assists_prop,0.002689760463503346,0.010116897111690875,0.007763975155279503
handballs,0.0026823262747302226,0.007555678679888332,0.023735581188997337
clangers,0.002660336770272723,0.005472307057547829,0.011313220940550133
team_goals,0.0026252018949350863,0.0015562900675139876,0.01064773735581189
score_involvements,0.002575809725022008,0.005889959332437553,0.011091393078970719
uncontested_possessions,0.002374908518312138,0.008294199860355424,0.00909494232475599
marks,0.0023716207838820106,0.011783796744133266,0.026397515527950312
free_kicks_for,0.0023406188874968395,0.007099414224558662,0.009982253771073648
marks_inside_fifty_prop,0.002155392913464974,0.017537686078251884,0.00709849157054126
spoils,0.0021496828476402358,0.0013158491535080346,0.004658385093167702
effective_disposals,0.0020962821628528415,0.010114030705282669,0.013087843833185448
centre_clearances,0.0020683679853012783,0.013167259366446622,0.006654835847382431
score_launches,0.0020610109410022894,0.006385004580348829,0.0075421472937000885
ruck_contests,0.0020461167945249937,0.009265911632737127,0.0044365572315882874
one_percenters,0.0020286800496555914,0.005522890700045576,0.008207630878438331
intercept_marks,0.0018125310581304829,0.021720953312815483,0.006211180124223602
hitouts,0.0017931176758007401,0.019419734803451355,0.006876663708961846
stoppage_clearances,0.0015761223629603715,0.0014955896965166923,0.004658385093167702
match_outcome_Win,0.0015743164914827515,0.005492540514546928,0.0022182786157941437
contested_possessions,0.0015315103767896056,0.006372358669724391,0.010425909494232475
clearances,0.001521946308146648,0.0083747964640685,0.00865128660159716
rebounds,0.0014988445564980918,0.0031447850540848735,0.00865128660159716
bounces,0.001458142400488671,0.010696922878998363,0.006433007985803017
contest_off_wins,0.0014305651396875607,0.0020867438651736847,0.002883762200532387
shots_at_goal,0.0013902057412209443,0.002942113259810571,0.003992901508429458
f50_ground_ball_gets,0.0013217743249607332,0.00626899942688733,0.006211180124223602
free_kicks_against,0.0012848670134951719,0.004042813320561525,0.00510204081632653
marks_on_lead,0.0011806681737729441,0.0032982221029947034,0.0037710736468500442
goal_assists,0.0011125335641131208,4.2894928838088675e-4,0.004214729370008873
inside_fifties,0.0011008667387348537,0.006237468956397069,0.007985803016858917
tackles,0.001094000134339164,0.011335625671603237,0.00865128660159716
contested_marks,0.0010675570797142938,0.0033538641097422242,0.003992901508429458
hitout_win_percentage,0.0010259264609114285,0.005028351288559278,0.0015527950310559005
turnovers,9.971883571776822e-4,0.0024028916307845976,0.003992901508429458
aa_squad,9.559918545600447e-4,0.0026370938955491622,0.0013309671694764862
player_position_RR,9.275161334403622e-4,0.001365589735297485,0.001996450754214729
contest_off_one_on_ones,8.969140196614944e-4,0.0034997136122773918,0.00354924578527063
player_position_R,6.917440738327477e-4,0.0011708427116811626,0.002883762200532387
aa_team,6.82021182208998e-4,0.0023344351012709813,0.0024401064773735583
tackles_inside_fifty,6.256689613469815e-4,0.005791321229566948,0.0037710736468500442
player_position_WL,6.150498974198635e-4,2.844486829789921e-4,0.001774622892635315
behinds,6.011770460731011e-4,0.002255187394691179,0.003105590062111801
hitouts_to_advantage,5.735601673534408e-4,0.01141453615389972,0.003105590062111801
player_position_HBFR,5.168882089654274e-4,0.003284564519520312,0.0013309671694764862
player_position_CHB,5.074443833902865e-4,8.059660371307542e-5,2.2182786157941438e-4
player_position_FPL,5.059077178659714e-4,3.9286629006582785e-5,8.873114463176575e-4
player_position_SUB,4.87307459773325e-4,6.405575261631245e-4,8.873114463176575e-4
marks_inside_fifty,4.547601290085151e-4,8.66160571703072e-4,0.0022182786157941437
captain,4.165701338662231e-4,0.004916561438639259,0.0015527950310559005
player_position_WR,3.8510446072288995e-4,2.8697786510387943e-4,0.0013309671694764862
player_position_HBFL,3.567616034288386e-4,0.001992321065844559,0.0013309671694764862
player_position_INT,2.6528094797383773e-4,9.94643023647347e-4,0.0013309671694764862
player_position_FB,2.606278906803527e-4,0.0023233066999214774,8.873114463176575e-4
player_position_HFFL,2.5301294291587455e-4,9.191047841840463e-4,0.0013309671694764862
player_position_RK,2.496777061875002e-4,1.3994807757709748e-4,6.654835847382431e-4
contest_def_one_on_ones,2.1767390834734004e-4,0.0014910371686918953,0.0015527950310559005
player_position_HFFR,1.9341463715951963e-4,8.261994941298526e-5,4.4365572315882877e-4
player_position_C,1.6177820342872052e-4,0.0026254596577746808,0.0011091393078970719
contest_def_losses,1.5933964446904626e-4,0.0018537218854007345,0.0013309671694764862
player_position_CHF,1.4302785091060307e-4,3.6538251097538584e-4,6.654835847382431e-4
player_position_BPR,7.17406239848015e-5,4.6216588028774e-4,6.654835847382431e-4
player_position_FPR,5.229522939125565e-5,1.315174704941398e-5,2.2182786157941438e-4
player_position_FF,3.675042658719073e-5,0.0016736441181087586,4.4365572315882877e-4
