kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,rolling_avg_votes_per_game,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
7,2,4,11,5,46,0,0,0,4,1,2,5,3,0,1,7,5,0,0,3,0,0,82,48,65,2,3,3,179,3,0,0,0,0,0,0,12,2,1,5,0,0,0,0,23,6.8,0,1,0,0,0,7,11,73,0,0,0,0,111,0.11,0.022082018927444796,0.016260162601626018,0.018867924528301886,0.020793950850661626,0,0,0.05263157894736842,0.022988505747126436,0.09259259259259259,0.03225806451612903,0.017123287671232876,0,0,0,0.028846153846153848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03133755922317505,Touk Miller,0,15807,11,Gold Coast,2020,35,0
12,4,8,20,12,60,0,0,0,4,2,3,1,7,1,3,7,15,1,0,0,0,0,83,72,74,0,1,4,307,6,4,0,0,0,0,0,16,5,0,4,0,0,1,0,25,3.2,0,2,0,0,57,5,5,35,0,0,0,0,67,0.017857142857142856,0.033707865168539325,0.02877697841726619,0.02631578947368421,0.030303030303030304,0,0,0.045454545454545456,0.03614457831325301,0.02564102564102564,0.028455284552845527,0.03579952267303103,0.0625,0,0,0.046511627906976744,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05782640725374222,Jy Simpkin,0,15803,11,North Melbourne,2020,10,0
7,2,7,14,10,71,1,0,0,1,2,1,0,0,2,0,6,8,0,0,0,0,0,75,53,91,0,0,4,243,1,5,1,0,0,0,0,7,4,0,4,0,0,1,0,12,12.6,0,3,1,0,4,11,8,59,0,0,0,0,222,0.41379310344827586,0.02046783625730994,0.017094017094017096,0.028455284552845527,0.023809523809523808,0.07142857142857142,0,0.01098901098901099,0.012195121951219513,0,0.026905829596412557,0.023391812865497075,0,0,0,0.008695652173913044,0.030303030303030304,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10133883357048035,Callan Ward,0,15785,10,Greater Western Sydney,2020,14,0
12,2,9,21,14,67,0,0,0,2,1,3,2,3,1,0,4,17,0,0,2,0,1,85,69,80,0,2,2,417,5,2,0,0,0,0,0,2,7,1,2,0,0,0,0,7,8.8,0,0,0,1,16,6,7,48,0,0,0,0,91,0.012987012987012988,0.03428571428571429,0.014598540145985401,0.031914893617021274,0.03322784810126582,0,0,0.02127659574468085,0.04411764705882353,0.0392156862745098,0.017241379310344827,0.04218362282878412,0,0,0.1111111111111111,0.041666666666666664,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03243844583630562,James Aish,0,15805,11,Fremantle,2020,17,0
13,4,9,22,17,77,1,1,0,2,0,5,4,4,6,3,13,10,2,1,1,1,1,88,81,116,2,2,8,405,3,0,0,0,0,1,1,2,9,0,5,0,0,0,0,13,17.9,0,0,2,0,18,7,8,55,0,0,0,1,106,0.7425742574257426,0.040123456790123455,0.025157232704402517,0.04891304347826087,0.04330708661417323,0.07142857142857142,0.09090909090909091,0.03389830508474576,0.07352941176470588,0.09090909090909091,0.07647058823529412,0.029940119760479042,0.1,0.047619047619047616,0.125,0.033707865168539325,0.06666666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6199319362640381,Patrick Cripps,0,15719,5,Carlton,2020,5,0
7,4,3,10,8,80,0,0,0,0,1,3,0,0,1,0,5,4,0,0,4,0,0,82,40,63,0,0,4,195,2,5,0,0,0,0,0,2,5,0,5,0,0,2,0,3,9.1,0,2,0,2,41,6,10,66,0,0,0,0,124,0,0.0219435736677116,0.03773584905660377,0.017341040462427744,0.02032520325203252,0,0,0,0.04225352112676056,0,0.022222222222222223,0.015748031496062992,0,0,0,0.01680672268907563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03269543498754501,Harry Cunningham,0,15808,12,Sydney,2020,16,0
8,1,17,25,18,72,0,0,0,3,1,6,2,2,1,1,9,17,0,1,1,0,1,81,71,102,0,2,6,304,1,5,0,0,0,0,0,10,3,0,8,0,0,0,0,18,10.5,0,2,1,0,35,11,12,83,0,0,2,0,157,0.3161764705882353,0.028070175438596492,0.009433962264150943,0.06827309236947791,0.04681647940074907,0,0,0.04,0.08,0.037037037037037035,0.04265402843601896,0.054313099041533544,0,0.05555555555555555,0.06666666666666667,0.01098901098901099,0.02857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8024818301200867,Rory Laird,0,15834,15,Adelaide,2020,4,0
13,11,3,16,14,88,0,0,0,1,2,2,0,1,0,0,2,14,1,0,4,0,0,82,82,90,0,0,1,291,4,7,0,0,2,0,0,12,11,0,1,0,0,5,0,13,8.3,0,1,0,3,12,7,9,61,0,0,1,0,9,0,0.040498442367601244,0.06875,0.013513513513513514,0.029465930018416207,0,0,0.012658227848101266,0.029411764705882353,0,0.010309278350515464,0.038781163434903045,0.058823529411764705,0,0,0.042105263157894736,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2494819462299347,Josh Rotham,0,15824,13,West Coast,2020,12,0
7,2,6,13,9,69,1,1,0,3,0,3,3,2,1,2,6,6,0,0,1,0,0,84,53,67,2,1,3,141,1,2,2,0,0,0,0,6,3,1,5,0,0,0,0,21,10.5,0,2,2,0,38,7,14,91,0,0,0,0,46,0,0.021538461538461538,0.015873015873015872,0.022388059701492536,0.021922428330522766,0.05263157894736842,0.1,0.03125,0.03896103896103896,0.05172413793103448,0.027522935779816515,0.0160857908847185,0,0,0,0.010638297872340425,0.05405405405405406,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.00476490892469883,Brent Daniels,0,15830,14,Greater Western Sydney,2020,27,0
15,9,5,20,14,70,2,0,0,4,1,4,2,1,2,0,9,12,2,2,0,0,3,80,112,134,2,0,6,323,1,4,3,0,0,1,1,2,10,2,5,0,0,0,1,11,18.6,0,0,3,0,69,5,19,119,0,0,0,0,118,0.24770642201834864,0.046583850931677016,0.06338028169014084,0.0196078431372549,0.03466204506065858,0.08333333333333333,0,0.03225806451612903,0.05128205128205128,0.03636363636363636,0.043478260869565216,0.03260869565217391,0.125,0.14285714285714285,0.2,0.00980392156862745,0.07317073170731707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.712421715259552,Aaron Hall,1,15773,9,North Melbourne,2020,6,0
