player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Geelong,90,89,426,96.77402189286659,1
Greater Western Sydney,84,89,387,95.67601175612072,-5
Western Bulldogs,81,87,425,97.62100677556009,-6
Brisbane Lions,90,86,439,92.4517539596709,4
Richmond,72,83,389,79.36054316273658,-11
West Coast,74,77,359,81.74258295376785,-3
Collingwood,81,76,363,83.75612111741793,5
Fremantle,69,70,299,64.77252886400674,-1
North Melbourne,68,66,321,66.94827367560356,2
Hawthorn,67,64,349,63.48482582558063,3
Carlton,60,60,284,63.22546119679464,0
Adelaide,53,59,295,69.17309325031238,-6
Port Adelaide,66,58,338,66.36295713769505,8
Essendon,58,57,298,54.53006609575823,1
Sydney,52,57,283,57.62476877970039,-5
St Kilda,53,46,275,38.38361248874571,7
Melbourne,47,42,208,54.689216957602184,5
Gold Coast,22,22,125,26.160814500239212,0
