Feature,Gain,Cover,Frequency,na_prop,zero_prop
coaches_votes,0.633265811092558,0.03682265842535293,0.024810475534114404,0,0.8551228818314442
afl_fantasy_score,0.056334544352715225,0.034291755704367835,0.030323914541695383,0,0.0013466502076085736
supercoach_score,0.033619854138504324,0.024452924309528837,0.02802664828853664,0,0.0013466502076085736
disposals_prop,0.01892511552750676,0.025192927517268066,0.026188835286009647,0,0.0019077544607788127
goals_prop,0.011914211530045255,0.030925923279276398,0.020445669653112796,0,0.6798339131410616
contested_possessions_prop,0.010158707797293812,0.034555891327158875,0.02526992878474615,0,0.016720906744473123
match_margin,0.008989580425197728,0.004522065381771254,0.021594302779692168,0,0.015037593984962405
shots_at_goal_prop,0.008976922515477492,0.032177435618926935,0.016540317022742935,0,0.49803613511390415
turnovers_prop,0.008377504969080385,0.029594835010515137,0.027567195037904894,0,0.08225788351475705
handballs_prop,0.008359028745371241,0.03537476469080164,0.029405008040431887,0,0.019301986309056222
kicks_prop,0.008181238867849376,0.032188198660336585,0.03859407305306685,0,0.00662103018740882
goals,0.008051356986100674,0.011831405602039543,0.008040431886055594,0,0.6798339131410616
num_games,0.007919701369971709,0.017581692807624043,0.023661842407535032,0,0
uncontested_possessions_prop,0.007638222243481095,0.047891828963626745,0.026878015161957272,0,0.006733251038042868
rating_points,0.007611413347438015,0.01953033263267698,0.027107741787273144,0.001122208506340478,0.002583979328165375
clearances_prop,0.007121389458795081,0.035972554597291984,0.019986216402481046,0,0.45931994164515766
marks_prop,0.006790884487475615,0.025829358506852088,0.029634734665747762,0,0.04522500280552127
tackles_prop,0.006634843926926057,0.040660300239451205,0.026878015161957272,0,0.1406127258444619
match_outcome_Loss,0.006429367136990639,0.002530373391079697,0.003675626005053986,0,0.5066771406127258
inside_fifties_prop,0.005959007692444015,0.025051772875829968,0.02228348265563979,0,0.17966558186511053
team_score,0.005898254969804204,0.01363694990933461,0.014702504020215943,0,0
disposal_efficiency_percentage,0.005852120734530532,0.004632166002092971,0.0195267631518493,0,0.003927729772191673
