kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
7,3,2,9,6,67,0,1,0,2,0,2,0,2,0,0,5,5,1,1,1,0,0,76,43,46,0,0,4,152,2,2,0,0,0,0,0,3,4,0,4,0,0,0,1,9,2,0,1,2,1,2,7,12,79,0,0,0,0,62,0.022950819672131147,0.02631578947368421,0.011363636363636364,0.018711018711018712,0,0.09090909090909091,0.022988505747126436,0.028985507246376812,0,0.024154589371980676,0.018796992481203006,0.06666666666666667,0.043478260869565216,0,0.01904761904761905,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999120235443115,7.202912820503116e-5,6.724672402924625e-6,9.232758202415425e-6,1.1317674761812668e-4,0,Jack Silvagni,0,15663,3,Carlton,2020,0
16,8,6,22,17,77,0,0,0,3,3,2,0,1,1,0,5,17,1,0,1,0,0,87,97,120,0,0,1,453,4,2,0,0,0,0,0,10,13,0,3,0,0,0,0,17,5.6,0,0,0,1,3,4,8,52,0,0,3,0,81,0.050793650793650794,0.057971014492753624,0.027777777777777776,0.04143126177024482,0,0,0.041666666666666664,0.029850746268656716,0,0.024271844660194174,0.05379746835443038,0.047619047619047616,0,0,0.034782608695652174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4598478078842163,0.3392326235771179,0.19036048650741577,0.010559048503637314,0.7516307421028614,0,Ed Langdon,0,15831,14,Melbourne,2020,0
6,4,2,8,4,50,1,0,0,0,0,1,0,2,1,2,6,3,2,1,1,0,0,83,35,56,0,0,3,155,4,0,0,0,0,9,2,3,3,1,3,0,0,0,2,12,8.1,0,0,1,1,31,7,2,19,0,0,0,0,43,0.017191977077363897,0.02877697841726619,0.008064516129032258,0.01340033500837521,0.14285714285714285,0,0,0.0136986301369863,0,0.02666666666666667,0.008333333333333333,0.1111111111111111,0.09090909090909091,0,0.03305785123966942,0.047619047619047616,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997971653938293,1.6249585314653814e-4,1.3388940715231001e-5,2.7000736736226827e-5,2.702759447856806e-4,0,Tom McCartin,0,15821,13,Sydney,2020,0
16,4,8,24,17,71,0,0,0,0,3,6,4,1,2,1,9,15,0,0,0,0,0,91,75,107,2,2,5,498,6,1,0,0,0,0,0,3,10,0,5,0,0,0,0,20,10.6,0,0,0,0,1,11,7,53,0,0,0,0,270,0.049689440993788817,0.03361344537815126,0.03755868544600939,0.044859813084112146,0,0,0,0.07058823529411765,0.06896551724137931,0.045,0.046583850931677016,0,0,0,0.06060606060606061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9666609168052673,0.02691434882581234,0.004736934322863817,0.0016877686139196157,0.04145152331329882,0,Marc Murphy,0,15651,2,Carlton,2020,0
12,3,0,12,10,83,1,1,0,1,0,3,0,0,0,0,3,9,1,0,4,0,0,83,56,96,0,0,5,322,1,2,0,0,1,0,0,5,10,0,1,0,0,1,0,6,14,0,1,2,1,37,23,10,83,0,0,0,0,211,0.037267080745341616,0.0234375,0,0.0262582056892779,0.06666666666666667,0.043478260869565216,0.011494252873563218,0.03896103896103896,0,0.015706806282722512,0.03765690376569038,0.047619047619047616,0,0,0.01098901098901099,0.047619047619047616,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9980307221412659,0.0011246352223679423,7.435940788127482e-4,1.0098971688421443e-4,0.002914792530646082,0,Daniel Rich,0,15707,4,Brisbane Lions,2020,0
11,5,6,17,9,53,0,0,0,1,5,1,0,5,1,1,3,13,0,0,5,0,0,77,62,68,0,0,0,308,4,5,0,0,0,0,0,3,5,0,2,0,0,1,0,6,-0.8,0,0,0,4,33,12,13,90,0,0,0,0,75,0.03313253012048193,0.04504504504504504,0.023622047244094488,0.02901023890784983,0,0,0.011904761904761904,0.01098901098901099,0,0.014084507042253521,0.03757225433526012,0,0,0,0.037383177570093455,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9981809854507446,0.0016287289327010512,1.1681028263410553e-4,7.350507075898349e-5,0.0020828647102462128,0,Tom Stewart,0,15781,10,Geelong,2020,0
19,5,18,37,28,76,0,0,0,9,3,6,10,4,1,2,17,24,0,0,4,0,0,80,139,185,1,9,7,466,5,4,2,0,0,0,0,17,11,0,10,0,0,0,0,26,17.3,0,2,0,0,24,8,5,38,0,0,9,0,154,0.060126582278481014,0.036231884057971016,0.0743801652892562,0.06630824372759857,0,0,0.08737864077669903,0.08823529411764706,0.16393442622950818,0.08374384236453201,0.06818181818181818,0,0,0,0.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135621742811054,0.06503182649612427,0.18242314457893372,0.7511888146400452,2.683444559574127,3,Rory Laird,0,15806,11,Adelaide,2020,3
5,2,3,8,8,100,0,0,0,1,3,0,0,0,1,0,4,3,1,0,1,0,0,88,32,57,0,0,0,142,1,6,0,2,4,0,0,8,5,0,2,0,0,2,0,9,7.5,0,0,0,1,57,6,8,54,0,0,0,0,108,0.016181229773462782,0.017094017094017096,0.01098901098901099,0.013745704467353952,0,0,0.011764705882352941,0,0,0.01818181818181818,0.008450704225352112,0.06666666666666667,0,0,0.011627906976744186,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999192953109741,6.22109801042825e-5,4.887027898803353e-6,1.3572423085861374e-5,1.1270230515947333e-4,0,Kyle Hartigan,0,15813,12,Adelaide,2020,0
9,0,3,12,4,33,0,0,0,4,1,3,0,2,0,0,5,7,0,0,0,0,0,79,49,49,0,0,3,233,1,2,0,0,0,1,0,5,1,0,5,0,0,0,0,19,5.7,0,1,1,0,41,6,10,66,0,0,0,0,64,0.02821316614420063,0,0.017341040462427744,0.024390243902439025,0,0,0.042105263157894736,0.04225352112676056,0,0.022222222222222223,0.027559055118110236,0,0,0,0.008403361344537815,0.037037037037037035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9998315572738647,1.2223910016473383e-4,3.349839971633628e-5,1.2643037734960672e-5,2.271650128022884e-4,0,Oliver Florent,0,15808,12,Sydney,2020,0
6,5,11,17,13,77,0,0,0,2,1,4,0,1,0,0,2,14,1,0,0,0,0,83,63,68,0,0,6,187,3,3,0,0,1,0,0,5,5,0,1,0,0,2,0,9,3.7,0,1,0,0,43,7,14,91,0,0,0,0,95,0.01935483870967742,0.033783783783783786,0.04417670682730924,0.03041144901610018,0,0,0.0273972602739726,0.05063291139240506,0,0.00975609756097561,0.04,0.037037037037037035,0,0,0.02857142857142857,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9994602799415588,4.204298311378807e-4,9.854355448624119e-5,2.0790041162399575e-5,6.798870635975618e-4,0,Christian Salem,0,15757,7,Melbourne,2020,0
