effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
3,50,0,4,1,3,1,0,70,31,35,0,2,3,130,0,1,0,0,0,0,6,1,0,3,0,17,-0.2,0,0,12,8,9,62,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0.030614806339144707,Zac Langdon,0,15761,8,Greater Western Sydney,2020,20,0
2,33,0,0,0,0,0,0,82,25,33,0,0,1,125,0,2,0,0,5,1,0,2,0,2,0,8,5.5,0,0,12,1,10,61,0,0,0,0,144,0,1,0,1,0,0,0,0,0,-0.03370555862784386,Brandon Matera,0,15777,9,Fremantle,2020,43,0
12,80,2,2,1,0,2,0,86,73,62,0,0,3,86,5,0,0,2,0,0,5,8,0,4,0,7,5.5,1,2,44,7,5,37,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0.010402124375104904,Nick Coffield,0,15661,3,St Kilda,2020,17,0
4,67,0,2,1,1,0,0,77,21,20,1,0,2,58,0,0,0,0,0,0,3,3,0,1,0,10,1.7,0,0,2,11,11,77,0,0,0,0,184,1,0,1,0,0,0,0,0,0,0.02943495474755764,Jack Steven,0,15663,3,Geelong,2020,20,0
10,91,0,0,1,0,1,0,79,62,92,0,0,4,276,1,0,0,0,0,0,1,7,2,3,1,6,11.7,0,0,12,1,10,61,0,0,0,0,16,0,1,0,1,0,0,0,0,0,0.09349523484706879,Lachie Schultz,0,15777,9,Fremantle,2020,17,0
10,77,1,4,1,3,0,1,77,53,83,0,2,2,212,2,0,0,0,1,0,4,5,2,6,0,11,8.9,0,0,27,8,8,56,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0.012029396370053291,Jake Aarts,1,15836,15,Richmond,2020,27,0
14,74,1,2,1,1,1,1,86,70,108,0,0,7,331,6,0,1,1,1,0,5,10,1,6,1,10,7.5,2,1,41,17,4,41,0,0,0,0,54,1,0,0,0,0,0,0,0,0,-0.05242926999926567,Callum Ah Chee,0,15780,10,Brisbane Lions,2020,40,0
8,57,0,4,1,2,2,0,69,41,59,1,2,3,142,3,0,0,0,1,0,4,4,1,7,0,16,6.2,0,2,32,9,5,39,0,0,0,0,98,1,0,1,0,0,0,0,0,0,0.0299447700381279,Kane Lambert,0,15658,3,Richmond,2020,20,0
6,67,0,2,0,2,2,0,68,60,85,1,1,5,0,3,0,0,0,0,0,3,2,1,4,0,4,10.9,3,2,21,5,8,53,0,0,0,0,32,0,1,0,0,0,0,0,1,0,-0.002711339620873332,Ivan Soldo,0,15816,12,Richmond,2020,36,0
10,63,1,3,0,0,2,2,85,67,67,0,0,1,319,3,0,0,0,0,0,14,5,0,2,0,20,6.5,0,1,44,10,6,46,0,0,0,0,198,1,0,0,0,1,0,0,0,0,0.10516226291656494,Lewis Jetta,0,15652,2,West Coast,2020,12,0
22,96,1,0,1,0,0,0,86,75,113,1,4,3,204,3,0,0,1,0,0,14,6,0,7,0,27,16.3,1,0,35,3,5,33,0,0,2,0,75,1,0,1,0,0,0,0,0,0,0.2368568331003189,Andrew McGrath,0,15814,12,Essendon,2020,10,0
10,83,0,3,0,1,2,0,84,62,69,0,1,3,219,0,1,0,0,2,0,2,6,0,2,2,11,7.8,0,2,13,4,10,64,0,0,0,0,45,0,1,0,1,0,0,0,0,0,-0.0026747819501906633,Ben Ainsworth,0,15706,4,Gold Coast,2020,30,0
4,67,1,1,1,0,4,0,100,23,40,0,0,1,117,2,0,1,1,1,1,4,2,0,1,0,5,4.7,0,3,28,7,10,67,0,0,0,0,34,0,1,0,0,0,0,0,0,0,-0.012139124795794487,Alex Keath,0,15701,4,Western Bulldogs,2020,41,0
14,78,2,1,0,0,0,0,84,73,90,0,1,3,292,3,0,0,0,0,0,4,8,2,2,0,10,5.5,0,0,16,12,10,72,0,0,0,0,45,0,1,0,0,0,0,0,0,1,0.016998378559947014,Ben Keays,0,15853,17,Adelaide,2020,21,0
7,70,0,2,0,0,1,0,68,28,42,2,1,2,115,2,0,0,0,0,0,8,1,0,6,0,16,7,0,0,30,2,5,32,0,0,0,0,4,1,0,1,0,0,0,0,0,0,-0.007864718325436115,Caleb Serong,0,15758,7,Fremantle,2020,33,0
11,79,0,0,0,0,2,0,74,46,71,1,1,5,81,0,0,0,0,0,0,8,3,1,3,0,18,7.5,1,0,59,9,14,93,1,1,0,0,172,0,1,0,1,0,0,0,0,0,0.11063996702432632,Cameron Guthrie,0,15804,11,Geelong,2020,7,0
20,80,2,1,0,0,1,0,92,94,105,0,3,2,216,1,0,0,1,0,0,9,7,0,4,0,16,6.8,1,0,12,7,7,49,0,0,0,0,145,1,0,0,0,0,0,0,0,1,0.06630495935678482,Lachie Whitfield,0,15824,13,Greater Western Sydney,2020,15,0
11,61,1,3,0,2,0,0,86,58,88,2,1,2,214,3,0,0,0,2,1,2,3,2,7,0,18,8,0,0,32,12,6,48,1,1,0,0,256,0,1,1,0,0,0,0,0,0,0.051567818969488144,Patrick Dangerfield,0,15768,8,Geelong,2020,15,0
2,40,0,0,0,0,5,0,73,18,36,0,1,1,147,0,0,0,0,6,2,2,1,0,0,1,6,3.3,0,5,14,11,7,53,0,0,0,0,45,1,0,0,0,0,1,0,0,0,-0.007899373769760132,Tom Campbell,0,15747,6,North Melbourne,2020,37,0
10,63,0,3,1,1,1,0,86,72,81,2,3,6,256,0,1,0,0,0,0,2,6,1,5,0,8,17.1,1,0,20,8,10,68,0,0,0,0,64,1,0,0,1,0,0,0,0,0,-0.04841587319970131,Tim Taranto,0,15753,7,Greater Western Sydney,2020,42,0
7,64,4,2,0,0,3,0,90,31,45,0,0,1,180,7,0,2,7,0,0,6,4,0,5,0,6,4.3,1,3,32,7,7,49,0,0,0,0,236,1,0,0,0,0,0,0,0,0,-0.009554697200655937,James Frawley,0,15815,12,Hawthorn,2020,35,0
12,67,1,1,0,0,0,0,71,63,71,1,1,3,243,3,0,0,0,0,0,9,3,0,5,0,16,10.2,2,0,27,9,7,51,0,0,0,0,81,1,0,0,0,0,0,0,0,1,-0.008383155800402164,Angus Brayshaw,0,15623,1,Melbourne,2020,40,0
8,80,0,3,0,1,1,0,88,38,45,0,0,2,186,2,0,0,0,1,0,6,6,1,2,0,17,6.1,0,0,16,8,4,32,0,0,0,0,183,1,0,0,0,0,0,0,0,1,0.018750866875052452,Tom Scully,0,15805,11,Hawthorn,2020,27,0
11,52,2,5,0,3,0,0,82,76,93,0,3,5,368,3,1,0,0,0,0,13,5,1,8,0,31,6.8,0,0,44,5,12,77,0,0,1,0,51,0,1,1,0,0,0,0,0,0,0.08378025144338608,Jack Graham,0,15860,18,Richmond,2020,12,0
3,21,3,2,0,2,0,0,83,43,49,0,0,4,267,6,0,0,2,0,0,5,3,1,4,0,5,0.9,2,0,28,7,10,67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.010490075685083866,Louis Butler,0,15701,4,Western Bulldogs,2020,40,0
8,80,1,0,0,0,1,0,83,32,62,2,0,6,172,1,0,0,1,0,0,1,4,2,6,0,10,8.4,1,1,2,10,9,64,0,0,0,0,92,1,0,0,1,0,0,0,0,0,-0.007621059659868479,Jordan De Goey,0,15702,4,Collingwood,2020,37,0
13,72,2,1,2,1,1,0,89,60,109,0,4,4,387,2,0,0,0,0,0,8,7,1,6,0,15,13.8,0,1,52,12,3,30,0,0,0,0,132,1,0,0,0,0,0,0,0,1,-0.014030136168003082,Josh Kelly,0,15858,18,Greater Western Sydney,2020,35,0
10,71,5,3,0,1,5,0,80,41,65,0,1,3,449,3,0,0,0,0,0,8,10,0,3,0,9,4.9,0,4,16,8,4,32,0,0,0,0,75,1,0,0,0,0,0,0,0,0,-0.010687625966966152,Blake Hardwick,0,15805,11,Hawthorn,2020,37,0
16,73,2,5,0,1,3,0,81,80,103,0,1,6,389,4,0,0,0,0,0,5,8,0,4,0,13,17.2,1,3,6,9,9,63,0,0,3,0,41,1,0,0,0,0,0,0,0,0,0.2091737687587738,Jordan Dawson,0,15863,18,Sydney,2020,10,0
18,72,7,2,3,0,3,0,79,81,126,0,0,3,404,9,0,0,1,0,0,7,10,0,6,0,8,14.1,0,3,53,12,6,48,0,0,0,0,146,1,0,0,0,0,0,0,0,0,-0.152258962392807,Jake Lloyd,0,15774,9,Sydney,2020,44,0
11,100,1,1,0,1,1,0,72,37,70,0,3,7,87,1,0,0,0,1,0,4,3,2,6,0,11,12.4,1,0,51,6,17,108,0,0,0,0,389,0,1,1,0,0,0,0,0,0,-0.11152549833059311,Shaun Burgoyne,0,15862,18,Hawthorn,2020,44,0
8,80,1,1,0,0,2,0,87,31,45,0,0,1,68,4,0,0,0,0,0,3,1,0,4,0,3,2.9,1,2,26,7,10,67,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0.01262249331921339,Nathan Broad,0,15704,4,Richmond,2020,26,0
7,50,0,2,0,0,0,0,71,75,67,0,1,4,123,2,2,0,0,0,0,10,3,1,5,0,17,-1.2,0,0,24,9,4,33,0,0,0,0,4,1,0,1,0,0,0,0,0,0,-0.0025561335496604443,Jye Caldwell,0,15659,3,Greater Western Sydney,2020,34,0
15,68,6,2,2,0,1,0,81,86,107,0,0,2,398,11,0,0,1,0,0,3,11,0,3,0,4,10.7,1,1,45,10,13,88,0,0,2,0,218,0,1,0,0,0,0,0,0,0,0.2184663563966751,Daniel Rich,0,15847,16,Brisbane Lions,2020,7,0
9,100,3,1,4,1,2,0,94,38,86,0,0,2,106,8,0,0,2,0,0,6,5,0,4,0,9,9.1,2,2,32,7,11,73,0,1,0,0,159,1,0,0,0,0,0,0,0,0,-0.15518499910831451,Mark Blicavs,0,15619,1,Geelong,2020,44,0
8,89,1,0,0,0,0,0,88,46,52,0,1,2,222,0,0,0,0,1,0,5,6,0,1,0,11,7.3,0,0,37,4,7,46,0,0,0,0,29,1,0,0,1,0,0,0,0,0,0.0028607805725187063,Ben Crocker,0,15707,4,Adelaide,2020,29,0
11,79,0,5,2,2,1,0,86,59,79,1,0,4,139,0,2,0,0,3,2,1,4,0,2,1,13,6.2,0,1,43,7,14,91,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.06937459111213684,Luke Jackson,0,15757,7,Melbourne,2020,10,0
20,65,1,6,1,1,3,0,92,92,112,8,2,9,295,1,0,0,0,1,1,7,8,0,9,0,11,21.1,1,0,24,9,12,81,0,0,5,1,102,1,0,1,0,0,0,0,0,0,1.9896541833877563,Patrick Cripps,0,15615,1,Carlton,2020,2,2
18,69,4,2,1,0,1,1,91,119,195,2,6,8,491,3,0,0,0,0,0,14,10,0,10,0,24,16.8,0,0,12,8,9,62,0,0,7,0,125,0,1,0,0,0,0,0,0,1,1.7711057662963867,Josh Kelly,1,15761,8,Greater Western Sydney,2020,3,1
14,82,2,1,2,0,4,2,89,64,109,0,0,2,261,5,0,0,2,0,0,9,7,0,4,0,13,8.2,1,3,63,4,4,28,0,0,0,0,211,1,0,0,0,1,0,0,0,0,0.027951650321483612,Shaun Atley,0,15833,14,North Melbourne,2020,11,0
8,100,2,0,0,0,3,0,76,35,53,0,0,1,159,4,0,0,0,0,0,4,5,0,3,0,5,4.2,1,1,4,10,8,58,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0.017184527590870857,Blake Hardwick,0,15709,4,Hawthorn,2020,24,0
6,60,2,1,0,0,1,0,79,46,49,0,0,3,132,1,0,0,1,0,0,2,4,1,1,0,4,1.2,0,0,48,5,6,41,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0.006346904207020998,Jarrod Brander,0,15703,4,West Coast,2020,27,0
8,73,2,2,0,0,11,0,95,44,74,0,0,2,212,7,0,1,5,0,0,5,7,0,3,0,6,7.7,0,9,30,14,10,74,0,0,1,0,109,0,1,0,0,0,0,0,0,0,0.04323606193065643,Darcy Gardiner,0,15662,3,Brisbane Lions,2020,17,0
20,83,1,1,1,1,0,0,95,92,141,1,3,9,385,5,2,0,0,0,0,17,8,0,9,0,25,18.2,0,0,4,7,7,49,1,1,7,0,92,1,0,1,0,0,0,0,0,0,1.9869078397750854,Christian Petracca,0,15767,8,Melbourne,2020,3,1
11,69,1,1,2,0,1,0,89,55,66,0,0,3,106,7,0,0,0,0,0,7,6,0,5,1,9,5.3,2,1,21,10,6,46,0,0,0,0,6,1,0,0,0,1,0,0,0,0,-0.013996299356222153,Trent Rivers,0,15837,15,Melbourne,2020,39,0
3,43,0,1,0,1,3,0,96,33,67,0,0,4,190,2,0,0,0,2,1,1,3,0,1,0,9,9.3,0,1,4,11,7,53,0,0,0,0,83,0,1,0,0,0,1,0,0,0,0.04974430054426193,Eric Hipwood,0,15767,8,Brisbane Lions,2020,20,0
7,64,0,4,1,0,2,0,74,59,81,0,1,2,161,4,0,0,0,1,0,0,4,1,3,1,3,6.9,1,1,37,11,13,89,0,0,1,0,33,0,1,0,1,0,0,0,0,0,-0.022051313892006874,Esava Ratugolea,0,15722,5,Geelong,2020,41,0
