kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
12,4,5,17,11,65,1,1,0,2,2,3,0,3,0,0,4,13,0,0,2,0,0,79,73,76,0,0,3,449,4,2,0,0,2,1,0,3,8,0,4,0,0,0,1,10,7.3,0,1,3,2,25,15,15,105,0,0,0,0,166,0,0,0.11333333333333333,0.06,0.02696629213483146,0.023668639053254437,0.016611295681063124,0.022788203753351208,0.04,0.038461538461538464,0.02531645569620253,0.02631578947368421,0,0.014035087719298246,0.029885057471264367,0,0,0,0.028368794326241134,0.047619047619047616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007580546196550131,Josh Caddy,0,15875,1,Richmond,2021,10,0
14,10,13,27,23,85,0,0,0,1,3,2,2,2,2,0,12,15,0,0,1,0,0,85,104,109,0,2,7,338,3,8,0,0,0,0,0,2,10,0,9,0,0,1,0,7,16.6,0,2,0,0,25,14,11,80,0,0,0,0,173,1,1,0.023255813953488372,0.023255813953488372,0.03146067415730337,0.05917159763313609,0.04318936877076412,0.036193029490616625,0,0,0.012658227848101266,0.017543859649122806,0.02702702702702703,0.042105263157894736,0.034482758620689655,0,0,0,0.02127659574468085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05064103752374649,Jack Newnes,0,15875,1,Carlton,2021,7,0
7,3,1,8,4,50,1,0,1,1,0,0,1,3,1,2,5,5,2,1,1,0,0,85,38,35,1,0,4,122,4,1,1,0,0,2,1,2,3,0,1,0,16.7,0,1,7,7.1,6,0,2,0,25,14,11,80,0,0,0,0,142,2,1,0.014285714285714285,0.007142857142857143,0.015730337078651686,0.01775147928994083,0.0033222591362126247,0.010723860589812333,0.04,0,0.012658227848101266,0,0.013513513513513514,0.017543859649122806,0.011494252873563218,0.11764705882352941,0.038461538461538464,0,0.028368794326241134,0.031746031746031744,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002766601275652647,Levi Casboult,0,15875,1,Carlton,2021,37,0
8,3,1,9,9,100,1,0,0,1,4,0,0,0,1,0,2,6,0,0,6,0,0,84,46,61,0,0,3,171,1,7,0,2,3,0,0,12,8,0,1,0,0,3,0,13,11.3,0,3,1,4,25,14,11,80,0,0,0,0,111,0,0,0,0,0.017977528089887642,0.01775147928994083,0.0033222591362126247,0.012064343163538873,0.04,0,0.012658227848101266,0,0,0.007017543859649123,0.013793103448275862,0,0,0,0.0070921985815602835,0.015873015873015872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.360134623013437e-4,Lachie Plowman,0,15875,1,Carlton,2021,26,0
23,5,1,24,18,75,0,0,0,1,11,1,1,3,1,0,5,13,0,0,2,1,0,91,91,94,0,1,3,740,9,6,0,1,4,0,0,12,17,0,4,0,0,0,0,14,9.6,0,2,0,2,25,14,11,80,0,0,0,1,109,1,1,0.06481481481481481,0.046296296296296294,0.051685393258426963,0.029585798816568046,0.0033222591362126247,0.032171581769437,0,0,0.012658227848101266,0.008771929824561403,0.013513513513513514,0.017543859649122806,0.029885057471264367,0,0,0,0.06382978723404255,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.1758931279182434,Sam Docherty,0,15875,1,Carlton,2021,45,0
6,2,5,11,9,82,0,0,0,1,2,0,0,2,0,1,3,4,1,0,2,0,0,56,35,39,0,0,1,259,3,5,0,1,1,0,0,11,5,0,2,0,0,2,0,11,7.4,0,0,0,2,25,15,15,105,0,0,0,0,162,1,1,0.0547945205479452,0.03424657534246575,0.01348314606741573,0.011834319526627219,0.016611295681063124,0.014745308310991957,0,0,0.012658227848101266,0,0,0.010526315789473684,0.009195402298850575,0.058823529411764705,0,0,0.02127659574468085,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047917915508151054,Nick Vlastuin,0,15875,1,Richmond,2021,13,0
8,2,20,28,19,68,0,1,0,4,2,3,5,4,3,1,13,15,0,0,2,0,1,91,87,88,2,3,10,252,3,0,0,0,0,1,0,11,6,1,7,0,0,0,0,20,13.4,0,0,1,1,25,14,11,80,0,0,1,1,119,10,4,0.7203389830508474,0.3305084745762712,0.017977528089887642,0.011834319526627219,0.0664451827242525,0.03753351206434316,0,0.038461538461538464,0.05063291139240506,0.02631578947368421,0.06756756756756757,0.0456140350877193,0.034482758620689655,0,0,0.047619047619047616,0.02127659574468085,0.015873015873015872,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11329931020736694,Patrick Cripps,0,15875,1,Carlton,2021,6,0
8,3,5,13,8,62,0,0,0,1,3,3,2,4,3,1,10,5,0,0,4,4,0,88,47,56,0,2,2,454,3,6,0,1,1,0,0,6,5,0,7,0,0,0,0,17,10.8,0,2,1,1,25,15,15,105,0,0,0,0,109,0,0,0.02040816326530612,0.01020408163265306,0.017977528089887642,0.01775147928994083,0.016611295681063124,0.01742627345844504,0,0,0.012658227848101266,0.02631578947368421,0.02702702702702703,0.03508771929824561,0.011494252873563218,0,0,0,0.02127659574468085,0.015873015873015872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.011152735911309719,Kamdyn McIntosh,0,15875,1,Richmond,2021,9,0
16,5,9,25,20,80,0,0,0,4,6,4,2,3,2,0,10,13,1,0,2,4,0,83,99,114,1,1,3,352,4,8,0,2,5,0,0,14,12,0,7,0,0,2,0,18,14.7,0,1,0,2,25,14,11,80,0,0,0,0,110,2,1,0.08333333333333333,0.046296296296296294,0.035955056179775284,0.029585798816568046,0.029900332225913623,0.03351206434316354,0,0,0.05063291139240506,0.03508771929824561,0.02702702702702703,0.03508771929824561,0.029885057471264367,0.058823529411764705,0,0,0.028368794326241134,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01361510157585144,Adam Saad,0,15875,1,Carlton,2021,8,0
13,6,15,28,18,64,0,1,0,1,1,4,1,6,0,2,6,20,0,2,0,0,1,85,86,67,0,1,8,339,6,1,0,0,0,0,0,3,6,2,6,0,0,0,1,20,8.2,0,0,2,0,25,15,15,105,0,0,1,0,116,6,2,0.23529411764705882,0.11764705882352941,0.029213483146067417,0.03550295857988166,0.04983388704318937,0.03753351206434316,0,0.038461538461538464,0.012658227848101266,0.03508771929824561,0.013513513513513514,0.021052631578947368,0.04597701149425287,0,0.07692307692307693,0.047619047619047616,0.0425531914893617,0.031746031746031744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.12615545094013214,Kane Lambert,0,15875,1,Richmond,2021,5,0
4,0,8,12,7,58,0,0,26,1,0,1,3,2,0,1,6,5,0,0,7,0,0,75,55,76,2,1,4,84,3,2,0,0,0,0,0,4,2,0,4,11,51,0,0,9,14.1,51,4,0,7,25,15,15,105,0,0,0,0,83,0,0,0.08695652173913043,0.043478260869565216,0.008988764044943821,0,0.026578073089700997,0.0160857908847185,0,0,0.012658227848101266,0.008771929824561403,0.04054054054054054,0.021052631578947368,0.011494252873563218,0,0,0,0.02127659574468085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0038986909203231335,Toby Nankervis,0,15875,1,Richmond,2021,15,0
