effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
9,82,1,0,0,11,0,90,44,53,0,0,3,143,5,0,5,4,0,1,1,0,6,8.7,2,11,37,10,11,76,0,0,0,0,87,1,0,0,0,0,0,0,0,1,-0.0035344832576811314,Tim O'Brien,0,15983,11,Hawthorn,2021,28,0
12,86,1,0,0,0,0,68,67,71,0,0,7,244,3,0,0,7,3,5,1,2,17,16.1,1,0,62,12,16,108,0,0,0,0,29,0,1,0,0,0,1,0,0,0,0.15335120260715485,Sam Switkowski,0,16045,17,Fremantle,2021,9,0
26,72,7,1,3,1,0,79,105,94,3,6,1,334,2,0,11,7,0,10,0,0,23,19.3,0,0,40,6,9,60,0,1,0,0,218,1,0,1,0,0,0,0,0,0,0.8591354489326477,Luke Parker,0,15922,6,Sydney,2021,6,0
24,59,9,1,2,0,0,83,133,129,3,8,7,940,4,0,6,14,1,12,0,0,17,18.1,4,0,1,10,9,64,0,1,8,0,100,1,0,1,0,0,0,0,0,0,2.122372627258301,Jacob Hopper,0,16048,17,Greater Western Sydney,2021,2,2
21,66,5,1,0,0,1,82,127,107,2,2,5,430,4,2,9,11,0,11,0,0,16,12.3,0,0,54,9,14,93,0,0,0,0,83,0,1,1,0,0,0,0,0,0,1.6959513425827026,Dan Houston,0,15928,6,Port Adelaide,2021,2,2
15,79,3,1,1,1,3,80,78,105,0,0,2,452,6,0,5,10,0,5,1,0,5,13.5,1,1,3,12,15,102,0,0,0,0,127,0,1,0,0,1,0,0,0,0,0.020757518708705902,Jarman Impey,0,15926,6,Hawthorn,2021,26,0
6,86,2,0,1,8,0,95,22,35,0,0,1,31,4,0,6,1,0,4,0,0,9,6.1,1,8,128,9,5,39,0,0,0,0,18,1,0,0,0,0,0,0,0,0,-0.025455541908740997,Ben McKay,0,15894,3,North Melbourne,2021,33,0
16,89,0,0,0,8,0,85,79,91,0,0,3,157,6,0,2,10,0,2,2,0,3,9.5,1,7,40,10,2,22,0,0,0,0,84,1,0,0,0,1,0,0,0,0,-0.029042528942227364,Nathan Broad,0,16026,15,Richmond,2021,40,0
5,71,1,1,0,1,0,71,39,41,0,0,3,55,1,0,8,3,0,3,0,0,22,3.7,1,0,30,5,7,47,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0.013808952644467354,Will Phillips,0,15919,5,North Melbourne,2021,24,0
11,73,0,3,0,3,0,91,77,79,0,0,2,183,8,0,10,7,0,4,2,0,11,6.7,3,2,33,8,8,56,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0.007972145453095436,Kayne Turner,0,16081,21,North Melbourne,2021,31,0
18,75,3,1,0,2,1,91,91,94,0,1,3,740,6,0,12,17,0,4,0,0,14,9.6,2,2,25,14,11,80,0,0,0,1,109,1,0,0,0,1,0,0,0,0,0.12800739705562592,Sam Docherty,0,15875,1,Carlton,2021,10,0
