player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Melbourne,0,96,477,96,-96
Port Adelaide,0,95,429,95,-95
Geelong,0,86,410,86,-86
Western Bulldogs,0,86,424,86,-86
Sydney,0,81,394,81,-81
Brisbane Lions,0,80,432,80,-80
Essendon,0,73,362,73,-73
St Kilda,0,73,320,73,-73
Greater Western Sydney,0,64,351,64,-64
West Coast,0,59,309,59,-59
Richmond,0,57,268,57,-57
Fremantle,0,54,287,54,-54
Hawthorn,0,53,259,53,-53
Collingwood,0,50,250,50,-50
Adelaide,0,49,262,49,-49
Carlton,0,46,264,46,-46
Gold Coast,0,46,234,46,-46
North Melbourne,0,40,206,40,-40
