effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
12,80,3,2,1,3,0,86,81,99,0,1,4,386,4,1,10,9,0,1,1,0,14,5.9,2,2,36,12,11,78,0,0,0,0,73,0,1,0,0,1,0,0,0,0,0.04894933104515076,Dan Houston,0,15840,16,Port Adelaide,2020,14,0
4,36,3,2,1,0,0,76,38,44,0,0,3,140,3,2,7,2,2,5,0,0,13,3.4,0,0,51,8,4,32,0,0,0,0,7,1,0,0,1,0,0,0,0,0,-0.00946987234055996,Kysaiah Pickett,0,15770,9,Melbourne,2020,40,0
10,77,2,0,0,0,0,84,43,57,0,0,2,247,3,0,9,8,0,2,1,0,14,5.5,1,0,34,7,7,49,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0.006078774109482765,Blake Hardwick,0,15741,5,Hawthorn,2020,28,0
2,100,2,0,1,0,0,58,24,22,0,0,0,60,0,2,2,1,0,0,0,0,12,2.2,0,0,8,4,5,34,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.008535899221897125,Max Lynch,0,15839,15,Collingwood,2020,34,0
5,46,3,0,0,6,0,88,39,54,0,0,0,246,7,0,5,3,0,4,2,0,7,3.9,0,6,32,4,2,16,0,0,0,0,30,1,0,0,0,0,0,0,0,0,-5.305197555571795e-4,Taylin Duman,0,15768,8,Fremantle,2020,29,0
10,83,2,1,2,0,1,82,45,78,0,1,5,250,1,0,3,5,0,3,0,0,8,12.6,0,0,31,5,14,89,0,0,0,0,212,0,1,0,0,0,1,0,0,0,0.058524586260318756,Luke Breust,0,15771,9,Hawthorn,2020,15,0
8,53,2,0,1,2,0,86,53,53,0,1,5,228,2,0,7,4,0,4,0,0,15,2.1,2,1,48,11,13,89,0,0,0,0,26,0,1,0,0,0,1,0,0,0,0.009891239926218987,Connor Rozee,0,15703,4,Port Adelaide,2020,19,0
3,60,1,1,0,2,0,82,22,39,0,0,2,52,1,1,5,1,0,1,0,0,13,-1.1,0,2,53,12,6,48,0,0,0,0,30,1,0,0,1,0,0,0,0,0,-0.0049085854552686214,Nick Blakey,0,15774,9,Sydney,2020,36,0
12,80,3,0,3,7,0,85,78,105,0,0,1,230,8,0,7,10,0,3,3,0,11,13.9,0,4,12,5,7,47,0,0,0,0,323,1,0,0,0,0,0,0,0,0,0.045633576810359955,Heath Shaw,0,15845,16,Greater Western Sydney,2020,17,0
5,46,5,0,3,2,0,81,43,54,2,0,2,46,0,0,0,0,3,6,0,0,7,5.3,1,1,38,5,8,53,0,0,0,0,37,1,0,0,0,0,0,0,1,0,-0.008982153609395027,Sean Darcy,0,15830,14,Fremantle,2020,32,0
