effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
11,85,1,1,0,0,0,81,77,97,0,2,1,307,3,1,3,10,0,1,3,1,14,9.2,0,0,22,8,7,50,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0.1015458032488823,Matthew Kennedy,0,15802,11,Carlton,2020,16,0
15,68,6,0,3,0,1,73,66,70,3,0,2,469,1,0,17,7,1,7,0,1,20,7.7,1,0,30,5,5,35,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0.2827324867248535,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,8,0
20,83,4,1,1,1,1,84,88,93,0,0,5,559,8,0,6,14,0,5,1,0,10,11.3,2,1,1,11,7,53,0,0,2,1,94,1,0,0,0,1,0,0,0,0,0.3646882474422455,Sam Docherty,1,15651,2,Carlton,2020,6,0
6,86,1,0,0,0,0,83,23,31,0,0,1,116,0,0,1,3,0,2,0,0,9,3.1,0,0,3,11,8,59,0,0,0,0,7,1,0,0,0,1,0,0,0,0,-0.004492682404816151,Fischer McAsey,0,15765,8,Adelaide,2020,34,0
14,82,2,1,0,1,0,77,72,85,1,0,5,129,0,0,8,6,0,3,0,1,11,7.6,0,0,24,6,11,72,0,0,0,0,41,1,0,0,0,0,0,0,0,1,-0.04399961978197098,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,41,0
11,65,4,2,1,1,0,88,66,77,4,2,3,244,3,1,8,4,1,6,0,0,19,9.9,0,1,7,11,7,53,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0.15938089787960052,James Worpel,0,15763,8,Hawthorn,2020,15,0
6,43,1,1,1,0,0,77,44,44,1,1,2,258,0,1,7,3,0,0,0,0,10,0.2,0,0,66,3,18,111,0,0,0,0,110,0,1,1,0,0,0,0,0,0,-0.020346749573946,Dom Sheed,0,15766,8,West Coast,2020,37,0
4,80,2,1,2,4,0,80,45,88,0,1,1,10,0,0,8,0,0,0,0,0,13,10.9,0,1,17,10,6,46,0,0,0,0,195,1,0,0,0,0,0,0,1,0,0.03272720053792,Shane Mumford,0,15748,6,Greater Western Sydney,2020,23,0
5,100,4,0,3,3,0,81,10,23,0,0,0,29,3,0,5,2,0,2,1,0,6,1.5,0,3,24,6,11,72,0,0,0,0,5,1,0,0,0,1,0,0,0,0,-0.00347559479996562,Ryan Gardner,0,15801,11,Western Bulldogs,2020,34,0
14,93,1,0,0,1,0,91,56,70,0,1,2,126,3,0,4,4,1,3,1,0,10,8.7,1,1,24,2,10,62,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0.006750497501343489,Josh Daicos,0,15806,11,Collingwood,2020,32,0
15,68,3,0,0,0,1,83,79,75,0,0,7,484,3,0,6,8,0,3,0,0,14,9.3,1,0,14,14,11,80,0,0,3,0,164,0,1,0,0,0,0,0,0,1,0.29975199699401855,Bradley Hill,1,15841,16,St Kilda,2020,8,0
7,70,2,1,1,1,1,83,58,80,3,0,4,78,0,0,7,3,0,3,0,0,9,8.2,2,1,16,7,9,61,0,0,0,0,106,0,1,0,0,0,0,0,1,0,0.025597993284463882,Scott Lycett,0,15865,18,Port Adelaide,2020,22,0
8,80,2,1,1,2,0,77,51,79,0,1,3,110,1,0,5,4,0,2,0,1,9,11.4,1,1,37,4,8,52,0,0,0,0,125,1,0,0,0,0,1,0,0,0,0.013829858973622322,Sam Day,0,15722,5,Gold Coast,2020,24,0
10,53,3,0,2,1,0,90,75,82,0,2,4,503,2,0,7,7,1,3,1,1,12,6.8,1,1,3,8,6,44,0,0,0,0,143,1,0,0,0,0,0,0,0,1,0.0828198492527008,Adam Tomlinson,0,15708,4,Melbourne,2020,15,0
13,81,1,0,0,1,0,75,78,94,1,0,1,6,2,1,8,4,1,8,0,0,18,9.7,0,0,26,7,4,31,0,0,0,0,34,1,0,0,0,0,1,0,0,0,-0.01932692900300026,Tom Atkins,0,15849,17,Geelong,2020,38,0
6,75,1,0,1,0,0,86,78,99,1,0,4,74,0,2,2,3,2,4,0,0,14,13.3,0,0,1,11,7,53,0,0,0,0,49,0,1,0,0,0,0,0,1,0,0.17082354426383972,Oscar McInerney,0,15810,12,Brisbane Lions,2020,13,0
8,57,6,1,0,1,0,91,61,66,2,1,2,144,1,0,3,3,2,8,0,0,8,9.2,0,0,17,8,12,80,0,0,0,0,173,0,1,0,1,0,0,0,0,0,-0.0033830413594841957,Jake Melksham,0,15746,6,Melbourne,2020,34,0
14,88,5,1,5,0,0,83,49,75,1,1,5,106,2,1,8,4,0,5,0,0,12,7.4,0,0,7,10,9,64,0,0,0,1,109,0,1,1,0,0,0,0,0,0,0.006099429912865162,Patrick Cripps,0,15762,8,Carlton,2020,31,0
4,80,2,3,2,2,0,53,29,55,0,2,1,120,1,0,3,3,0,1,0,0,5,4.1,0,2,7,11,7,53,0,0,0,0,15,1,0,0,1,0,0,0,0,0,-0.006999167148023844,Keegan Brooksby,0,15763,8,Hawthorn,2020,37,0
14,64,3,1,0,1,0,81,122,133,2,2,2,321,0,0,17,8,2,6,0,0,33,11.2,0,1,28,7,5,37,0,0,3,0,121,1,0,1,0,0,0,0,0,0,1.1271146535873413,Matt Crouch,0,15822,13,Adelaide,2020,3,1
3,50,4,1,3,1,0,70,31,35,0,2,3,130,0,1,6,1,0,3,0,0,17,-0.2,0,0,12,8,9,62,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0.015255628153681755,Zac Langdon,0,15761,8,Greater Western Sydney,2020,26,0
2,33,0,0,0,0,0,82,25,33,0,0,1,125,0,2,0,2,0,2,0,0,8,5.5,0,0,12,1,10,61,0,0,0,0,144,0,1,0,1,0,0,0,0,0,-0.0031757522374391556,Brandon Matera,0,15777,9,Fremantle,2020,35,0
12,80,2,1,0,2,0,86,73,62,0,0,3,86,5,0,5,8,0,4,1,0,7,5.5,1,2,44,7,5,37,0,0,0,0,20,1,0,0,0,0,0,0,0,0,-0.007989801466464996,Nick Coffield,0,15661,3,St Kilda,2020,32,0
4,67,2,1,1,0,0,77,21,20,1,0,2,58,0,0,3,3,0,1,0,0,10,1.7,0,0,2,11,11,77,0,0,0,0,184,1,0,1,0,0,0,0,0,0,0.00808066874742508,Jack Steven,0,15663,3,Geelong,2020,22,0
10,91,0,1,0,1,0,79,62,92,0,0,4,276,1,0,1,7,2,3,0,1,6,11.7,0,0,12,1,10,61,0,0,0,0,16,0,1,0,1,0,0,0,0,0,-0.026574740186333656,Lachie Schultz,0,15777,9,Fremantle,2020,41,0
10,77,4,1,3,0,1,77,53,83,0,2,2,212,2,0,4,5,2,6,0,0,11,8.9,0,0,27,8,8,56,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0.08206795901060104,Jake Aarts,1,15836,15,Richmond,2020,13,0
14,74,2,1,1,1,1,86,70,108,0,0,7,331,6,0,5,10,1,6,0,1,10,7.5,2,1,41,17,4,41,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0.10145516693592072,Callum Ah Chee,0,15780,10,Brisbane Lions,2020,15,0
8,57,4,1,2,2,0,69,41,59,1,2,3,142,3,0,4,4,1,7,0,0,16,6.2,0,2,32,9,5,39,0,0,0,0,98,1,0,1,0,0,0,0,0,0,-0.04433433711528778,Kane Lambert,0,15658,3,Richmond,2020,42,0
6,67,2,0,2,2,0,68,60,85,1,1,5,0,3,0,3,2,1,4,1,0,4,10.9,3,2,21,5,8,53,0,0,0,0,32,0,1,0,0,0,0,0,1,0,0.02140388824045658,Ivan Soldo,0,15816,12,Richmond,2020,26,0
10,63,3,0,0,2,2,85,67,67,0,0,1,319,3,0,14,5,0,2,1,0,20,6.5,0,1,44,10,6,46,0,0,0,0,198,1,0,0,0,1,0,0,0,0,0.006064397748559713,Lewis Jetta,0,15652,2,West Coast,2020,26,0
22,96,0,1,0,0,0,86,75,113,1,4,3,204,3,0,14,6,0,7,0,0,27,16.3,1,0,35,3,5,33,0,0,2,0,75,1,0,1,0,0,0,0,0,0,0.8620389699935913,Andrew McGrath,0,15814,12,Essendon,2020,4,0
10,83,3,0,1,2,0,84,62,69,0,1,3,219,0,1,2,6,0,2,0,2,11,7.8,0,2,13,4,10,64,0,0,0,0,45,0,1,0,1,0,0,0,0,0,0.031006546691060066,Ben Ainsworth,0,15706,4,Gold Coast,2020,19,0
4,67,1,1,0,4,0,100,23,40,0,0,1,117,2,0,4,2,0,1,1,0,5,4.7,0,3,28,7,10,67,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0.02580631896853447,Alex Keath,0,15701,4,Western Bulldogs,2020,21,0
14,78,1,0,0,0,0,84,73,90,0,1,3,292,3,0,4,8,2,2,2,0,10,5.5,0,0,16,12,10,72,0,0,0,0,45,0,1,0,0,0,0,0,0,1,0.058067332953214645,Ben Keays,0,15853,17,Adelaide,2020,15,0
7,70,2,0,0,1,0,68,28,42,2,1,2,115,2,0,8,1,0,6,0,0,16,7,0,0,30,2,5,32,0,0,0,0,4,1,0,1,0,0,0,0,0,0,-0.0329551063477993,Caleb Serong,0,15758,7,Fremantle,2020,42,0
11,79,0,0,0,2,0,74,46,71,1,1,5,81,0,0,8,3,1,3,0,0,18,7.5,1,0,59,9,14,93,1,1,0,0,172,0,1,0,1,0,0,0,0,0,0.06251302361488342,Cameron Guthrie,0,15804,11,Geelong,2020,10,0
20,80,1,0,0,1,0,92,94,105,0,3,2,216,1,0,9,7,0,4,0,0,16,6.8,1,0,12,7,7,49,0,0,0,0,145,1,0,0,0,0,0,0,0,1,0.05066896602511406,Lachie Whitfield,0,15824,13,Greater Western Sydney,2020,20,0
11,61,3,0,2,0,0,86,58,88,2,1,2,214,3,0,2,3,2,7,1,0,18,8,0,0,32,12,6,48,1,1,0,0,256,0,1,1,0,0,0,0,0,0,0.09105706959962845,Patrick Dangerfield,0,15768,8,Geelong,2020,16,0
2,40,0,0,0,5,0,73,18,36,0,1,1,147,0,0,2,1,0,0,0,1,6,3.3,0,5,14,11,7,53,0,0,0,0,45,1,0,0,0,0,1,0,0,0,-0.0048379250802099705,Tom Campbell,0,15747,6,North Melbourne,2020,36,0
10,63,3,1,1,1,0,86,72,81,2,3,6,256,0,1,2,6,1,5,0,0,8,17.1,1,0,20,8,10,68,0,0,0,0,64,1,0,0,1,0,0,0,0,0,0.10369160771369934,Tim Taranto,0,15753,7,Greater Western Sydney,2020,13,0
7,64,2,0,0,3,0,90,31,45,0,0,1,180,7,0,6,4,0,5,0,0,6,4.3,1,3,32,7,7,49,0,0,0,0,236,1,0,0,0,0,0,0,0,0,-0.005948436446487904,James Frawley,0,15815,12,Hawthorn,2020,34,0
12,67,1,0,0,0,0,71,63,71,1,1,3,243,3,0,9,3,0,5,1,0,16,10.2,2,0,27,9,7,51,0,0,0,0,81,1,0,0,0,0,0,0,0,1,-0.0049362750723958015,Angus Brayshaw,0,15623,1,Melbourne,2020,38,0
8,80,3,0,1,1,0,88,38,45,0,0,2,186,2,0,6,6,1,2,0,0,17,6.1,0,0,16,8,4,32,0,0,0,0,183,1,0,0,0,0,0,0,0,1,0.008863084018230438,Tom Scully,0,15805,11,Hawthorn,2020,30,0
11,52,5,0,3,0,0,82,76,93,0,3,5,368,3,1,13,5,1,8,0,0,31,6.8,0,0,44,5,12,77,0,0,1,0,51,0,1,1,0,0,0,0,0,0,0.2342563420534134,Jack Graham,0,15860,18,Richmond,2020,6,0
3,21,2,0,2,0,0,83,43,49,0,0,4,267,6,0,5,3,1,4,1,0,5,0.9,2,0,28,7,10,67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.028663242235779762,Louis Butler,0,15701,4,Western Bulldogs,2020,18,0
8,80,0,0,0,1,0,83,32,62,2,0,6,172,1,0,1,4,2,6,0,0,10,8.4,1,1,2,10,9,64,0,0,0,0,92,1,0,0,1,0,0,0,0,0,-0.004462384153157473,Jordan De Goey,0,15702,4,Collingwood,2020,34,0
13,72,1,2,1,1,0,89,60,109,0,4,4,387,2,0,8,7,1,6,0,0,15,13.8,0,1,52,12,3,30,0,0,0,0,132,1,0,0,0,0,0,0,0,1,-0.10646673291921616,Josh Kelly,0,15858,18,Greater Western Sydney,2020,43,0
10,71,3,0,1,5,0,80,41,65,0,1,3,449,3,0,8,10,0,3,0,0,9,4.9,0,4,16,8,4,32,0,0,0,0,75,1,0,0,0,0,0,0,0,0,-0.01047203317284584,Blake Hardwick,0,15805,11,Hawthorn,2020,40,0
16,73,5,0,1,3,0,81,80,103,0,1,6,389,4,0,5,8,0,4,2,0,13,17.2,1,3,6,9,9,63,0,0,3,0,41,1,0,0,0,0,0,0,0,0,0.31296131014823914,Jordan Dawson,0,15863,18,Sydney,2020,8,0
18,72,2,3,0,3,0,79,81,126,0,0,3,404,9,0,7,10,0,6,2,0,8,14.1,0,3,53,12,6,48,0,0,0,0,146,1,0,0,0,0,0,0,0,0,-0.24763223528862,Jake Lloyd,0,15774,9,Sydney,2020,44,0
11,100,1,0,1,1,0,72,37,70,0,3,7,87,1,0,4,3,2,6,0,0,11,12.4,1,0,51,6,17,108,0,0,0,0,389,0,1,1,0,0,0,0,0,0,-0.02696480043232441,Shaun Burgoyne,0,15862,18,Hawthorn,2020,36,0
8,80,1,0,0,2,0,87,31,45,0,0,1,68,4,0,3,1,0,4,0,0,3,2.9,1,2,26,7,10,67,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0.013265753164887428,Nathan Broad,0,15704,4,Richmond,2020,23,0
7,50,2,0,0,0,0,71,75,67,0,1,4,123,2,2,10,3,1,5,0,0,17,-1.2,0,0,24,9,4,33,0,0,0,0,4,1,0,1,0,0,0,0,0,0,-0.02099241502583027,Jye Caldwell,0,15659,3,Greater Western Sydney,2020,43,0
15,68,2,2,0,1,0,81,86,107,0,0,2,398,11,0,3,11,0,3,4,0,4,10.7,1,1,45,10,13,88,0,0,2,0,218,0,1,0,0,0,0,0,0,0,0.25668561458587646,Daniel Rich,0,15847,16,Brisbane Lions,2020,10,0
9,100,1,4,1,2,0,94,38,86,0,0,2,106,8,0,6,5,0,4,0,0,9,9.1,2,2,32,7,11,73,0,1,0,0,159,1,0,0,0,0,0,0,0,0,3.4840439911931753e-4,Mark Blicavs,0,15619,1,Geelong,2020,30,0
8,89,0,0,0,0,0,88,46,52,0,1,2,222,0,0,5,6,0,1,0,0,11,7.3,0,0,37,4,7,46,0,0,0,0,29,1,0,0,1,0,0,0,0,0,-0.0023741270415484905,Ben Crocker,0,15707,4,Adelaide,2020,33,0
11,79,5,2,2,1,0,86,59,79,1,0,4,139,0,2,1,4,0,2,0,1,13,6.2,0,1,43,7,14,91,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.030438270419836044,Luke Jackson,0,15757,7,Melbourne,2020,14,0
20,65,6,1,1,3,0,92,92,112,8,2,9,295,1,0,7,8,0,9,0,0,11,21.1,1,0,24,9,12,81,0,0,5,1,102,1,0,1,0,0,0,0,0,0,1.5352576971054077,Patrick Cripps,0,15615,1,Carlton,2020,2,2
18,69,2,1,0,1,1,91,119,195,2,6,8,491,3,0,14,10,0,10,1,0,24,16.8,0,0,12,8,9,62,0,0,7,0,125,0,1,0,0,0,0,0,0,1,2.2179224491119385,Josh Kelly,1,15761,8,Greater Western Sydney,2020,2,2
14,82,1,2,0,4,2,89,64,109,0,0,2,261,5,0,9,7,0,4,0,0,13,8.2,1,3,63,4,4,28,0,0,0,0,211,1,0,0,0,1,0,0,0,0,0.035441551357507706,Shaun Atley,0,15833,14,North Melbourne,2020,15,0
8,100,0,0,0,3,0,76,35,53,0,0,1,159,4,0,4,5,0,3,1,0,5,4.2,1,1,4,10,8,58,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0.017818788066506386,Blake Hardwick,0,15709,4,Hawthorn,2020,22,0
6,60,1,0,0,1,0,79,46,49,0,0,3,132,1,0,2,4,1,1,0,0,4,1.2,0,0,48,5,6,41,0,0,0,0,7,1,0,0,0,0,0,0,0,1,-0.0037402762100100517,Jarrod Brander,0,15703,4,West Coast,2020,26,0
8,73,2,0,0,11,0,95,44,74,0,0,2,212,7,0,5,7,0,3,1,0,6,7.7,0,9,30,14,10,74,0,0,1,0,109,0,1,0,0,0,0,0,0,0,0.12541118264198303,Darcy Gardiner,0,15662,3,Brisbane Lions,2020,9,0
20,83,1,1,1,0,0,95,92,141,1,3,9,385,5,2,17,8,0,9,0,0,25,18.2,0,0,4,7,7,49,1,1,7,0,92,1,0,1,0,0,0,0,0,0,1.921143651008606,Christian Petracca,0,15767,8,Melbourne,2020,3,1
11,69,1,2,0,1,0,89,55,66,0,0,3,106,7,0,7,6,0,5,0,1,9,5.3,2,1,21,10,6,46,0,0,0,0,6,1,0,0,0,1,0,0,0,0,-6.144567159935832e-4,Trent Rivers,0,15837,15,Melbourne,2020,33,0
3,43,1,0,1,3,0,96,33,67,0,0,4,190,2,0,1,3,0,1,1,0,9,9.3,0,1,4,11,7,53,0,0,0,0,83,0,1,0,0,0,1,0,0,0,-0.0017581501742824912,Eric Hipwood,0,15767,8,Brisbane Lions,2020,32,0
7,64,4,1,0,2,0,74,59,81,0,1,2,161,4,0,0,4,1,3,2,1,3,6.9,1,1,37,11,13,89,0,0,1,0,33,0,1,0,1,0,0,0,0,0,0.033207327127456665,Esava Ratugolea,0,15722,5,Geelong,2020,18,0
10,50,4,0,0,1,0,95,82,60,0,1,5,442,2,0,6,4,3,6,0,2,16,9.6,1,1,75,5,5,35,0,0,0,0,141,1,0,0,1,0,0,0,0,0,-0.17997680604457855,Tom Lynch,0,15653,2,Adelaide,2020,44,0
15,79,1,0,0,0,0,100,78,80,0,0,1,110,4,0,4,11,0,2,2,0,9,1.1,0,0,33,7,10,67,1,1,0,0,184,0,1,0,0,0,0,0,0,0,0.15083129703998566,Brad Sheppard,0,15745,6,West Coast,2020,10,0
7,64,1,1,0,2,0,76,41,58,0,0,2,107,1,0,13,3,0,5,1,0,19,6.5,0,0,2,5,7,47,0,0,0,0,50,1,0,0,1,0,0,0,0,0,-0.020145241171121597,Brendon Ah Chee,0,15843,16,West Coast,2020,40,0
16,50,5,1,0,1,0,84,109,92,0,4,7,504,4,0,3,4,1,6,0,0,10,8.5,1,0,4,11,8,59,0,0,6,0,67,0,1,1,0,0,0,0,0,0,1.5019370317459106,Tim Taranto,3,15785,10,Greater Western Sydney,2020,4,0
16,89,1,2,0,1,0,80,59,106,0,0,3,457,3,0,2,12,0,2,0,0,3,9.4,1,0,17,9,9,63,0,0,0,0,27,1,0,0,0,0,0,0,0,0,-0.024933362379670143,Jack Lukosius,0,15746,6,Gold Coast,2020,43,0
16,76,1,1,0,0,0,85,68,78,0,2,1,301,3,0,8,5,0,6,1,1,18,7.9,0,0,22,8,10,68,0,0,0,0,32,0,1,0,0,0,0,0,0,1,0.008943868800997734,Josh Daicos,0,15856,17,Collingwood,2020,30,0
4,80,0,1,0,0,0,58,22,25,0,0,1,45,1,1,8,2,0,1,0,0,14,2,0,0,15,11,9,65,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.013288380578160286,Hamish Brayshaw,0,15848,17,West Coast,2020,30,0
4,80,0,0,0,4,0,91,25,41,0,1,0,82,2,0,5,2,0,0,0,0,5,5.8,0,3,5,8,11,74,0,0,0,0,324,1,0,0,0,0,0,0,0,0,-0.024448929354548454,Heath Shaw,0,15852,17,Greater Western Sydney,2020,40,0
6,100,1,0,0,0,2,76,30,43,0,0,1,129,1,0,2,5,0,1,0,0,12,10.2,0,0,16,11,10,71,0,0,0,0,31,1,0,0,1,0,0,0,0,0,0.005208171438425779,Darren Minchington,0,15826,14,Hawthorn,2020,28,0
4,57,0,0,0,1,0,70,26,39,0,0,1,214,1,0,3,3,1,1,1,1,15,5.4,0,0,30,2,5,32,0,0,0,0,103,1,0,0,1,0,0,0,0,0,-0.02166062220931053,Travis Colyer,0,15758,7,Fremantle,2020,38,0
7,64,4,2,2,3,0,82,52,83,0,0,6,331,1,0,1,5,2,4,0,1,8,7.4,0,3,37,4,7,46,0,0,0,0,193,1,0,0,1,0,0,0,0,0,0.022484613582491875,Taylor Walker,0,15707,4,Adelaide,2020,15,0
