player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,31,93,27.054784391075373,0
Jack Macrae,Western Bulldogs,15,24,46,18.845372799783945,-9
Travis Boak,Port Adelaide,21,19,77,17.406567651603837,2
Zach Merrett,Essendon,13,19,55,13.431616633199155,-6
Christian Petracca,Melbourne,20,17,78,15.098380472511053,3
Jack Steele,St Kilda,20,17,72,13.295571980066597,3
Dustin Martin,Richmond,15,16,42,11.34413667023182,-1
Patrick Dangerfield,Geelong,15,16,44,13.758196014910936,-1
Clayton Oliver,Melbourne,14,15,34,13.806888221763074,-1
Taylor Adams,Collingwood,11,15,60,9.83709169877693,-4
Cameron Guthrie,Geelong,14,14,48,12.796150918118656,0
Marcus Bontempelli,Western Bulldogs,10,14,59,14.657862023217604,-4
Luke Parker,Sydney,15,13,44,12.88110219873488,2
Sam Walsh,Carlton,8,13,38,9.273469361651223,-5
Dylan Shiel,Essendon,6,13,24,9.082121580548119,-7
Nat Fyfe,Fremantle,10,12,39,12.201368582202122,-2
Tom Mitchell,Hawthorn,10,12,23,8.315996931865811,-2
Andrew Gaff,West Coast,8,12,29,9.718099316523876,-4
Scott Pendlebury,Collingwood,13,11,43,8.999183652922511,2
Ollie Wines,Port Adelaide,10,11,43,9.566338970791548,-1
Andrew Brayshaw,Fremantle,9,11,34,6.017625122505706,-2
Josh Kelly,Greater Western Sydney,8,11,33,6.744263265514746,-3
Lachie Whitfield,Greater Western Sydney,4,11,40,7.923618998378515,-7
David Mundy,Fremantle,3,11,36,7.605386634997558,-8
Max Gawn,Melbourne,13,10,30,8.422210289165378,3
Tim Kelly,West Coast,11,10,34,8.32166372181382,1
Mitch Duncan,Geelong,5,10,33,7.496872684918344,-5
Adam Treloar,Collingwood,4,10,24,6.047725253272802,-6
Tom Rockliff,Port Adelaide,10,9,25,8.446102252230048,1
Matt Rowell,Gold Coast,9,9,30,6.47629785630852,0
Zak Jones,St Kilda,7,9,37,4.48541213106364,-2
Brodie Grundy,Collingwood,6,9,22,6.244763045164291,-3
Toby Greene,Greater Western Sydney,12,8,34,6.771588882082142,4
Tom Hawkins,Geelong,11,8,35,8.68089264491573,3
Charlie Dixon,Port Adelaide,9,8,36,7.619658983312547,1
Rowan Marshall,St Kilda,8,8,23,4.385423180123325,0
Andrew McGrath,Essendon,7,8,37,5.078859730390832,-1
Nic Naitanui,West Coast,5,8,51,6.3936847150325775,-3
Sam Menegola,Geelong,5,8,41,9.192119483370334,-3
Rory Laird,Adelaide,4,8,33,5.554289882304147,-4
Jed Anderson,North Melbourne,3,8,29,3.9112028368836036,-5
Dom Sheed,West Coast,11,7,18,4.928510516110691,4
Jarryd Lyons,Brisbane Lions,9,7,39,8.539061482995749,2
Michael Walters,Fremantle,8,7,34,4.840352252358571,1
Liam Ryan,West Coast,1,7,41,4.183194150449708,-6
Patrick Cripps,Carlton,10,6,18,7.921060130000114,4
Dan Butler,St Kilda,8,6,25,3.2595978140598163,2
Steele Sidebottom,Collingwood,6,6,13,3.3747428769711405,0
Todd Goldstein,North Melbourne,5,6,32,4.993038559739944,-1
Trent Cotchin,Richmond,5,6,26,5.211821228265762,-1
Nick Haynes,Greater Western Sydney,4,6,25,3.564512467419263,-2
Matt Crouch,Adelaide,3,6,24,6.26542954146862,-3
Jack Billings,St Kilda,2,6,25,4.091888061608188,-4
Dayne Zorko,Brisbane Lions,0,6,30,6.546580168418586,-6
Josh J. Kennedy,West Coast,0,6,0,3.2736753272474743,-6
Josh P. Kennedy,Sydney,0,6,19,5.049193589016795,-6
Shai Bolton,Richmond,9,5,32,3.227801683358848,4
Jy Simpkin,North Melbourne,8,5,19,4.340538031072356,3
Chad Wingard,Hawthorn,6,5,29,4.2816394455730915,1
Jack Viney,Melbourne,6,5,30,5.114576283609495,1
Lachie Hunter,Western Bulldogs,6,5,20,3.6576043609529734,1
Luke Ryan,Fremantle,6,5,30,2.5543541244696826,1
Isaac Heeney,Sydney,5,5,19,3.489634262630716,0
Jack Crisp,Collingwood,5,5,19,3.8798832112224773,0
Robbie Gray,Port Adelaide,5,5,21,5.172011990332976,0
Harry Perryman,Greater Western Sydney,4,5,20,3.9033706664922647,-1
Hugh McCluggage,Brisbane Lions,4,5,30,4.690434850985184,-1
Caleb Daniel,Western Bulldogs,3,5,35,3.915990225970745,-2
Marc Murphy,Carlton,2,5,15,3.7348623365542153,-3
Jaeger O'Meara,Hawthorn,0,5,16,3.152381886728108,-5
Jordan De Goey,Collingwood,0,5,0,2.2887622776906937,-5
Hugh Greenwood,Gold Coast,11,4,21,3.6452473527751863,7
Jarrod Berry,Brisbane Lions,8,4,23,4.039107663993491,4
Kane Lambert,Richmond,6,4,20,3.776775529535371,2
Jack Gunston,Hawthorn,5,4,19,3.1679137053433806,1
Jade Gresham,St Kilda,5,4,22,2.5888851388008334,1
Tim English,Western Bulldogs,4,4,19,3.5238855929346755,0
Jake Lloyd,Sydney,3,4,24,3.756736069917679,-1
Joel Selwood,Geelong,3,4,27,3.9470485653728247,-1
Touk Miller,Gold Coast,3,4,21,2.8052612313913414,-1
Jack Riewoldt,Richmond,2,4,10,2.3980326916498598,-2
Jeremy McGovern,West Coast,2,4,19,2.1238903777120868,-2
Levi Casboult,Carlton,2,4,17,2.619316929485649,-2
Brad Crouch,Adelaide,1,4,12,4.209692757343873,-3
Sam Docherty,Carlton,1,4,13,3.9640339026227593,-3
Tim Membrey,St Kilda,0,4,12,1.7618258586735465,-4
Ed Curnow,Carlton,5,3,18,3.744073205627501,2
David Zaharakis,Essendon,4,3,12,1.757674758322537,1
Jacob Hopper,Greater Western Sydney,4,3,12,3.6445635103154927,1
Josh Dunkley,Western Bulldogs,4,3,10,2.458053939670208,1
Stephen Coniglio,Greater Western Sydney,4,3,9,3.4622736191377044,1
Adam Cerra,Fremantle,3,3,22,4.193306026587379,0
Ben Cunnington,North Melbourne,3,3,10,2.9468737840652466,0
Josh Bruce,Western Bulldogs,3,3,10,2.3488186199683696,0
Sam Powell-Pepper,Port Adelaide,3,3,12,0.610065578846843,0
Tom Barrass,West Coast,3,3,15,1.8018717961385846,0
Ben Ainsworth,Gold Coast,2,3,11,2.2001186403795145,-1
Callum Mills,Sydney,2,3,11,2.578444564482197,-1
Dane Rampe,Sydney,1,3,20,1.7577234688214958,-2
Karl Amon,Port Adelaide,1,3,8,2.6753620514646173,-2
Sebastian Ross,St Kilda,1,3,6,2.8725192865822464,-2
Marlion Pickett,Richmond,0,3,6,0.19034248510433827,-3
Matthew Kennedy,Carlton,0,3,4,1.351006138138473,-3
Tom Green,Greater Western Sydney,0,3,4,1.499107180570718,-3
Elliot Yeo,West Coast,8,2,19,2.3126013381406665,6
Luke Shuey,West Coast,6,2,11,1.6228366016875952,4
Tom Papley,Sydney,6,2,20,1.999601709190756,4
Brody Mihocek,Collingwood,5,2,14,2.1812067953142105,3
Jack Martin,Carlton,4,2,19,2.432694810151588,2
Aaron Naughton,Western Bulldogs,3,2,8,2.0276528411195613,1
David Cuningham,Carlton,3,2,8,1.6927592718275264,1
Dion Prestia,Richmond,3,2,9,1.9860065274406224,1
Eddie Betts,Carlton,3,2,7,0.7927444346132688,1
Gary Rohan,Geelong,3,2,9,1.8062860454665497,1
Gryan Miers,Geelong,3,2,13,1.6068324955995195,1
Isaac Smith,Hawthorn,3,2,9,0.8699262347072363,1
Jack Lukosius,Gold Coast,3,2,13,1.438261677045375,1
Lachlan Sholl,Adelaide,3,2,9,1.3357678616885096,1
Steven Motlop,Port Adelaide,3,2,7,0.6568641068879515,1
Tim Taranto,Greater Western Sydney,3,2,9,1.673241924494505,1
Blake Acres,Fremantle,2,2,7,1.4310872764326632,0
Bradley Hill,St Kilda,2,2,6,1.3373264935798943,0
David Swallow,Gold Coast,2,2,5,1.5891297911875881,0
Derek Eggmolesse-Smith,Richmond,2,2,8,0.21478155738441274,0
Jarrod Witts,Gold Coast,2,2,27,2.2648852423299104,0
Luke McDonald,North Melbourne,2,2,12,1.894840684137307,0
Shaun Higgins,North Melbourne,2,2,8,1.8506856376188807,0
Zak Butters,Port Adelaide,2,2,18,2.148889879754279,0
Ben Keays,Adelaide,1,2,0,0.7666015332797542,-1
Brodie Smith,Adelaide,1,2,16,1.282233759353403,-1
Charlie Cameron,Brisbane Lions,1,2,16,1.9018935907515697,-1
Eric Hipwood,Brisbane Lions,1,2,7,2.320248364296276,-1
Noah Balta,Richmond,1,2,23,0.9829143029637635,-1
Rory Lobb,Fremantle,1,2,10,0.6579007371910848,-1
Shane Edwards,Richmond,1,2,9,0.8520307241706178,-1
Zac Fisher,Carlton,1,2,6,0.875749017810449,-1
Brad Sheppard,West Coast,0,2,6,1.40163429659151,-2
Dan Houston,Port Adelaide,0,2,19,1.6378364214324392,-2
Dylan Grimes,Richmond,0,2,16,0.7699679126963019,-2
Ed Langdon,Melbourne,0,2,17,2.7893707906478085,-2
Jacob Townsend,Essendon,0,2,4,0.5965653767925687,-2
Jaidyn Stephenson,Collingwood,0,2,0,0.29000703984638676,-2
Jake Riccardi,Greater Western Sydney,0,2,7,1.9282112218206748,-2
James Worpel,Hawthorn,0,2,11,1.459618709050119,-2
Jason Johannisen,Western Bulldogs,0,2,5,0.5883488077088259,-2
Nick Blakey,Sydney,0,2,4,1.0775608441617806,-2
Noah Anderson,Gold Coast,0,2,12,1.595863120383001,-2
Sam Petrevski-Seton,Carlton,0,2,8,0.7423029782075901,-2
Sam Simpson,Geelong,0,2,0,1.060695973370457,-2
Darcy Moore,Collingwood,6,1,27,1.3395747623872012,5
Harris Andrews,Brisbane Lions,3,1,20,0.9588423580862582,2
Jayden Short,Richmond,3,1,18,1.3266201663645916,2
Jeremy Cameron,Greater Western Sydney,3,1,8,1.394183192809578,2
Adam Saad,Essendon,2,1,16,1.2490241310442798,1
Daniel Rich,Brisbane Lions,2,1,19,0.7475813569035381,1
Darcy Byrne-Jones,Port Adelaide,2,1,21,1.0995575166889466,1
Jake Stringer,Essendon,2,1,4,0.2012405851855874,1
Jonathon Ceglar,Hawthorn,2,1,6,0.40305307984817773,1
Mitch Wallis,Western Bulldogs,2,1,10,0.5233505864598555,1
Nick Hind,St Kilda,2,1,6,0.4188792849890888,1
Peter Ladhams,Port Adelaide,2,1,10,0.658156479941681,1
Tom Liberatore,Western Bulldogs,2,1,27,3.3261794159188867,1
Angus Brayshaw,Melbourne,1,1,19,1.7360407189116813,0
Bachar Houli,Richmond,1,1,10,0.9843651840928942,0
Ben King,Gold Coast,1,1,6,0.6828506839810871,0
Caleb Serong,Fremantle,1,1,13,1.6947898547514342,0
Jake Carlisle,St Kilda,1,1,1,0.28829088812926784,0
Jared Polec,North Melbourne,1,1,15,1.7773137601325288,0
Paddy Ryder,St Kilda,1,1,8,0.7244060675147921,0
Tom Stewart,Geelong,1,1,15,1.3969277725555003,0
Alex Sexton,Gold Coast,0,1,2,0.5040545632364228,-1
Christian Salem,Melbourne,0,1,3,0.5522555405041203,-1
Connor Rozee,Port Adelaide,0,1,11,0.7990322522964561,-1
Dougal Howard,St Kilda,0,1,8,0.4095759541960433,-1
Esava Ratugolea,Geelong,0,1,1,0.33121827826835215,-1
Jack Darling,West Coast,0,1,7,1.035674353930517,-1
Jackson Thurlow,Sydney,0,1,2,0.4584116179612465,-1
Jordan Ridley,Essendon,0,1,28,2.022281587123871,-1
Kamdyn McIntosh,Richmond,0,1,6,0.7284293486736715,-1
Matt Taberner,Fremantle,0,1,14,2.959072624798864,-1
Reilly O'Brien,Adelaide,0,1,11,0.9760438907396747,-1
Rhys Stanley,Geelong,0,1,9,0.6230849793646485,-1
