kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,afl_fantasy_score,supercoach_score,metres_gained,turnovers_prop,rating_points,score_launches,shots_at_goal_prop,match_margin,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
0.03592814371257485,0.043478260869565216,0.004878048780487805,0.02411873840445269,0,0,0.03759398496240601,0.05063291139240506,0.02666666666666667,0.025423728813559324,0.023411371237458192,0.11538461538461539,0,0,77,97,307,0.01904761904761905,9.2,0,0,22,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0.9918730854988098,0.00690504489466548,0.0011307458626106381,9.108207450481132e-5,0.00943978284340119,0,Matthew Kennedy,0,15802,11,Carlton,2020,0
0.03367875647668394,0.011560693641618497,0.029508196721311476,0.03183791606367583,0,0,0.03488372093023256,0.08139534883720931,0.058823529411764705,0.03463203463203463,0.033112582781456956,0,0,0,66,70,469,0.05785123966942149,7.7,1,0,30,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0.9683475494384766,0.03141992911696434,1.4462305989582092e-4,8.785344107309356e-5,0.03197273555997526,0,Luke Davies-Uniacke,0,15825,13,North Melbourne,2020,0
0.0449438202247191,0.04225352112676056,0.034782608695652174,0.040955631399317405,0,0,0.02197802197802198,0.022727272727272728,0,0.022222222222222223,0.04011461318051576,0,0,0,88,93,559,0.05357142857142857,11.3,2,0,1,0,0,2,1,94,1,0,0,0,1,0,0,0,0,0.860787570476532,0.09275081008672714,0.04093439131975174,0.0055272323079407215,0.19120128965005279,0,Sam Docherty,1,15651,2,Carlton,2020,0
0.008746355685131196,0.01652892561983471,0.013513513513513514,0.010954616588419406,0,0,0,0.021739130434782608,0,0.011152416356877323,0.011049723756906077,0.047619047619047616,0,0,23,31,116,0.015748031496062992,3.1,0,0,3,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0.9998650550842285,1.0381840547779575e-4,7.344579898926895e-6,2.38095144595718e-5,1.8993610865436494e-4,0,Fischer McAsey,0,15765,8,Adelaide,2020,0
0.02346041055718475,0.03676470588235294,0.03488372093023256,0.028380634390651086,0.04,0,0.020618556701030927,0.02,0.01639344262295082,0.02575107296137339,0.03333333333333333,0,0.05,0.058823529411764705,72,85,129,0.021505376344086023,7.6,0,0.023809523809523808,24,0,0,0,0,41,1,0,0,0,0,0,0,0,1,0.9994924068450928,3.950163081753999e-4,8.484271529596299e-5,2.7770678570959717e-5,6.48013774480205e-4,0,Patrick Lipinski,0,15801,11,Western Bulldogs,2020,0
0.026954177897574125,0.009615384615384616,0.03111111111111111,0.028523489932885907,0,0,0.04807692307692308,0.029411764705882353,0.1016949152542373,0.039568345323741004,0.01718213058419244,0,0,0,66,77,244,0.019867549668874173,9.9,0,0,7,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0.9976953864097595,0.0020423310343176126,2.1979471785016358e-4,4.248304321663454e-5,0.0026093695996678434,0,James Worpel,0,15763,8,Hawthorn,2020,0
0.02932551319648094,0,0.017391304347826087,0.024518388791593695,0,0,0.023529411764705882,0.027777777777777776,0.03571428571428571,0.009009009009009009,0.034782608695652174,0,0,0,44,44,258,0.052083333333333336,0.2,0,0,66,0,0,0,0,110,0,1,1,0,0,0,0,0,0,0.9996650218963623,2.6868164422921836e-4,4.459910269360989e-5,2.174449218728114e-5,4.2311332617828157e-4,0,Dom Sheed,0,15766,8,West Coast,2020,0
0.002770083102493075,0.007246376811594203,0.014760147601476014,0.007911392405063292,0,0,0.05555555555555555,0,0.015151515151515152,0.019230769230769232,0.0027548209366391185,0.058823529411764705,0.058823529411764705,0,45,88,10,0,10.9,0,0.027777777777777776,17,0,0,0,0,195,1,0,0,0,0,0,0,1,0,0.9984694123268127,0.0011467284057289362,2.81071086646989e-4,1.0272425424773246e-4,0.0020170433417661116,0,Shane Mumford,0,15748,6,Greater Western Sydney,2020,0
0.005865102639296188,0.007352941176470588,0.011627906976744186,0.008347245409015025,0,0,0.010309278350515464,0,0,0.012875536480686695,0.002777777777777778,0.07142857142857142,0,0,10,23,29,0.010752688172043012,1.5,0,0,24,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0.9997780919075012,1.8243053636979312e-4,1.4499335520667955e-5,2.496031447662972e-5,2.863101508410182e-4,0,Ryan Gardner,0,15801,11,Western Bulldogs,2020,0
0.014577259475218658,0.03355704697986577,0.03875968992248062,0.024958402662229616,0.06666666666666667,0,0,0.013888888888888888,0.01639344262295082,0.013574660633484163,0.031746031746031744,0,0.0625,0,56,70,126,0.008695652173913044,8.7,1,0.03225806451612903,24,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0.9991781115531921,5.753615987487137e-4,2.717553979891818e-5,2.1927864872850478e-4,0.0012875486245320644,0,Josh Daicos,0,15806,11,Collingwood,2020,0
