effective_disposals,disposal_efficiency_percentage,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,intercept_marks,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
9,82,1,0,0,11,0,90,44,53,0,0,3,143,5,0,5,4,0,1,1,0,6,8.7,2,11,37,10,11,76,0,0,0,0,87,1,0,0,0,0,0,0,0,1,0.9999505281448364,3.0331435482366942e-5,1.5386976883746684e-5,3.7487573081307346e-6,7.235166117425251e-5,0,Tim O'Brien,0,15983,11,Hawthorn,2021,0
12,86,1,0,0,0,0,68,67,71,0,0,7,244,3,0,0,7,3,5,1,2,17,16.1,1,0,62,12,16,108,0,0,0,0,29,0,1,0,0,0,1,0,0,0,0.9992527365684509,5.2866485202685e-4,1.8085536430589855e-4,3.768247552216053e-5,0.0010034230072051287,0,Sam Switkowski,0,16045,17,Fremantle,2021,0
26,72,7,1,3,1,0,79,105,94,3,6,1,334,2,0,11,7,0,10,0,0,23,19.3,0,0,40,6,9,60,0,1,0,0,218,1,0,1,0,0,0,0,0,0,0.2695719301700592,0.5781164765357971,0.14938069880008698,0.0029308961238712072,0.8856705625075847,1,Luke Parker,0,15922,6,Sydney,2021,1
24,59,9,1,2,0,0,83,133,129,3,8,7,940,4,0,6,14,1,12,0,0,17,18.1,4,0,1,10,9,64,0,1,8,0,100,1,0,1,0,0,0,0,0,0,0.0014607763150706887,0.5952739119529724,0.19161002337932587,0.21165525913238525,1.61345973610878,1,Jacob Hopper,0,16048,17,Greater Western Sydney,2021,1
21,66,5,1,0,0,1,82,127,107,2,2,5,430,4,2,9,11,0,11,0,0,16,12.3,0,0,54,9,14,93,0,0,0,0,83,0,1,1,0,0,0,0,0,0,0.1560848206281662,0.38954269886016846,0.2759320139884949,0.17844045162200928,1.476728081703186,1,Dan Houston,0,15928,6,Port Adelaide,2021,1
15,79,3,1,1,1,3,80,78,105,0,0,2,452,6,0,5,10,0,5,1,0,5,13.5,1,1,3,12,15,102,0,0,0,0,127,0,1,0,0,1,0,0,0,0,0.9834008812904358,0.015081594698131084,8.848041761666536e-4,6.327744340524077e-4,0.018749526352621615,0,Jarman Impey,0,15926,6,Hawthorn,2021,0
6,86,2,0,1,8,0,95,22,35,0,0,1,31,4,0,6,1,0,4,0,0,9,6.1,1,8,128,9,5,39,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0.9997827410697937,1.7135374946519732e-4,2.489054350007791e-5,2.0979996406822465e-5,2.8407482568582054e-4,0,Ben McKay,0,15894,3,North Melbourne,2021,0
16,89,0,0,0,8,0,85,79,91,0,0,3,157,6,0,2,10,0,2,2,0,3,9.5,1,7,40,10,2,22,0,0,0,0,84,1,0,0,0,1,0,0,0,0,0.9994661211967468,2.8235564241185784e-4,2.4280180514324456e-4,8.724762665224262e-6,7.941335406940198e-4,0,Nathan Broad,0,16026,15,Richmond,2021,0
5,71,1,1,0,1,0,71,39,41,0,0,3,55,1,0,8,3,0,3,0,0,22,3.7,1,0,30,5,7,47,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0.9999507665634155,3.819392804871313e-5,5.661838258674834e-6,5.354169843485579e-6,6.558011409651954e-5,0,Will Phillips,0,15919,5,North Melbourne,2021,0
11,73,0,3,0,3,0,91,77,79,0,0,2,183,8,0,10,7,0,4,2,0,11,6.7,3,2,33,8,8,56,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0.9998631477355957,1.1355937749613076e-4,1.966722629731521e-5,3.643870059022447e-6,1.6382544026782853e-4,0,Kayne Turner,0,16081,21,North Melbourne,2021,0
18,75,3,1,0,2,1,91,91,94,0,1,3,740,6,0,12,17,0,4,0,0,14,9.6,2,2,25,14,11,80,0,0,0,1,109,1,0,0,0,1,0,0,0,0,0.9889717698097229,0.010154114104807377,4.685626190621406e-4,4.0551897836849093e-4,0.01230779627803713,0,Sam Docherty,0,15875,1,Carlton,2021,0
11,65,4,2,0,0,0,83,70,61,1,1,6,407,2,0,6,9,1,2,1,0,6,5.3,2,0,97,10,21,136,0,0,0,0,109,0,1,0,0,1,0,0,0,0,0.9988985061645508,7.149321027100086e-4,5.10822246724274e-5,3.354861109983176e-4,0.0018235548850498162,0,Jed Bews,0,15921,6,Geelong,2021,0
10,67,4,1,0,2,0,79,62,59,0,0,2,128,3,0,12,4,0,3,0,0,16,3.5,0,2,21,7,14,91,0,0,0,0,117,1,0,0,0,1,0,0,0,0,0.9998536109924316,1.148342271335423e-4,2.1694197130273096e-5,9.82717756414786e-6,1.8770415408653207e-4,0,Darcy Byrne-Jones,0,16009,13,Port Adelaide,2021,0
13,59,4,0,0,1,1,89,81,79,0,2,3,107,2,0,19,3,0,6,0,0,26,2,0,1,20,4,13,82,0,0,0,0,228,1,0,0,0,0,0,0,0,1,0.9931055903434753,0.005995367653667927,5.617482238449156e-4,3.373201470822096e-4,0.008130824542604387,0,Jack Redden,0,15905,4,West Coast,2021,0
18,78,4,1,2,3,1,86,106,77,0,0,3,279,3,0,6,15,0,2,1,0,6,0.4,1,1,27,7,16,103,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0.9892927408218384,0.008068268187344074,7.962607778608799e-4,0.0018426603637635708,0.015188770834356546,0,Josh Rotham,0,15912,5,West Coast,2021,0
17,65,1,2,0,3,0,74,115,120,2,1,8,304,2,0,11,8,3,6,1,1,20,12.5,3,1,15,9,12,81,0,0,0,0,180,1,0,0,0,0,1,0,0,0,0.9451436996459961,0.03030684031546116,0.02200932428240776,0.0025401082821190357,0.08194581372663379,0,Chad Wingard,0,15910,4,Hawthorn,2021,0
20,83,4,2,2,16,1,100,94,160,0,0,2,445,13,0,4,17,0,3,6,0,5,16.9,2,16,6,12,8,60,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0.6879885196685791,0.05279778316617012,0.24376291036605835,0.015450811013579369,0.5866760369390249,0,Dougal Howard,0,16016,13,St Kilda,2021,0
9,75,4,3,1,2,0,92,67,59,0,2,5,94,2,1,3,3,3,3,0,1,8,2.4,1,2,38,9,8,57,0,0,0,0,189,1,0,0,1,0,0,0,0,0,0.9997511506080627,1.8770931637845933e-4,4.7201749111991376e-5,1.396961397404084e-5,3.240216565245646e-4,0,Tom J. Lynch,0,16068,19,Richmond,2021,0
23,82,1,3,1,2,0,78,110,150,4,3,12,517,6,0,7,11,2,8,2,0,15,29.5,4,1,14,17,12,89,0,0,9,0,246,0,1,1,0,0,0,0,0,0,7.534322212450206e-4,0.003430491080507636,0.16107703745365143,0.8347390294075012,2.829801654210314,3,Callan Ward,0,16102,23,Greater Western Sydney,2021,3
10,67,1,1,0,2,0,75,66,62,0,0,4,290,4,0,7,6,0,3,0,0,10,6.1,0,2,9,13,8,61,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0.9988160133361816,0.0010981863597407937,5.456236613099463e-5,3.124167415080592e-5,0.0013010361144552007,0,John Noble,0,16041,16,Collingwood,2021,0
4,50,5,1,1,3,0,74,31,43,3,1,2,139,0,0,2,2,0,4,0,0,8,5.3,2,3,44,8,7,50,0,0,0,0,47,1,0,1,0,0,0,0,0,0,0.9999451637268066,3.4599186619743705e-5,6.662019586656243e-6,1.3549985851568636e-5,8.85731833477621e-5,0,Esava Ratugolea,0,16025,15,Geelong,2021,0
12,57,5,1,1,3,0,97,90,86,0,0,3,472,13,0,1,8,0,3,9,0,1,5.1,2,3,11,16,9,70,0,0,4,0,146,0,1,0,0,1,0,0,0,0,0.28739941120147705,0.41984280943870544,0.2353580892086029,0.057399652898311615,1.062757946550846,1,Liam Jones,0,15906,4,Carlton,2021,1
16,76,2,2,1,2,0,85,119,144,3,2,7,219,5,0,4,6,1,6,1,0,8,28.9,4,1,24,13,7,55,0,0,0,0,158,1,0,0,0,0,0,0,1,0,0.58479905128479,0.12293460965156555,0.2500675916671753,0.04219869524240494,0.749665878713131,0,Brodie Grundy,0,15930,7,Collingwood,2021,0
6,100,0,2,0,1,0,74,40,53,1,1,1,80,1,0,7,2,0,3,0,0,9,7.8,1,1,92,8,3,26,0,0,0,0,74,1,0,0,0,0,0,0,1,0,0.9997532963752747,1.9804498879238963e-4,4.535307743935846e-5,3.283718115199008e-6,2.9860229801670357e-4,0,Nathan Vardy,0,16040,16,West Coast,2021,0
7,54,5,1,3,2,2,87,40,34,0,1,4,239,2,0,6,4,0,2,0,0,10,-0.1,2,2,7,6,16,102,0,0,0,0,19,1,0,0,0,0,0,0,0,1,0.9999176263809204,5.829514338984154e-5,4.009446456620935e-6,2.011740616580937e-5,1.2666625480051152e-4,0,Nik Cox,0,16076,20,Essendon,2021,0
11,85,1,2,1,0,0,77,54,78,1,2,3,197,8,0,9,6,2,5,4,0,9,13.4,2,0,28,12,15,102,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.9996294975280762,3.228450077585876e-4,2.6341434931964613e-5,2.1251515136100352e-5,4.392824230308179e-4,0,James Madden,0,15956,10,Brisbane Lions,2021,0
10,83,0,0,0,1,0,80,61,71,0,1,1,136,3,0,5,6,0,3,1,0,8,7.6,0,1,24,11,14,95,0,0,2,0,31,0,1,0,0,0,0,0,0,0,0.9948145747184753,0.004506643861532211,1.4410117000807077e-4,5.346782854758203e-4,0.006398881057975814,0,Brandon Starcevich,0,15946,8,Brisbane Lions,2021,0
9,69,1,0,0,0,0,78,75,75,0,0,5,213,1,1,6,5,2,3,0,0,13,10.4,0,0,39,10,16,106,0,0,0,0,208,0,1,0,0,0,1,0,0,0,0.9910558462142944,0.007626933977007866,0.0010569376172497869,2.6022616657428443e-4,0.010521487711230293,0,Matt de Boer,0,16088,22,Greater Western Sydney,2021,0
21,81,2,0,0,1,0,83,111,106,0,0,4,718,2,0,6,15,0,1,1,0,10,12.5,3,1,20,14,8,62,0,0,4,0,229,0,1,0,0,0,0,0,0,1,0.4100382328033447,0.3470303416252136,0.2193482667207718,0.023583121597766876,0.8564762398600578,0,Isaac Smith,0,16072,20,Geelong,2021,0
6,55,1,0,1,0,0,77,54,54,0,0,4,133,3,2,1,2,4,4,0,0,14,9.6,1,0,27,10,15,100,0,0,0,0,91,0,1,0,0,0,1,0,0,0,0.9998337030410767,7.902262586867437e-5,6.343617860693485e-5,2.3795239030732773e-5,2.772807001747424e-4,0,Orazio Fantasia,0,16078,20,Port Adelaide,2021,0
19,76,2,1,0,1,0,82,104,127,0,0,5,641,4,0,4,17,0,2,1,1,5,7.6,1,0,44,16,13,94,1,1,5,0,236,0,1,0,0,1,0,0,0,0,0.14692345261573792,0.4014234244823456,0.1566484421491623,0.295004665851593,1.5997343063354492,1,Daniel Rich,0,16025,15,Brisbane Lions,2021,1
15,79,2,2,1,0,1,83,84,88,0,0,4,356,6,0,5,7,0,6,1,1,26,11.9,1,0,18,10,11,76,0,0,0,0,62,1,0,0,1,0,0,0,0,0,0.9975171089172363,0.0021308681461960077,3.314577043056488e-4,2.0625013348762877e-5,0.002855658594853594,0,Jaidyn Stephenson,0,15941,8,North Melbourne,2021,0
10,56,4,0,1,2,0,80,74,66,0,1,8,296,4,0,12,4,0,5,0,0,25,12.1,2,1,4,15,6,51,0,0,0,0,126,1,0,1,0,0,0,0,0,0,0.9848490357398987,0.014576738700270653,4.487042606342584e-4,1.2559391325339675e-4,0.01585092896129936,0,Kane Lambert,0,16077,20,Richmond,2021,0
19,79,1,1,0,2,0,85,98,103,0,1,10,264,0,1,4,6,1,3,0,0,21,16.3,0,1,2,11,11,77,0,0,7,0,119,1,0,0,0,0,1,0,0,0,0.14689114689826965,0.5426173210144043,0.3066425323486328,0.0038490318693220615,1.167449481319636,1,Kane Lambert,0,15903,4,Richmond,2021,1
16,80,4,2,3,0,0,79,84,78,0,1,4,345,6,0,9,13,0,5,1,0,11,5.4,2,0,49,15,12,87,0,0,0,0,79,0,1,0,0,1,0,0,0,0,0.9901150465011597,0.00772995688021183,0.0014309498947113752,7.240599952638149e-4,0.012764036655426025,0,Ryan Burton,0,15943,8,Port Adelaide,2021,0
18,86,6,0,2,2,0,88,83,84,0,0,1,425,7,0,7,12,0,4,2,0,7,2.3,1,1,22,10,8,58,0,0,0,0,67,1,0,0,0,1,0,0,0,0,0.9972192049026489,0.002316643251106143,1.2197029718663543e-4,3.421423607505858e-4,0.0035870109277311713,0,Luke Ryan,0,15877,1,Fremantle,2021,0
14,78,1,1,0,0,0,86,84,94,3,2,3,272,0,1,18,10,1,5,0,1,28,10.7,1,0,5,6,12,78,0,0,0,0,47,0,1,1,0,0,0,0,0,0,0.9806163311004639,0.0083926972001791,0.008204569108784199,0.0027863970026373863,0.033161026425659657,0,Josh Daicos,0,15999,12,Collingwood,2021,0
13,77,1,0,0,3,0,77,80,95,0,2,9,261,1,1,0,5,2,6,0,2,11,7.8,1,1,10,11,12,83,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0.9925097227096558,0.006874162703752518,5.452309851534665e-4,7.086797268129885e-5,0.008177228592103347,0,Matthew Owies,0,16033,15,Carlton,2021,0
7,78,0,1,0,1,0,70,33,57,0,0,7,78,2,0,1,2,3,4,0,1,6,5.8,1,0,18,14,13,92,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0.9997361302375793,1.2703413085546345e-4,1.1238801380386576e-4,2.4429589757346548e-5,4.250989277352346e-4,0,Alec Waterman,0,16057,18,Essendon,2021,0
11,79,4,1,1,2,0,86,44,51,0,0,2,160,8,0,7,3,0,4,2,0,9,7.6,1,2,1,13,13,91,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0.9998897314071655,6.514688720926642e-5,1.0132011084351689e-5,3.49553520209156e-5,1.902769654407166e-4,0,Aaron Francis,0,15879,1,Essendon,2021,0
3,38,5,1,1,3,0,65,42,40,1,0,2,153,0,1,1,2,0,2,0,1,8,5.1,1,2,10,10,10,70,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0.9998801946640015,5.992970181978308e-5,1.1730762707884423e-5,4.8147794586839154e-5,2.278346109960694e-4,0,Tristan Xerri,0,16051,17,North Melbourne,2021,0
15,68,5,0,1,1,0,84,86,79,0,0,8,224,1,0,6,7,0,4,1,0,14,3,1,0,45,12,10,72,0,0,0,0,118,1,0,1,0,0,0,0,0,0,0.9940008521080017,0.0056296903640031815,3.22111533023417e-4,4.730627915705554e-5,0.006415832267521182,0,Kane Lambert,0,15896,3,Richmond,2021,0
13,68,6,0,2,2,0,76,99,126,0,1,2,181,4,1,7,4,2,8,2,0,18,14.2,0,2,9,13,8,61,0,0,0,0,164,1,0,0,0,0,0,0,1,0,0.9243584871292114,0.03829541057348251,0.0330280177295208,0.004318030551075935,0.11730553768575191,0,Brodie Grundy,0,16041,16,Collingwood,2021,0
10,59,2,2,0,2,0,85,74,83,0,1,8,321,4,1,0,6,2,4,0,0,8,6.8,3,2,97,10,21,136,0,0,0,0,52,0,1,0,1,0,0,0,0,0,0.9918409585952759,0.00771326432004571,2.4356794892810285e-4,2.021819818764925e-4,0.008806946163531393,0,Gryan Miers,0,15921,6,Geelong,2021,0
18,78,4,1,1,8,0,100,84,103,0,1,3,463,5,0,2,11,0,5,2,0,4,5.9,2,7,2,13,11,79,1,1,2,0,68,0,1,0,0,0,0,0,0,0,0.9544716477394104,0.04083723574876785,0.0026060775853693485,0.0020850268192589283,0.052304471377283335,0,Aliir Aliir,0,15903,4,Port Adelaide,2021,0
7,78,3,1,2,8,1,91,42,44,0,0,0,30,3,0,5,4,0,1,0,0,6,1.4,0,8,20,8,10,68,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0.9989393353462219,8.660632884129882e-4,9.333460911875591e-5,1.0130090959137306e-4,0.0013566352354246192,0,Ben McKay,0,15982,11,North Melbourne,2021,0
8,57,7,1,1,2,0,75,50,34,0,0,3,292,3,0,8,6,0,3,0,0,18,0.3,2,1,9,13,8,61,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0.999966025352478,2.643038533278741e-5,2.6809286737261573e-6,4.8492647692910396e-6,4.634003698811284e-5,0,Caleb Poulter,0,16041,16,Collingwood,2021,0
11,92,1,1,0,7,0,89,48,67,0,0,2,213,7,0,6,7,0,4,2,0,9,6.6,1,7,64,6,8,54,0,0,0,0,61,1,0,0,0,1,0,0,0,0,0.9998456239700317,1.4334451407194138e-4,5.251926722849021e-6,5.761010470450856e-6,1.7113139892899198e-4,0,Alex Pearce,0,16086,21,Fremantle,2021,0
7,100,0,0,0,0,1,73,57,54,0,0,4,105,1,1,13,3,0,3,0,0,27,11.1,1,0,30,10,16,106,0,0,0,0,18,0,1,0,0,0,0,0,0,1,0.999784529209137,1.6106420662254095e-4,3.174510857206769e-5,2.2624764824286103e-5,2.9242871823953465e-4,0,Jamaine Jones,0,15955,9,West Coast,2021,0
17,81,5,2,2,3,0,90,70,70,0,2,6,190,2,0,3,9,1,3,0,0,9,7.9,0,0,7,16,14,100,0,0,0,0,140,0,1,0,0,0,0,0,0,1,0.9952869415283203,0.0032490205485373735,3.7064836942590773e-4,0.0010933547746390104,0.00727038161130622,0,Lachie Hunter,0,15891,2,Western Bulldogs,2021,0
21,75,0,2,0,1,3,82,111,114,4,1,13,592,3,1,4,13,0,6,0,0,16,16,3,0,25,11,12,83,0,0,8,0,67,0,1,1,0,0,0,0,0,0,0.032135847955942154,0.5798137187957764,0.26127979159355164,0.12677064538002014,1.48268523812294,1,Tim Kelly,0,15883,1,West Coast,2021,1
5,42,3,2,1,1,0,96,63,63,0,1,6,230,0,0,2,4,2,2,0,1,4,7.5,0,0,39,9,19,123,0,0,0,0,295,0,1,0,1,0,0,0,0,0,0.9971042275428772,0.0017173518426716328,0.0010325855109840631,1.4587886107619852e-4,0.004220159447868355,0,Jack Riewoldt,0,16000,12,Richmond,2021,0
17,74,2,4,1,0,0,85,80,108,3,3,6,439,3,0,4,9,2,8,1,0,12,11.3,4,0,17,9,9,63,1,1,0,0,112,1,0,1,0,0,0,0,0,0,0.9155594110488892,0.06829507648944855,0.012577073648571968,0.0035684555768966675,0.10415459051728249,0,Clayton Oliver,0,16019,13,Melbourne,2021,0
