season,match_round,footywire_player,player_team,AF,SC,player_name
2020,3,Callum Sinclair,Sydney,33,37,Callum Sinclair
2020,3,Dane Rampe,Sydney,22,32,Dane Rampe
2020,3,Hayden McLean,Sydney,48,101,Hayden McLean
2020,3,Will Hayward,Sydney,22,42,Will Hayward
2020,3,Nick Blakey,Sydney,44,56,Nick Blakey
2020,3,Lewis Taylor,Sydney,39,47,Lewis Taylor
2020,3,Colin O'Riordan,Sydney,17,33,Colin O'Riordan
2020,3,Tom McCartin,Sydney,11,17,Tom McCartin
2020,3,Steele Sidebottom,Collingwood,126,150,Steele Sidebottom
2020,3,Scott Pendlebury,Collingwood,97,86,Scott Pendlebury
2020,3,Jack Crisp,Collingwood,79,114,Jack Crisp
2020,3,Brayden Maynard,Collingwood,107,125,Brayden Maynard
2020,3,Brodie Grundy,Collingwood,99,103,Brodie Grundy
2020,3,Taylor Adams,Collingwood,75,106,Taylor Adams
2020,3,Jeremy Howe,Collingwood,61,88,Jeremy Howe
2020,3,Josh Daicos,Collingwood,71,86,Josh Daicos
2020,3,Jordan De Goey,Collingwood,70,85,Jordan De Goey
2020,3,Rupert Wills,Collingwood,57,78,Rupert Wills
2020,3,Will H-Elliott,Collingwood,72,76,Will Hoskin-Elliott
2020,3,Darcy Moore,Collingwood,53,90,Darcy Moore
2020,3,Tyler Brown,Collingwood,57,80,Tyler Brown
2020,3,Callum Brown,Collingwood,46,73,Callum L. Brown
2020,3,John Noble,Collingwood,50,64,John Noble
2020,3,Christopher Mayne,Collingwood,47,55,Chris Mayne
2020,3,Jamie Elliott,Collingwood,74,94,Jamie Elliott
2020,3,Tom Phillips,Collingwood,57,37,Tom Phillips
2020,3,Jordan Roughead,Collingwood,55,52,Jordan Roughead
2020,3,Brody Mihocek,Collingwood,63,96,Brody Mihocek
2020,3,Jaidyn Stephenson,Collingwood,38,68,Jaidyn Stephenson
2020,3,Darcy Cameron,Collingwood,32,28,Darcy Cameron
2020,3,Bradley Hill,St Kilda,91,88,Bradley Hill
2020,3,Jade Gresham,St Kilda,72,81,Jade Gresham
2020,3,Jake Carlisle,St Kilda,88,96,Jake Carlisle
2020,3,Ben Paton,St Kilda,72,100,Ben Paton
2020,3,Sebastian Ross,St Kilda,53,58,Sebastian Ross
2020,3,Daniel Hannebery,St Kilda,55,41,Dan Hannebery
2020,3,Jack Billings,St Kilda,64,70,Jack Billings
2020,3,Zak Jones,St Kilda,66,66,Zak Jones
2020,3,Dougal Howard,St Kilda,67,87,Dougal Howard
2020,3,Daniel Butler,St Kilda,83,124,Dan Butler
2020,3,Hunter Clark,St Kilda,60,70,Hunter Clark
2020,3,Nicholas Coffield,St Kilda,73,62,Nick Coffield
2020,3,Rowan Marshall,St Kilda,67,81,Rowan Marshall
2020,3,Jack Steele,St Kilda,70,73,Jack Steele
2020,3,Ben Long,St Kilda,33,57,Ben Long
2020,3,Callum Wilkie,St Kilda,27,62,Callum Wilkie
2020,3,Jonathon Marsh,St Kilda,39,49,Jonathon Marsh
2020,3,Jack Lonie,St Kilda,41,44,Jack Lonie
2020,3,Patrick Ryder,St Kilda,56,62,Paddy Ryder
2020,3,Max King,St Kilda,49,51,Max King
2020,3,Tim Membrey,St Kilda,37,30,Tim Membrey
2020,3,Nick Hind,St Kilda,22,15,Nick Hind
2020,3,Mitchell Duncan,Geelong,90,123,Mitch Duncan
2020,3,Patrick Dangerfield,Geelong,72,75,Patrick Dangerfield
2020,3,Zach Tuohy,Geelong,66,70,Zach Tuohy
2020,3,Cameron Guthrie,Geelong,64,95,Cameron Guthrie
2020,3,Joel Selwood,Geelong,67,93,Joel Selwood
2020,3,Quinton Narkle,Geelong,64,111,Quinton Narkle
2020,3,Thomas Stewart,Geelong,88,84,Tom Stewart
2020,3,Gryan Miers,Geelong,68,93,Gryan Miers
2020,3,Gary Ablett,Geelong,54,64,Gary Ablett
2020,3,Esava Ratugolea,Geelong,59,91,Esava Ratugolea
2020,3,Tom Hawkins,Geelong,58,97,Tom Hawkins
2020,3,Harry Taylor,Geelong,45,69,Harry Taylor
2020,3,Jed Bews,Geelong,41,64,Jed Bews
2020,3,Rhys Stanley,Geelong,47,70,Rhys Stanley
2020,3,Gary Rohan,Geelong,74,106,Gary Rohan
2020,3,Mark Blicavs,Geelong,28,63,Mark Blicavs
2020,3,Sam Menegola,Geelong,32,55,Sam Menegola
2020,3,Mark O'Connor,Geelong,29,43,Mark O'Connor
2020,3,Jack Henry,Geelong,41,62,Jack Henry
2020,3,Jack Steven,Geelong,21,20,Jack Steven
2020,3,Tom Atkins,Geelong,35,65,Tom Atkins
2020,3,Luke Dahlhaus,Geelong,7,7,Luke Dahlhaus
2020,3,Patrick Cripps,Carlton,99,123,Patrick Cripps
2020,3,Sam Docherty,Carlton,97,122,Sam Docherty
2020,3,Jack Martin,Carlton,77,127,Jack Martin
2020,3,Michael Gibbons,Carlton,71,58,Michael Gibbons
2020,3,Edward Curnow,Carlton,52,74,Ed Curnow
2020,3,Eddie Betts,Carlton,65,113,Eddie Betts
2020,3,Jacob Weitering,Carlton,50,90,Jacob Weitering
2020,3,Sam Walsh,Carlton,49,75,Sam Walsh
2020,3,Marc Murphy,Carlton,54,78,Marc Murphy
2020,3,Levi Casboult,Carlton,73,110,Levi Casboult
2020,3,Kade Simpson,Carlton,52,58,Kade Simpson
2020,3,Marc Pittonet,Carlton,78,137,Marc Pittonet
2020,3,Jack Silvagni,Carlton,43,46,Jack Silvagni
2020,3,David Cuningham,Carlton,44,49,David Cuningham
2020,3,Sam P-Seton,Carlton,36,45,Sam Petrevski-Seton
2020,3,Jack Newnes,Carlton,37,53,Jack Newnes
2020,3,Will Setterfield,Carlton,40,47,Will Setterfield
2020,3,Tom Williamson,Carlton,34,53,Tom Williamson
2020,3,Lachlan Plowman,Carlton,44,50,Lachie Plowman
2020,3,Harry McKay,Carlton,41,38,Harry McKay
2020,3,Liam Jones,Carlton,31,69,Liam Jones
2020,3,Mitch McGovern,Carlton,42,67,Mitch McGovern
2020,3,Lachie Neale,Brisbane Lions,126,166,Lachie Neale
2020,3,Hugh McCluggage,Brisbane Lions,108,155,Hugh McCluggage
2020,3,Jarryd Lyons,Brisbane Lions,96,114,Jarryd Lyons
2020,3,Daniel Rich,Brisbane Lions,82,102,Daniel Rich
2020,3,Ryan Lester,Brisbane Lions,69,106,Ryan Lester
2020,3,Cameron E-Yolmen,Brisbane Lions,54,73,Cameron Ellis-Yolmen
2020,3,Grant Birchall,Brisbane Lions,67,66,Grant Birchall
2020,3,Jarrod Berry,Brisbane Lions,87,127,Jarrod Berry
2020,3,Mitch Robinson,Brisbane Lions,57,76,Mitch Robinson
2020,3,Eric Hipwood,Brisbane Lions,52,66,Eric Hipwood
2020,3,Brandon Starcevich,Brisbane Lions,60,89,Brandon Starcevich
2020,3,Darcy Gardiner,Brisbane Lions,44,74,Darcy Gardiner
2020,3,Oscar McInerney,Brisbane Lions,51,132,Oscar McInerney
2020,3,Zac Bailey,Brisbane Lions,40,59,Zac Bailey
2020,3,Lincoln McCarthy,Brisbane Lions,38,71,Lincoln McCarthy
2020,3,Callum Ah Chee,Brisbane Lions,40,42,Callum Ah Chee
2020,3,Harris Andrews,Brisbane Lions,35,94,Harris Andrews
2020,3,Cameron Rayner,Brisbane Lions,39,60,Cam Rayner
2020,3,Daniel McStay,Brisbane Lions,30,40,Daniel McStay
2020,3,Archie Smith,Brisbane Lions,26,37,Archie Smith
2020,3,Charlie Cameron,Brisbane Lions,30,46,Charlie Cameron
2020,3,Thomas Berry,Brisbane Lions,18,21,Thomas Berry
2020,3,Andrew Gaff,West Coast,111,117,Andrew Gaff
2020,3,Tim Kelly,West Coast,61,61,Tim Kelly
2020,3,Elliot Yeo,West Coast,59,71,Elliot Yeo
2020,3,Bradley Sheppard,West Coast,65,99,Brad Sheppard
2020,3,Shannon Hurn,West Coast,53,89,Shannon Hurn
2020,3,Jarrod Brander,West Coast,68,75,Jarrod Brander
2020,3,Luke Shuey,West Coast,31,83,Luke Shuey
2020,3,Brendon Ah Chee,West Coast,47,72,Brendon Ah Chee
2020,3,Nicholas Naitanui,West Coast,94,137,Nic Naitanui
2020,3,Jack Redden,West Coast,33,49,Jack Redden
2020,3,Dominic Sheed,West Coast,34,56,Dom Sheed
2020,3,Jamie Cripps,West Coast,46,47,Jamie Cripps
2020,3,Lewis Jetta,West Coast,42,67,Lewis Jetta
2020,3,Liam Duggan,West Coast,41,71,Liam Duggan
2020,3,Oscar Allen,West Coast,40,40,Oscar Allen
2020,3,Will Schofield,West Coast,24,48,Will Schofield
2020,3,Jack Darling,West Coast,41,63,Jack Darling
2020,3,Jack Petruccelle,West Coast,33,45,Jack Petruccelle
2020,3,Liam Ryan,West Coast,42,74,Liam Ryan
2020,3,Joshua Kennedy,West Coast,34,52,Josh J. Kennedy
2020,3,Josh Rotham,West Coast,24,17,Josh Rotham
2020,3,Tom Barrass,West Coast,13,52,Tom Barrass
2020,3,Touk Miller,Gold Coast,102,126,Touk Miller
2020,3,Lachlan Weller,Gold Coast,95,108,Lachie Weller
2020,3,Brandon Ellis,Gold Coast,85,111,Brandon Ellis
2020,3,Jack Bowes,Gold Coast,88,94,Jack Bowes
2020,3,Matt Rowell,Gold Coast,104,141,Matt Rowell
2020,3,Pearce Hanley,Gold Coast,63,94,Pearce Hanley
2020,3,Jarrod Witts,Gold Coast,80,147,Jarrod Witts
2020,3,Darcy Macpherson,Gold Coast,67,111,Darcy MacPherson
2020,3,Ben Ainsworth,Gold Coast,83,101,Ben Ainsworth
2020,3,David Swallow,Gold Coast,62,58,David Swallow
2020,3,Connor Budarick,Gold Coast,69,80,Connor Budarick
2020,3,Jack Lukosius,Gold Coast,68,72,Jack Lukosius
2020,3,Charlie Ballard,Gold Coast,53,57,Charlie Ballard
2020,3,Ben King,Gold Coast,68,130,Ben King
2020,3,Wil Powell,Gold Coast,45,67,Wil Powell
2020,3,Jarrod Harbrow,Gold Coast,25,40,Jarrod Harbrow
2020,3,Hugh Greenwood,Gold Coast,77,116,Hugh Greenwood
2020,3,Samuel Collins,Gold Coast,53,72,Sam Collins
2020,3,Noah Anderson,Gold Coast,39,51,Noah Anderson
2020,3,Nicholas Holman,Gold Coast,46,61,Nick Holman
2020,3,Alex Sexton,Gold Coast,45,54,Alex Sexton
2020,3,Sam Day,Gold Coast,21,28,Sam Day
2020,3,Rory Laird,Adelaide,79,107,Rory Laird
2020,3,Brad Crouch,Adelaide,80,101,Brad Crouch
2020,3,Matt Crouch,Adelaide,67,102,Matt Crouch
2020,3,Tom Doedee,Adelaide,86,113,Tom Doedee
2020,3,Brodie Smith,Adelaide,73,94,Brodie Smith
2020,3,Luke Brown,Adelaide,65,78,Luke Brown
2020,3,Rory Sloane,Adelaide,41,94,Rory Sloane
2020,3,Paul Seedsman,Adelaide,73,99,Paul Seedsman
2020,3,Tom Lynch,Adelaide,40,35,Tom Lynch
2020,3,Ben Keays,Adelaide,68,64,Ben Keays
2020,3,Reilly O'Brien,Adelaide,94,91,Reilly O'Brien
2020,3,Ben Crocker,Adelaide,53,54,Ben Crocker
2020,3,Will Hamill,Adelaide,34,40,Will Hamill
2020,3,Chayce Jones,Adelaide,20,20,Chayce Jones
2020,3,Fischer McAsey,Adelaide,33,53,Fischer McAsey
2020,3,Taylor Walker,Adelaide,34,47,Taylor Walker
2020,3,Darcy Fogarty,Adelaide,48,64,Darcy Fogarty
2020,3,Daniel Talia,Adelaide,23,40,Daniel Talia
2020,3,Jake Kelly,Adelaide,36,38,Jake Kelly
2020,3,Lachlan Murphy,Adelaide,18,22,Lachlan Murphy
2020,3,Rory Atkins,Adelaide,6,7,Rory Atkins
2020,3,Ned McHenry,Adelaide,14,17,Ned McHenry
2020,3,Michael Walters,Fremantle,75,109,Michael Walters
2020,3,Nathan Fyfe,Fremantle,79,166,Nat Fyfe
2020,3,Brett Bewley,Fremantle,57,93,Brett Bewley
2020,3,James Aish,Fremantle,59,74,James Aish
2020,3,Brennan Cox,Fremantle,54,93,Brennan Cox
2020,3,Adam Cerra,Fremantle,70,89,Adam Cerra
2020,3,Darcy Tucker,Fremantle,68,90,Darcy Tucker
2020,3,David Mundy,Fremantle,55,68,David Mundy
2020,3,Andrew Brayshaw,Fremantle,54,82,Andrew Brayshaw
2020,3,Nathan Wilson,Fremantle,49,85,Nathan Wilson
2020,3,Luke Ryan,Fremantle,56,67,Luke Ryan
2020,3,Reece Conca,Fremantle,47,40,Reece Conca
2020,3,Lachlan Schultz,Fremantle,42,22,Lachie Schultz
2020,3,Jesse Hogan,Fremantle,23,31,Jesse Hogan
2020,3,Ethan Hughes,Fremantle,51,64,Ethan Hughes
2020,3,Griffin Logue,Fremantle,24,64,Griffin Logue
2020,3,Travis Colyer,Fremantle,36,68,Travis Colyer
2020,3,Matthew Taberner,Fremantle,43,77,Matt Taberner
2020,3,Hayden Young,Fremantle,32,41,Hayden Young
2020,3,Brandon Matera,Fremantle,48,61,Brandon Matera
2020,3,Rory Lobb,Fremantle,52,41,Rory Lobb
2020,3,Sam Sturt,Fremantle,14,11,Sam Sturt
2020,3,Travis Boak,Port Adelaide,106,159,Travis Boak
2020,3,Oliver Wines,Port Adelaide,86,107,Ollie Wines
2020,3,Tom Rockliff,Port Adelaide,63,61,Tom Rockliff
2020,3,Brad Ebert,Port Adelaide,77,116,Brad Ebert
2020,3,Trent McKenzie,Port Adelaide,72,97,Trent McKenzie
2020,3,Justin Westhoff,Port Adelaide,75,114,Justin Westhoff
2020,3,Darcy B-Jones,Port Adelaide,64,77,Darcy Byrne-Jones
2020,3,Hamish Hartlett,Port Adelaide,63,126,Hamish Hartlett
2020,3,Karl Amon,Port Adelaide,48,77,Karl Amon
2020,3,Scott Lycett,Port Adelaide,85,156,Scott Lycett
2020,3,Dan Houston,Port Adelaide,55,73,Dan Houston
2020,3,Robbie Gray,Port Adelaide,40,71,Robbie Gray
2020,3,Riley Bonner,Port Adelaide,41,52,Riley Bonner
2020,3,Todd Marshall,Port Adelaide,55,88,Todd Marshall
2020,3,Sam P-Pepper,Port Adelaide,26,36,Sam Powell-Pepper
2020,3,Charlie Dixon,Port Adelaide,65,89,Charlie Dixon
2020,3,Zak Butters,Port Adelaide,35,65,Zak Butters
2020,3,Connor Rozee,Port Adelaide,23,30,Connor Rozee
2020,3,Xavier Duursma,Port Adelaide,37,51,Xavier Duursma
2020,3,Tom Clurey,Port Adelaide,22,32,Tom Clurey
2020,3,Steven Motlop,Port Adelaide,25,33,Steven Motlop
2020,3,Thomas Jonas,Port Adelaide,16,52,Tom Jonas
2020,4,Luke Parker,Sydney,83,120,Luke Parker
2020,4,Jake Lloyd,Sydney,65,102,Jake Lloyd
2020,4,Josh P. Kennedy,Sydney,95,93,Josh P. Kennedy
2020,4,Callum Mills,Sydney,80,112,Callum Mills
2020,4,Jordan Dawson,Sydney,50,54,Jordan Dawson
2020,4,George Hewett,Sydney,45,70,George Hewett
2020,4,James Rowbottom,Sydney,65,76,James Rowbottom
2020,4,Harry Cunningham,Sydney,57,59,Harry Cunningham
2020,4,Tom Papley,Sydney,84,101,Tom Papley
2020,4,Oliver Florent,Sydney,43,59,Oliver Florent
2020,4,Dane Rampe,Sydney,36,74,Dane Rampe
2020,4,Justin Mcinerney,Sydney,50,74,Justin McInerney
2020,4,Aliir Aliir,Sydney,38,58,Aliir Aliir
2020,4,Isaac Heeney,Sydney,64,64,Isaac Heeney
2020,4,Will Hayward,Sydney,58,73,Will Hayward
2020,4,Ben Ronke,Sydney,53,75,Ben Ronke
2020,4,Robbie Fox,Sydney,24,40,Robbie Fox
2020,4,Callum Sinclair,Sydney,57,68,Callum Sinclair
2020,4,Sam Naismith,Sydney,76,79,Sam Naismith
2020,4,Lewis Taylor,Sydney,45,34,Lewis Taylor
2020,4,Nick Blakey,Sydney,30,31,Nick Blakey
2020,4,Hayden McLean,Sydney,34,39,Hayden McLean
2020,4,Jackson Macrae,Western Bulldogs,71,92,Jack Macrae
2020,4,Timothy English,Western Bulldogs,102,145,Tim English
2020,4,Patrick Lipinski,Western Bulldogs,62,85,Patrick Lipinski
2020,4,Bailey Smith,Western Bulldogs,61,93,Bailey Smith
2020,4,Marcus Bontempelli,Western Bulldogs,94,166,Marcus Bontempelli
2020,4,Caleb Daniel,Western Bulldogs,65,114,Caleb Daniel
2020,4,Thomas Liberatore,Western Bulldogs,64,78,Tom Liberatore
2020,4,Hayden Crozier,Western Bulldogs,52,64,Hayden Crozier
2020,4,Bailey Dale,Western Bulldogs,74,95,Bailey Dale
2020,4,Mitchell Wallis,Western Bulldogs,45,66,Mitch Wallis
2020,4,Bailey Williams,Western Bulldogs,58,89,Bailey Williams
2020,4,Louis Butler,Western Bulldogs,43,49,Louis Butler
2020,4,Jason Johannisen,Western Bulldogs,51,87,Jason Johannisen
2020,4,Ed Richards,Western Bulldogs,48,66,Ed Richards
2020,4,Rhylee West,Western Bulldogs,48,74,Rhylee West
2020,4,Toby McLean,Western Bulldogs,35,54,Toby McLean
2020,4,Zaine Cordy,Western Bulldogs,47,65,Zaine Cordy
2020,4,Josh Bruce,Western Bulldogs,34,52,Josh Bruce
2020,4,Laitham Vandermeer,Western Bulldogs,42,59,Laitham Vandermeer
2020,4,Alex Keath,Western Bulldogs,23,40,Alex Keath
2020,4,Sam Lloyd,Western Bulldogs,33,59,Sam Lloyd
2020,4,Aaron Naughton,Western Bulldogs,28,54,Aaron Naughton
2020,4,Lachie Whitfield,Greater Western Sydney,88,85,Lachie Whitfield
2020,4,Zachary Williams,Greater Western Sydney,64,77,Zac Williams
2020,4,Joshua Kelly,Greater Western Sydney,92,120,Josh Kelly
2020,4,Toby Greene,Greater Western Sydney,73,96,Toby Greene
2020,4,Tom Green,Greater Western Sydney,51,94,Tom Green
2020,4,Aidan Corr,Greater Western Sydney,76,102,Aidan Corr
2020,4,Heath Shaw,Greater Western Sydney,65,78,Heath Shaw
2020,4,Nick Haynes,Greater Western Sydney,70,101,Nick Haynes
2020,4,Callan Ward,Greater Western Sydney,61,104,Callan Ward
2020,4,Jacob Hopper,Greater Western Sydney,49,68,Jacob Hopper
2020,4,Harry Perryman,Greater Western Sydney,41,66,Harry Perryman
2020,4,Brent Daniels,Greater Western Sydney,56,60,Brent Daniels
2020,4,Matthew De Boer,Greater Western Sydney,40,42,Matt de Boer
2020,4,Stephen Coniglio,Greater Western Sydney,35,49,Stephen Coniglio
2020,4,Jeremy Cameron,Greater Western Sydney,66,92,Jeremy Cameron
2020,4,Jeremy Finlayson,Greater Western Sydney,54,74,Jeremy Finlayson
2020,4,Shane Mumford,Greater Western Sydney,51,36,Shane Mumford
2020,4,Sam Taylor,Greater Western Sydney,29,70,Sam Taylor
2020,4,Jackson Hately,Greater Western Sydney,22,47,Jackson Hately
2020,4,Phil Davis,Greater Western Sydney,33,45,Phil Davis
2020,4,Harrison Himmelberg,Greater Western Sydney,33,31,Harry Himmelberg
2020,4,Lachlan Ash,Greater Western Sydney,18,25,Lachie Ash
2020,4,Scott Pendlebury,Collingwood,81,150,Scott Pendlebury
2020,4,Jeremy Howe,Collingwood,92,112,Jeremy Howe
2020,4,Brayden Maynard,Collingwood,84,118,Brayden Maynard
2020,4,Brodie Grundy,Collingwood,117,135,Brodie Grundy
2020,4,Taylor Adams,Collingwood,96,122,Taylor Adams
2020,4,Jack Crisp,Collingwood,69,115,Jack Crisp
2020,4,Darcy Moore,Collingwood,69,72,Darcy Moore
2020,4,Rupert Wills,Collingwood,80,96,Rupert Wills
2020,4,Callum Brown,Collingwood,49,66,Callum L. Brown
2020,4,Steele Sidebottom,Collingwood,60,67,Steele Sidebottom
2020,4,Jordan Roughead,Collingwood,61,71,Jordan Roughead
2020,4,Jamie Elliott,Collingwood,43,57,Jamie Elliott
2020,4,John Noble,Collingwood,52,72,John Noble
2020,4,Jordan De Goey,Collingwood,32,62,Jordan De Goey
2020,4,Jaidyn Stephenson,Collingwood,62,73,Jaidyn Stephenson
2020,4,Tom Phillips,Collingwood,51,82,Tom Phillips
2020,4,Christopher Mayne,Collingwood,28,39,Chris Mayne
2020,4,Will H-Elliott,Collingwood,34,29,Will Hoskin-Elliott
2020,4,Mason Cox,Collingwood,44,49,Mason Cox
2020,4,Tyler Brown,Collingwood,30,45,Tyler Brown
2020,4,Josh Daicos,Collingwood,55,66,Josh Daicos
2020,4,Brody Mihocek,Collingwood,40,41,Brody Mihocek
2020,4,Hamish Hartlett,Port Adelaide,82,96,Hamish Hartlett
2020,4,Travis Boak,Port Adelaide,64,90,Travis Boak
2020,4,Tom Rockliff,Port Adelaide,72,81,Tom Rockliff
2020,4,Dan Houston,Port Adelaide,82,76,Dan Houston
2020,4,Karl Amon,Port Adelaide,74,84,Karl Amon
2020,4,Brad Ebert,Port Adelaide,91,107,Brad Ebert
2020,4,Darcy B-Jones,Port Adelaide,56,58,Darcy Byrne-Jones
2020,4,Thomas Jonas,Port Adelaide,64,87,Tom Jonas
2020,4,Charlie Dixon,Port Adelaide,105,165,Charlie Dixon
2020,4,Connor Rozee,Port Adelaide,53,53,Connor Rozee
2020,4,Oliver Wines,Port Adelaide,50,72,Ollie Wines
2020,4,Zak Butters,Port Adelaide,50,80,Zak Butters
2020,4,Justin Westhoff,Port Adelaide,84,99,Justin Westhoff
2020,4,Steven Motlop,Port Adelaide,39,50,Steven Motlop
2020,4,Tom Clurey,Port Adelaide,69,79,Tom Clurey
2020,4,Robbie Gray,Port Adelaide,40,77,Robbie Gray
2020,4,Riley Bonner,Port Adelaide,44,58,Riley Bonner
2020,4,Sam P-Pepper,Port Adelaide,42,71,Sam Powell-Pepper
2020,4,Scott Lycett,Port Adelaide,70,96,Scott Lycett
2020,4,Kane Farrell,Port Adelaide,45,57,Kane Farrell
2020,4,Todd Marshall,Port Adelaide,67,82,Todd Marshall
2020,4,Trent McKenzie,Port Adelaide,28,67,Trent McKenzie
2020,4,Andrew Gaff,West Coast,93,112,Andrew Gaff
2020,4,Luke Shuey,West Coast,66,114,Luke Shuey
2020,4,Dominic Sheed,West Coast,65,87,Dom Sheed
2020,4,Elliot Yeo,West Coast,61,59,Elliot Yeo
2020,4,Tim Kelly,West Coast,88,102,Tim Kelly
2020,4,Shannon Hurn,West Coast,61,86,Shannon Hurn
2020,4,Bradley Sheppard,West Coast,65,102,Brad Sheppard
2020,4,Lewis Jetta,West Coast,54,37,Lewis Jetta
2020,4,Liam Duggan,West Coast,46,69,Liam Duggan
2020,4,Jack Redden,West Coast,55,72,Jack Redden
2020,4,Jamie Cripps,West Coast,48,61,Jamie Cripps
2020,4,Joshua Kennedy,West Coast,76,116,Josh J. Kennedy
2020,4,Jamaine Jones,West Coast,45,34,Jamaine Jones
2020,4,Liam Ryan,West Coast,60,66,Liam Ryan
2020,4,Tom Cole,West Coast,49,77,Tom Cole
2020,4,Jarrod Brander,West Coast,46,49,Jarrod Brander
2020,4,Nicholas Naitanui,West Coast,51,74,Nic Naitanui
2020,4,Brendon Ah Chee,West Coast,28,50,Brendon Ah Chee
2020,4,Tom Barrass,West Coast,24,72,Tom Barrass
2020,4,Jack Darling,West Coast,19,22,Jack Darling
2020,4,Tom Hickey,West Coast,26,40,Tom Hickey
2020,4,Will Schofield,West Coast,2,16,Will Schofield
2020,4,Jack Billings,St Kilda,87,113,Jack Billings
2020,4,Jack Steele,St Kilda,98,114,Jack Steele
2020,4,Bradley Hill,St Kilda,86,71,Bradley Hill
2020,4,Daniel Hannebery,St Kilda,45,73,Dan Hannebery
2020,4,Ben Long,St Kilda,69,91,Ben Long
2020,4,Sebastian Ross,St Kilda,53,60,Sebastian Ross
2020,4,Jack Lonie,St Kilda,69,96,Jack Lonie
2020,4,Josh Battle,St Kilda,66,77,Josh Battle
2020,4,Nicholas Coffield,St Kilda,61,73,Nick Coffield
2020,4,Rowan Marshall,St Kilda,89,117,Rowan Marshall
2020,4,Hunter Clark,St Kilda,66,90,Hunter Clark
2020,4,Daniel Butler,St Kilda,80,118,Dan Butler
2020,4,Ben Paton,St Kilda,48,50,Ben Paton
2020,4,Tim Membrey,St Kilda,85,118,Tim Membrey
2020,4,Zak Jones,St Kilda,36,45,Zak Jones
2020,4,Jonathon Marsh,St Kilda,65,73,Jonathon Marsh
2020,4,Dean Kent,St Kilda,40,52,Dean Kent
2020,4,Jade Gresham,St Kilda,35,43,Jade Gresham
2020,4,Max King,St Kilda,35,43,Max King
2020,4,Callum Wilkie,St Kilda,40,73,Callum Wilkie
2020,4,Jake Carlisle,St Kilda,60,78,Jake Carlisle
2020,4,Dougal Howard,St Kilda,44,46,Dougal Howard
2020,4,Dion Prestia,Richmond,85,86,Dion Prestia
2020,4,Shane Edwards,Richmond,88,119,Shane Edwards
2020,4,Trent Cotchin,Richmond,92,113,Trent Cotchin
2020,4,Bachar Houli,Richmond,85,68,Bachar Houli
2020,4,Jayden Short,Richmond,66,82,Jayden Short
2020,4,Dustin Martin,Richmond,54,81,Dustin Martin
2020,4,Toby Nankervis,Richmond,118,184,Toby Nankervis
2020,4,Jack Higgins,Richmond,70,106,Jack Higgins
2020,4,David Astbury,Richmond,55,63,David Astbury
2020,4,Tom Lynch,Richmond,60,89,Tom J. Lynch
2020,4,Liam Baker,Richmond,52,59,Liam Baker
2020,4,Jack Ross,Richmond,39,38,Jack Ross
2020,4,Josh Caddy,Richmond,46,55,Josh Caddy
2020,4,Nick Vlastuin,Richmond,30,50,Nick Vlastuin
2020,4,Kane Lambert,Richmond,40,60,Kane Lambert
2020,4,Nathan Broad,Richmond,31,45,Nathan Broad
2020,4,Shai Bolton,Richmond,65,80,Shai Bolton
2020,4,Kamdyn Mcintosh,Richmond,38,36,Kamdyn McIntosh
2020,4,Jason Castagna,Richmond,39,46,Jason Castagna
2020,4,Sydney Stack,Richmond,27,30,Sydney Stack
2020,4,Jack Riewoldt,Richmond,38,57,Jack Riewoldt
2020,4,Dylan Grimes,Richmond,10,40,Dylan Grimes
2020,4,Andrew McGrath,Essendon,72,79,Andrew McGrath
2020,4,Dylan Shiel,Essendon,62,81,Dylan Shiel
2020,4,Devon Smith,Essendon,86,70,Devon Smith
2020,4,Jordan Ridley,Essendon,76,134,Jordan Ridley
2020,4,Zachary Merrett,Essendon,58,78,Zach Merrett
2020,4,Michael Hurley,Essendon,56,72,Michael Hurley
2020,4,Adam Saad,Essendon,74,131,Adam Saad
2020,4,Martin Gleeson,Essendon,51,73,Martin Gleeson
2020,4,Kyle Langford,Essendon,53,58,Kyle Langford
2020,4,Aaron Francis,Essendon,75,83,Aaron Francis
2020,4,Cale Hooker,Essendon,46,82,Cale Hooker
2020,4,David Zaharakis,Essendon,57,63,David Zaharakis
2020,4,Shaun McKernan,Essendon,77,85,Shaun McKernan
2020,4,Darcy Parish,Essendon,43,62,Darcy Parish
2020,4,Mason Redman,Essendon,46,76,Mason Redman
2020,4,Jake Stringer,Essendon,42,56,Jake Stringer
2020,4,Will Snelling,Essendon,24,21,Will Snelling
2020,4,Tom Bellchambers,Essendon,36,37,Tom Bellchambers
2020,4,Orazio Fantasia,Essendon,32,62,Orazio Fantasia
2020,4,Brayden Ham,Essendon,22,16,Brayden Ham
2020,4,Jacob Townsend,Essendon,31,50,Jacob Townsend
2020,4,Anthony M-Tipungwuti,Essendon,32,54,Anthony McDonald-Tipungwuti
2020,4,Sam Docherty,Carlton,110,185,Sam Docherty
2020,4,David Cuningham,Carlton,99,102,David Cuningham
2020,4,Michael Gibbons,Carlton,106,115,Michael Gibbons
2020,4,Sam Walsh,Carlton,90,99,Sam Walsh
2020,4,Marc Murphy,Carlton,81,98,Marc Murphy
2020,4,Edward Curnow,Carlton,78,122,Ed Curnow
2020,4,Patrick Cripps,Carlton,73,81,Patrick Cripps
2020,4,Will Setterfield,Carlton,64,88,Will Setterfield
