"","season","match_round","player_name","player_team","betfair_votes"
"98",2019,3,"Jaeger O'Meara","Hawthorn","2.5"
"99",2019,3,"Shaun Higgins","North Melbourne","2"
"100",2019,3,"Jack Ziebell","North Melbourne","0.5"
"101",2019,3,"Jasper Pittard","North Melbourne","0.5"
"102",2019,3,"Luke Breust","Hawthorn","0.5"
"103",2019,3,"Michael Walters","Fremantle","2.5"
"104",2019,3,"Luke Ryan","Fremantle","2"
"105",2019,3,"Ed Langdon","Fremantle","1"
"106",2019,3,"Jack Billings","St Kilda","0.5"
"107",2019,4,"Nathan Jones","Melbourne","2"
"108",2019,4,"Max Gawn","Melbourne","1.5"
"109",2019,4,"Isaac Heeney","Sydney","1"
"110",2019,4,"Oliver Florent","Sydney","1"
"111",2019,4,"Clayton Oliver","Melbourne","0.5"
"112",2019,4,"Brodie Grundy","Collingwood","2.5"
"113",2019,4,"Marcus Bontempelli","Western Bulldogs","2.5"
"114",2019,4,"Tom Phillips","Collingwood","0.5"
"115",2019,4,"Caleb Daniel","Western Bulldogs","0.5"
"116",2019,4,"Lachie Whitfield","Greater Western Sydney","2.5"
"117",2019,4,"Stephen Coniglio","Greater Western Sydney","2"
"118",2019,4,"Josh Kelly","Greater Western Sydney","1"
"119",2019,4,"Tim Taranto","Greater Western Sydney","0.5"
"120",2019,4,"Anthony McDonald-Tipungwuti","Essendon","3"
"121",2019,4,"Zach Merrett","Essendon","2"
"122",2019,4,"Mitch Brown","Essendon","1"
"123",2019,4,"Brandon Ellis","Richmond","2"
"124",2019,4,"Dylan Grimes","Richmond","1.5"
"125",2019,4,"Tom Rockliff","Port Adelaide","1.5"
"126",2019,4,"Tom J. Lynch","Richmond","1"
"127",2019,4,"Shaun Higgins","North Melbourne","3"
"128",2019,4,"Jared Polec","North Melbourne","1.5"
"129",2019,4,"Rory Laird","Adelaide","0.5"
"130",2019,4,"Matt Crouch","Adelaide","0.5"
"131",2019,4,"Ben Brown","North Melbourne","0.5"
"132",2019,4,"Shannon Hurn","West Coast","2.5"
"133",2019,4,"David Mundy","Fremantle","1.5"
"134",2019,4,"Andrew Gaff","West Coast","1"
"135",2019,4,"Jack Redden","West Coast","1"
"136",2019,4,"Patrick Cripps","Carlton","2.5"
"137",2019,4,"Touk Miller","Gold Coast","2"
"138",2019,4,"David Swallow","Gold Coast","1"
"139",2019,4,"Sam Walsh","Carlton","0.5"
"140",2019,4,"Sebastian Ross","St Kilda","2.5"
"141",2019,4,"Jack Billings","St Kilda","1.5"
"142",2019,4,"Tom Scully","Hawthorn","1"
"143",2019,4,"Ricky Henderson","Hawthorn","0.5"
"144",2019,4,"Jack Newnes","St Kilda","0.5"
"145",2019,5,"Adam Treloar","Collingwood","2.5"
"146",2019,5,"Brody Mihocek","Collingwood","1.5"
"147",2019,5,"Jack Crisp","Collingwood","1"
"148",2019,5,"Jaidyn Stephenson","Collingwood","0.5"
"149",2019,5,"Tom Langdon","Collingwood","0.5"
"150",2019,5,"Dylan Shiel","Essendon","2.5"
"151",2019,5,"Zach Merrett","Essendon","2"
"152",2019,5,"Dyson Heppell","Essendon","1.5"
"153",2019,5,"Ollie Wines","Port Adelaide","2.5"
"154",2019,5,"Sam Gray","Port Adelaide","1.5"
"155",2019,5,"Travis Boak","Port Adelaide","1"
"156",2019,5,"Sam Powell-Pepper","Port Adelaide","1"
"157",2019,5,"Nat Fyfe","Fremantle","2"
"158",2019,5,"Michael Walters","Fremantle","2"
"159",2019,5,"Matt Taberner","Fremantle","1.5"
"160",2019,5,"Stephen Coniglio","Greater Western Sydney","0.5"
"161",2019,5,"Jack Billings","St Kilda","2"
"162",2019,5,"Shane Savage","St Kilda","1.5"
"163",2019,5,"Dean Kent","St Kilda","1.5"
"164",2019,5,"Tim Membrey","St Kilda","1"
"165",2019,5,"Dustin Martin","Richmond","3"
"166",2019,5,"Dion Prestia","Richmond","2"
"167",2019,5,"Luke Parker","Sydney","1"
"168",2019,5,"Sam Petrevski-Seton","Carlton","2"
"169",2019,5,"Harry McKay","Carlton","2"
"170",2019,5,"Patrick Cripps","Carlton","2"
"171",2019,5,"Brodie Smith","Adelaide","2.5"
"172",2019,5,"Eddie Betts","Adelaide","2"
"173",2019,5,"Rory Sloane","Adelaide","1"
"174",2019,5,"Matt Crouch","Adelaide","0.5"
"175",2019,5,"Tim Kelly","Geelong","2.5"
"176",2019,5,"Gary Ablett","Geelong","1.5"
"177",2019,5,"Ricky Henderson","Hawthorn","1"
"178",2019,5,"Patrick Dangerfield","Geelong","0.5"
"179",2019,5,"Joel Selwood","Geelong","0.5"
"180",2019,6,"Nick Vlastuin","Richmond","2.5"
"181",2019,6,"Bachar Houli","Richmond","2"
"182",2019,6,"Kane Lambert","Richmond","1.5"
"183",2019,6,"Scott Pendlebury","Collingwood","3"
"184",2019,6,"Joe Daniher","Essendon","1.5"
"185",2019,6,"Dylan Shiel","Essendon","1"
"186",2019,6,"Brodie Grundy","Collingwood","0.5"
"187",2019,6,"Travis Boak","Port Adelaide","2.5"
"188",2019,6,"Sam Gray","Port Adelaide","2"
"189",2019,6,"Ben Cunnington","North Melbourne","1.5"
"190",2019,6,"Mitch Robinson","Brisbane Lions","2.5"
"191",2019,6,"Lachie Neale","Brisbane Lions","2"
"192",2019,6,"Charlie Cameron","Brisbane Lions","1"
"193",2019,6,"Jarryd Lyons","Brisbane Lions","0.5"
"194",2019,6,"Matt Crouch","Adelaide","2"
"195",2019,6,"Taylor Walker","Adelaide","2"
"196",2019,6,"Brodie Smith","Adelaide","1"
"197",2019,6,"Rory Laird","Adelaide","1"
"198",2019,6,"Stephen Coniglio","Greater Western Sydney","3"
"199",2019,6,"Tim Taranto","Greater Western Sydney","1.5"
"200",2019,6,"Jeremy Cameron","Greater Western Sydney","0.5"
"201",2019,6,"Toby Greene","Greater Western Sydney","0.5"
"202",2019,6,"Jacob Hopper","Greater Western Sydney","0.5"
"203",2019,6,"David Mundy","Fremantle","3"
"204",2019,6,"Nat Fyfe","Fremantle","1.5"
"205",2019,6,"Caleb Daniel","Western Bulldogs","1"
"206",2019,6,"Brandon Matera","Fremantle","0.5"
"207",2019,6,"Jaeger O'Meara","Hawthorn","3"
"208",2019,6,"Liam Shiels","Hawthorn","2"
"209",2019,6,"James Sicily","Hawthorn","1"
"210",2019,6,"Gary Ablett","Geelong","2.5"
"211",2019,6,"Patrick Dangerfield","Geelong","1.5"
"212",2019,6,"Gary Rohan","Geelong","1"
"213",2019,6,"Tom Stewart","Geelong","0.5"
"214",2019,6,"Mitch Duncan","Geelong","0.5"
"215",2019,7,"Scott Pendlebury","Collingwood","3"
"216",2019,7,"Darcy Moore","Collingwood","1.5"
"217",2019,7,"Adam Treloar","Collingwood","1"
"218",2019,7,"Steele Sidebottom","Collingwood","0.5"
"219",2019,7,"Jeremy Cameron","Greater Western Sydney","2.5"
"220",2019,7,"Zac Williams","Greater Western Sydney","2"
"221",2019,7,"Nick Haynes","Greater Western Sydney","1"
"222",2019,7,"Tim Taranto","Greater Western Sydney","0.5"
"223",2019,7,"James Harmes","Melbourne","2.5"
"224",2019,7,"Jack Gunston","Hawthorn","1.5"
"225",2019,7,"Liam Shiels","Hawthorn","1"
"226",2019,7,"Michael Hibberd","Melbourne","0.5"
"227",2019,7,"Clayton Oliver","Melbourne","0.5"
"228",2019,7,"Dayne Zorko","Brisbane Lions","2.5"
"229",2019,7,"Hugh McCluggage","Brisbane Lions","1.5"
"230",2019,7,"George Hewett","Sydney","1"
"231",2019,7,"Tom Papley","Sydney","0.5"
"232",2019,7,"Lachie Neale","Brisbane Lions","0.5"
"233",2019,7,"Aaron Naughton","Western Bulldogs","2.5"
"234",2019,7,"Marcus Bontempelli","Western Bulldogs","2"
"235",2019,7,"Jack Macrae","Western Bulldogs","0.5"
"236",2019,7,"Caleb Daniel","Western Bulldogs","0.5"
"237",2019,7,"Josh Dunkley","Western Bulldogs","0.5"
"238",2019,7,"Elliot Yeo","West Coast","2"
"239",2019,7,"Andrew Gaff","West Coast","1.5"
"240",2019,7,"Luke Shuey","West Coast","1"
"241",2019,7,"Dom Sheed","West Coast","1"
"242",2019,7,"Brad Sheppard","West Coast","0.5"
"243",2019,7,"Trent Dumont","North Melbourne","2.5"
"244",2019,7,"Cameron Zurhaar","North Melbourne","1.5"
"245",2019,7,"Shaun Higgins","North Melbourne","1"
"246",2019,7,"Ben Brown","North Melbourne","0.5"
"247",2019,7,"Patrick Cripps","Carlton","0.5"
"248",2019,7,"Tim Kelly","Geelong","2.5"
"249",2019,7,"Gary Ablett","Geelong","2"
"250",2019,7,"Tom Stewart","Geelong","1"
"251",2019,7,"Zach Merrett","Essendon","0.5"
"252",2019,7,"Matt Crouch","Adelaide","2"
"253",2019,7,"Tom Lynch","Adelaide","1"
"254",2019,7,"Cameron Ellis-Yolmen","Adelaide","1"
