"","date","match_id","match_round","player_name","player_team","player_opposition","betfair_votes","match_outcome","margin"
"1",2021-03-18,15875,1,"Marc Murphy","Carlton","Richmond",0,"Loss",-25
"2",2021-03-18,15875,1,"Shane Edwards","Richmond","Carlton",0,"Win",25
"3",2021-03-18,15875,1,"Jack Riewoldt","Richmond","Carlton",0,"Win",25
"4",2021-03-18,15875,1,"Dustin Martin","Richmond","Carlton",3,"Win",25
"5",2021-03-18,15875,1,"David Astbury","Richmond","Carlton",0,"Win",25
"6",2021-03-18,15875,1,"Liam Jones","Carlton","Richmond",0,"Loss",-25
"7",2021-03-18,15875,1,"Dylan Grimes","Richmond","Carlton",0,"Win",25
"8",2021-03-18,15875,1,"Ed Curnow","Carlton","Richmond",0,"Loss",-25
"9",2021-03-18,15875,1,"Dion Prestia","Richmond","Carlton",0,"Win",25
"10",2021-03-18,15875,1,"Tom J. Lynch","Richmond","Carlton",0,"Win",25
"11",2021-03-18,15875,1,"Josh Caddy","Richmond","Carlton",0,"Win",25
"12",2021-03-18,15875,1,"Jack Newnes","Carlton","Richmond",0,"Loss",-25
"13",2021-03-18,15875,1,"Levi Casboult","Carlton","Richmond",0,"Loss",-25
"14",2021-03-18,15875,1,"Lachie Plowman","Carlton","Richmond",0,"Loss",-25
"15",2021-03-18,15875,1,"Sam Docherty","Carlton","Richmond",0,"Loss",-25
"16",2021-03-18,15875,1,"Nick Vlastuin","Richmond","Carlton",0,"Win",25
"17",2021-03-18,15875,1,"Patrick Cripps","Carlton","Richmond",0,"Loss",-25
"18",2021-03-18,15875,1,"Kamdyn McIntosh","Richmond","Carlton",0,"Win",25
"19",2021-03-18,15875,1,"Adam Saad","Carlton","Richmond",0,"Loss",-25
"20",2021-03-18,15875,1,"Kane Lambert","Richmond","Carlton",0,"Win",25
"21",2021-03-18,15875,1,"Toby Nankervis","Richmond","Carlton",0,"Win",25
"22",2021-03-18,15875,1,"Oscar McDonald","Carlton","Richmond",0,"Loss",-25
"23",2021-03-18,15875,1,"Daniel Rioli","Richmond","Carlton",0,"Win",25
"24",2021-03-18,15875,1,"Jacob Weitering","Carlton","Richmond",0,"Loss",-25
"25",2021-03-18,15875,1,"Marc Pittonet","Carlton","Richmond",0,"Loss",-25
"26",2021-03-18,15875,1,"Jayden Short","Richmond","Carlton",0,"Win",25
"27",2021-03-18,15875,1,"Jason Castagna","Richmond","Carlton",0,"Win",25
"28",2021-03-18,15875,1,"Nathan Broad","Richmond","Carlton",0,"Win",25
"29",2021-03-18,15875,1,"Jack Silvagni","Carlton","Richmond",0,"Loss",-25
"30",2021-03-18,15875,1,"Sam Petrevski-Seton","Carlton","Richmond",0,"Loss",-25
"31",2021-03-18,15875,1,"Tom Williamson","Carlton","Richmond",0,"Loss",-25
"32",2021-03-18,15875,1,"Zac Fisher","Carlton","Richmond",0,"Loss",-25
"33",2021-03-18,15875,1,"Shai Bolton","Richmond","Carlton",0,"Win",25
"34",2021-03-18,15875,1,"Will Setterfield","Carlton","Richmond",0,"Loss",-25
"35",2021-03-18,15875,1,"Harry McKay","Carlton","Richmond",0,"Loss",-25
"36",2021-03-18,15875,1,"Jack Graham","Richmond","Carlton",1.5,"Win",25
"37",2021-03-18,15875,1,"Paddy Dow","Carlton","Richmond",0,"Loss",-25
"38",2021-03-18,15875,1,"Lachie Fogarty","Carlton","Richmond",0,"Loss",-25
"39",2021-03-18,15875,1,"Lochie O'Brien","Carlton","Richmond",0,"Loss",-25
"40",2021-03-18,15875,1,"Liam Baker","Richmond","Carlton",0,"Win",25
"41",2021-03-18,15875,1,"Michael Gibbons","Carlton","Richmond",0,"Loss",-25
"42",2021-03-18,15875,1,"Sam Walsh","Carlton","Richmond",1.5,"Loss",-25
"43",2021-03-18,15875,1,"Noah Balta","Richmond","Carlton",0,"Win",25
"44",2021-03-18,15875,1,"Jack Ross","Richmond","Carlton",0,"Win",25
"45",2021-03-18,15875,1,"Marlion Pickett","Richmond","Carlton",0,"Win",25
"46",2021-03-18,15875,1,"Jake Aarts","Richmond","Carlton",0,"Win",25
"47",2021-03-19,15876,1,"Scott Pendlebury","Collingwood","Western Bulldogs",0,"Loss",-16
"48",2021-03-19,15876,1,"Stefan Martin","Western Bulldogs","Collingwood",0,"Win",16
"49",2021-03-19,15876,1,"Jordan Roughead","Collingwood","Western Bulldogs",0,"Loss",-16
"50",2021-03-19,15876,1,"Tom Liberatore","Western Bulldogs","Collingwood",0,"Win",16
"51",2021-03-19,15876,1,"Mitch Wallis","Western Bulldogs","Collingwood",0,"Win",16
"52",2021-03-19,15876,1,"Jeremy Howe","Collingwood","Western Bulldogs",0,"Loss",-16
"53",2021-03-19,15876,1,"Will Hoskin-Elliott","Collingwood","Western Bulldogs",0,"Loss",-16
