season,player_name,player_team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total_votes,games_played,three_vote_games,two_vote_games,one_vote_games,games_polled
2020,Kane Lambert,Richmond,0,0,0,0,3,3,0,0,0,0,0,0,0,0,DNP,DNP,0,0,6,16,2,,,2
2020,Chad Wingard,Hawthorn,3,0,0,3,0,0,0,0,0,DNP,0,0,0,0,0,0,0,0,6,17,2,,,2
2020,Dylan Shiel,Essendon,3,0,DNP,0,3,0,DNP,DNP,0,0,0,0,0,0,0,0,0,0,6,15,2,,,2
2020,Lachie Hunter,Western Bulldogs,0,DNP,DNP,DNP,DNP,0,1,DNP,DNP,DNP,DNP,0,0,2,DNP,0,0,3,6,9,1,1,1,3
2020,Darcy Moore,Collingwood,0,0,0,0,0,1,0,0,0,0,DNP,0,3,2,0,DNP,0,0,6,16,1,1,1,3
2020,Tom Papley,Sydney,0,1,0,2,0,0,0,3,0,0,DNP,0,0,0,0,0,0,0,6,17,1,1,1,3
2020,Luke Shuey,West Coast,0,1,0,0,0,DNP,DNP,0,0,DNP,0,3,0,2,0,DNP,DNP,DNP,6,12,1,1,1,3
2020,Brodie Grundy,Collingwood,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,DNP,0,0,6,17,1,1,1,3
2020,Steele Sidebottom,Collingwood,1,1,3,0,DNP,DNP,DNP,DNP,0,0,1,0,0,DNP,DNP,DNP,DNP,DNP,6,9,1,,3,4
2020,Jack Viney,Melbourne,1,0,DNP,0,0,0,0,0,0,2,DNP,0,0,0,0,2,1,0,6,16,,2,2,4
2020,Trent Cotchin,Richmond,0,0,0,0,0,DNP,DNP,DNP,0,0,DNP,2,0,3,0,DNP,0,0,5,13,1,1,,2
2020,Jack Gunston,Hawthorn,0,0,0,0,0,0,0,0,3,DNP,0,0,DNP,0,0,0,0,2,5,16,1,1,,2
2020,Jordan de Goey,Collingwood,0,0,0,0,0,DNP,3,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,0,5,8,1,1,,2
2020,Ed Curnow,Carlton,0,0,0,0,0,3,0,2,0,DNP,0,0,0,0,0,0,0,0,5,17,1,1,,2
2020,Isaac Heeney,Sydney,3,0,2,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,5,6,1,1,,2
2020,Brody Mihocek,Collingwood,2,0,0,0,0,3,0,0,0,0,0,0,DNP,0,0,DNP,0,0,5,16,1,1,,2
2020,Jade Gresham,St Kilda,0,0,0,0,0,1,1,0,3,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,5,11,1,,2,3
2020,Sam Menegola,Geelong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DNP,3,0,1,5,17,1,,2,3
2020,Todd Goldstein,North Melbourne,0,3,0,1,0,1,0,0,0,0,0,0,0,0,DNP,0,0,0,5,17,1,,2,3
2020,Robbie Gray,Port Adelaide,0,0,0,0,0,0,0,0,0,0,1,0,0,2,DNP,0,0,2,5,17,,2,1,3
2020,Jack Crisp,Collingwood,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,DNP,0,0,5,17,,2,1,3
2020,Nic Naitanui,West Coast,0,0,0,0,1,0,0,0,2,DNP,0,0,0,0,0,DNP,2,0,5,16,,2,1,3
2020,Oscar Allen,West Coast,DNP,0,0,DNP,2,0,0,1,0,DNP,0,0,0,DNP,0,0,0,2,5,14,,2,1,3
2020,Mitch Duncan,Geelong,0,0,2,0,0,0,DNP,1,0,0,0,0,2,0,DNP,0,0,0,5,16,,2,1,3
2020,Rory Laird,Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,3,1,0,4,17,1,,1,2
2020,Jacob Hopper,Greater Western Sydney,0,0,0,0,0,0,0,0,3,0,DNP,0,0,1,0,0,0,0,4,17,1,,1,2
2020,Harris Andrews,Brisbane Lions,0,0,0,0,1,0,3,0,0,0,0,0,0,DNP,0,DNP,DNP,DNP,4,14,1,,1,2
2020,Michael Gibbons,Carlton,0,0,0,1,0,0,0,0,0,DNP,0,0,3,0,DNP,DNP,0,0,4,15,1,,1,2
2020,Nick Haynes,Greater Western Sydney,0,0,0,1,3,0,0,0,0,0,DNP,0,0,0,0,0,0,0,4,17,1,,1,2
2020,Tim English,Western Bulldogs,0,0,0,1,0,0,3,0,0,0,0,0,0,0,DNP,0,0,0,4,17,1,,1,2
2020,Josh Dunkley,Western Bulldogs,0,1,0,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,0,0,DNP,3,0,0,4,11,1,,1,2
2020,Jack Martin,Carlton,1,0,0,0,0,0,0,3,0,DNP,0,DNP,0,0,0,0,DNP,0,4,15,1,,1,2
2020,Reilly OBrien,Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,2,0,0,2,4,17,,2,,2
2020,Lachie Whitfield,Greater Western Sydney,0,0,0,0,0,2,0,0,0,0,DNP,0,0,2,0,0,0,0,4,17,,2,,2
2020,David Zaharakis,Essendon,0,0,DNP,0,0,2,0,0,0,0,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,4,10,,2,,2
2020,Harry Perryman,Greater Western Sydney,2,0,2,0,0,0,0,0,0,0,DNP,0,0,0,0,DNP,0,0,4,16,,2,,2
2020,Steven May,Melbourne,0,0,DNP,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,4,17,,1,2,3
2020,Adam Treloar,Collingwood,DNP,DNP,DNP,DNP,1,2,1,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,0,4,8,,1,2,3
2020,Hugh McCluggage,Brisbane Lions,0,0,2,1,0,0,0,0,0,0,0,0,1,DNP,0,0,0,0,4,17,,1,2,3
2020,Stephen Coniglio,Greater Western Sydney,0,1,0,0,0,0,2,0,0,1,DNP,0,0,0,0,0,DNP,0,4,16,,1,2,3
2020,Josh Kennedy,Sydney,1,0,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,0,1,2,4,12,,1,2,3
2020,Lachlan Sholl,Adelaide,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,0,DNP,0,0,3,0,3,8,1,,,1
2020,Adam Cerra,Fremantle,0,0,0,0,0,0,0,0,0,DNP,0,0,0,0,0,3,0,0,3,17,1,,,1
2020,Jack Graham,Richmond,0,0,0,DNP,DNP,0,0,0,DNP,DNP,DNP,0,0,0,3,DNP,0,0,3,12,1,,,1
2020,Tom Barrass,West Coast,0,0,0,0,0,0,0,0,0,DNP,0,0,0,0,3,0,0,0,3,17,1,,,1
2020,Rory Sloane,Adelaide,0,0,0,0,0,0,DNP,DNP,DNP,DNP,DNP,0,0,DNP,3,0,0,0,3,12,1,,,1
2020,Jeremy Cameron,Greater Western Sydney,0,0,0,0,0,0,0,0,0,0,DNP,0,0,3,0,0,0,0,3,17,1,,,1
2020,Jack Lukosius,Gold Coast,0,0,0,0,0,0,0,0,0,0,0,3,0,0,DNP,0,0,0,3,17,1,,,1
2020,Aaron Naughton,Western Bulldogs,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,3,0,0,DNP,0,0,0,3,11,1,,,1
2020,Gary Rohan,Geelong,0,0,0,0,0,0,0,0,0,DNP,3,0,0,0,DNP,0,DNP,0,3,15,1,,,1
2020,Tim Taranto,Greater Western Sydney,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,3,DNP,0,0,0,0,0,0,0,3,11,1,,,1
2020,Jed Anderson,North Melbourne,0,0,0,0,0,DNP,DNP,0,3,0,0,0,0,0,DNP,0,0,0,3,15,1,,,1
2020,Sam Powell-Pepper,Port Adelaide,0,0,0,0,0,3,0,0,0,0,0,0,0,0,DNP,0,0,0,3,17,1,,,1
2020,David Mundy,Fremantle,DNP,0,0,0,3,0,0,0,0,DNP,0,0,0,0,0,0,0,0,3,16,1,,,1
2020,Josh Bruce,Western Bulldogs,0,0,0,0,3,0,0,0,0,0,0,DNP,0,0,DNP,0,0,0,3,16,1,,,1
2020,David Cuningham,Carlton,0,0,0,3,0,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,3,12,1,,,1
2020,Isaac Smith,Hawthorn,0,0,3,0,0,0,0,0,0,DNP,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,3,10,1,,,1
2020,Steven Motlop,Port Adelaide,0,3,0,0,0,0,0,DNP,DNP,DNP,DNP,0,0,DNP,DNP,0,0,0,3,12,1,,,1
2020,Joel Selwood,Geelong,0,3,0,0,0,0,0,DNP,DNP,0,0,0,DNP,DNP,DNP,DNP,DNP,0,3,11,1,,,1
2020,Ben Cunnington,North Melbourne,3,0,DNP,DNP,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,3,3,1,,,1
2020,Dion Prestia,Richmond,3,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,3,5,1,,,1
2020,Matt Crouch,Adelaide,0,0,0,DNP,0,0,0,0,0,0,0,0,0,DNP,1,2,0,0,3,16,,1,1,2
2020,Matthew Taberner,Fremantle,0,0,0,0,0,0,0,0,2,DNP,0,0,1,0,0,0,0,DNP,3,16,,1,1,2
2020,Jake Lloyd,Sydney,0,0,0,0,0,0,0,1,0,0,DNP,2,0,0,0,0,0,0,3,17,,1,1,2
2020,Jayden Short,Richmond,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,DNP,0,0,3,17,,1,1,2
2020,Liam Baker,Richmond,0,0,DNP,0,0,1,0,0,0,2,0,0,0,0,0,DNP,0,0,3,16,,1,1,2
2020,Touk Miller,Gold Coast,0,0,2,0,0,0,0,0,0,1,0,0,0,0,DNP,0,0,0,3,17,,1,1,2
2020,Eddie Betts,Carlton,DNP,0,1,0,0,2,0,0,0,DNP,0,0,0,0,0,DNP,0,0,3,15,,1,1,2
2020,Caleb Daniel,Western Bulldogs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DNP,0,2,0,3,17,,1,1,2
2020,Jaeger OMeara,Hawthorn,0,DNP,1,0,0,0,0,2,0,DNP,0,0,DNP,DNP,DNP,DNP,0,0,3,12,,1,1,2
2020,Gryan Miers,Geelong,0,1,0,0,0,0,0,0,0,2,0,0,0,0,DNP,0,0,0,3,17,,1,1,2
2020,Rory Lobb,Fremantle,1,0,0,0,0,0,0,0,0,DNP,0,0,2,0,0,0,0,0,3,17,,1,1,2
2020,Daniel Rich,Brisbane Lions,0,0,0,0,0,0,0,0,DNP,DNP,0,DNP,DNP,DNP,0,0,0,2,2,13,,1,,1
2020,Mitch Brown,Melbourne,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,DNP,0,2,2,5,,1,,1
2020,Harry McKay,Carlton,DNP,0,0,DNP,0,0,0,DNP,0,DNP,DNP,0,0,0,0,0,2,0,2,13,,1,,1
2020,Brent Daniels,Greater Western Sydney,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,0,DNP,2,0,2,16,,1,,1
2020,Blake Acres,Fremantle,DNP,DNP,DNP,DNP,DNP,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,0,2,0,2,7,,1,,1
2020,Jack Riewoldt,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,2,0,2,17,,1,,1
2020,Cam Rayner,Brisbane Lions,0,0,0,0,0,0,0,0,0,0,DNP,DNP,0,DNP,0,2,0,0,2,15,,1,,1
2020,Anthony McDonald-Tipungwuti,Essendon,0,0,DNP,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,17,,1,,1
2020,Ben Ainsworth,Gold Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DNP,0,DNP,0,2,16,,1,,1
2020,Jeremy McGovern,West Coast,0,0,DNP,DNP,0,0,0,DNP,DNP,DNP,DNP,0,2,0,0,0,0,DNP,2,11,,1,,1
2020,Mitch Wallis,Western Bulldogs,0,0,0,0,0,0,0,0,0,0,0,0,2,0,DNP,0,0,0,2,17,,1,,1
2020,Marc Murphy,Carlton,0,0,0,0,0,0,0,0,0,DNP,0,0,2,0,0,0,0,0,2,17,,1,,1
2020,Josh Daicos,Collingwood,0,0,0,0,0,DNP,0,0,0,2,0,0,0,0,0,DNP,0,0,2,16,,1,,1
2020,Zak Butters,Port Adelaide,0,0,0,0,0,0,0,0,0,2,0,0,0,0,DNP,0,DNP,DNP,2,15,,1,,1
2020,Nick Hind,St Kilda,DNP,0,0,DNP,DNP,DNP,DNP,0,2,0,0,0,0,0,DNP,DNP,0,DNP,2,10,,1,,1
2020,Luke McDonald,North Melbourne,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Alex Witherden,Brisbane Lions,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,0,0,0,0,DNP,DNP,DNP,DNP,DNP,2,6,,1,,1
2020,Derek Eggmolesse-Smith,Richmond,DNP,DNP,DNP,DNP,DNP,0,2,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,6,,1,,1
2020,Callum Mills,Sydney,0,0,0,0,0,2,0,0,0,0,DNP,0,0,0,DNP,DNP,0,0,2,15,,1,,1
2020,Tom Liberatore,Western Bulldogs,DNP,DNP,0,0,2,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,15,,1,,1
2020,Jake Stringer,Essendon,0,0,DNP,0,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,0,0,0,0,2,10,,1,,1
2020,Jarrod Witts,Gold Coast,0,0,0,2,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Levi Casboult,Carlton,0,0,0,2,0,0,0,0,0,DNP,0,0,0,0,0,0,0,0,2,17,,1,,1
2020,Ben Long,St Kilda,0,0,0,2,0,0,DNP,DNP,DNP,0,0,0,0,0,DNP,0,0,0,2,14,,1,,1
2020,Justin Westhoff,Port Adelaide,0,0,0,2,0,0,0,0,0,0,DNP,DNP,0,0,DNP,DNP,DNP,DNP,2,12,,1,,1
2020,Jonathon Ceglar,Hawthorn,0,0,2,0,0,0,DNP,DNP,0,DNP,0,DNP,DNP,0,0,0,0,0,2,13,,1,,1
2020,Jack Billings,St Kilda,0,2,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Shaun Higgins,North Melbourne,0,2,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Sam Day,Gold Coast,0,2,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Brandan Parfitt,Geelong,DNP,2,DNP,0,0,0,0,0,0,DNP,0,0,0,0,DNP,0,0,0,2,14,,1,,1
2020,Tom Phillips,Collingwood,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,DNP,DNP,2,15,,1,,1
2020,Shaun Burgoyne,Hawthorn,2,0,0,0,0,DNP,0,0,0,DNP,DNP,0,0,DNP,0,DNP,0,0,2,13,,1,,1
2020,Darcy Byrne-Jones,Port Adelaide,2,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,0,0,2,17,,1,,1
2020,Adam Saad,Essendon,2,0,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,,1,,1
2020,Bradley Hill,St Kilda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DNP,1,0,0,2,17,,,2,2
2020,Luke Davies-Uniacke,North Melbourne,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,DNP,0,1,0,0,DNP,0,0,1,2,9,,,2,2
2020,Peter Ladhams,Port Adelaide,DNP,DNP,DNP,DNP,DNP,DNP,1,0,0,1,0,0,DNP,DNP,DNP,DNP,0,0,2,8,,,2,2
2020,David Swallow,Gold Coast,0,DNP,0,0,0,0,1,1,0,0,0,DNP,0,0,DNP,0,0,0,2,15,,,2,2
2020,Darcy Tucker,Fremantle,0,0,0,1,1,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,8,,,2,2
2020,Oliver Florent,Sydney,0,0,1,0,0,0,0,0,0,0,DNP,0,0,0,0,1,0,0,2,17,,,2,2
2020,Dylan Moore,Hawthorn,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,1,1,3,,,1,1
2020,Shane Edwards,Richmond,0,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,1,1,6,,,1,1
2020,Sebastian Ross,St Kilda,0,0,0,0,0,0,0,0,DNP,DNP,DNP,0,0,0,DNP,0,0,1,1,14,,,1,1
2020,John Noble,Collingwood,0,0,0,0,DNP,DNP,0,0,0,0,0,0,0,0,0,DNP,1,0,1,15,,,1,1
2020,Brad Ebert,Port Adelaide,0,0,0,0,0,0,DNP,0,0,DNP,DNP,DNP,0,0,DNP,DNP,1,0,1,12,,,1,1
2020,Mitch Robinson,Brisbane Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,0,1,0,0,1,17,,,1,1
2020,Brad Crouch,Adelaide,0,0,0,0,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,0,1,0,0,1,12,,,1,1
2020,Karl Amon,Port Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNP,1,0,0,1,17,,,1,1
2020,Jacob Weitering,Carlton,0,0,0,0,0,0,0,0,0,DNP,0,0,0,0,1,0,0,0,1,17,,,1,1
2020,Ryan Clarke,Sydney,DNP,DNP,DNP,DNP,0,0,0,0,0,DNP,DNP,DNP,DNP,0,1,0,0,0,1,10,,,1,1
2020,Jake Aarts,Richmond,DNP,DNP,DNP,DNP,0,0,0,0,0,0,0,0,0,0,1,DNP,0,0,1,13,,,1,1
2020,Alex Sexton,Gold Coast,DNP,0,0,0,0,0,0,0,0,0,DNP,0,DNP,1,DNP,0,0,0,1,14,,,1,1
2020,Bachar Houli,Richmond,DNP,0,0,0,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,1,0,DNP,0,0,1,9,,,1,1
2020,Joe Daniher,Essendon,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,1,0,DNP,0,0,1,4,,,1,1
2020,Tom Clurey,Port Adelaide,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DNP,0,0,DNP,1,16,,,1,1
2020,Zac Fisher,Carlton,0,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,0,0,1,0,0,0,0,DNP,1,8,,,1,1
2020,Nick Vlastuin,Richmond,0,0,0,0,0,0,0,0,DNP,0,0,1,0,0,0,DNP,0,0,1,16,,,1,1
2020,Liam Ryan,West Coast,0,0,0,0,0,0,0,0,0,DNP,0,1,0,0,0,0,0,0,1,17,,,1,1
2020,Bailey Williams,Western Bulldogs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DNP,0,0,0,1,17,,,1,1
2020,Jack Newnes,Carlton,0,0,0,0,0,0,0,0,0,DNP,0,1,0,0,0,0,0,0,1,17,,,1,1
2020,Bayley Fritsch,Melbourne,0,0,DNP,0,0,0,0,0,0,0,0,1,0,DNP,0,0,0,0,1,16,,,1,1
2020,Jed Bews,Geelong,DNP,0,0,0,0,0,0,0,0,0,0,1,0,0,DNP,0,0,0,1,16,,,1,1
2020,Dane Rampe,Sydney,0,0,0,0,0,0,0,0,0,0,DNP,1,DNP,DNP,DNP,DNP,DNP,DNP,1,11,,,1,1
2020,Lachie Weller,Gold Coast,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DNP,0,0,0,1,17,,,1,1
2020,Angus Brayshaw,Melbourne,0,0,DNP,0,0,0,0,0,0,0,1,0,0,0,0,DNP,DNP,DNP,1,14,,,1,1
2020,Liam Jones,Carlton,0,0,0,0,0,0,0,0,0,DNP,1,0,0,0,0,0,0,0,1,17,,,1,1
2020,Eric Hipwood,Brisbane Lions,0,0,0,0,0,0,0,0,0,0,1,0,0,DNP,0,0,0,0,1,17,,,1,1
2020,Caleb Serong,Fremantle,DNP,DNP,DNP,0,0,0,0,0,1,DNP,0,0,0,0,0,0,0,0,1,14,,,1,1
2020,Zac Williams,Greater Western Sydney,DNP,0,0,0,DNP,DNP,DNP,DNP,1,0,DNP,0,0,0,0,DNP,0,0,1,11,,,1,1
2020,Tom Stewart,Geelong,0,0,0,0,DNP,DNP,DNP,0,1,0,0,0,0,0,DNP,0,0,0,1,14,,,1,1
2020,Aaron Hall,North Melbourne,0,0,0,0,0,0,0,0,1,0,0,DNP,DNP,0,DNP,0,0,0,1,15,,,1,1
2020,Charlie Cameron,Brisbane Lions,0,0,0,0,0,0,0,0,1,0,0,0,0,DNP,0,0,0,0,1,17,,,1,1
2020,Mitch Georgiades,Port Adelaide,0,DNP,DNP,DNP,DNP,DNP,DNP,0,1,0,0,0,0,DNP,DNP,DNP,DNP,DNP,1,7,,,1,1
2020,Noah Balta,Richmond,DNP,DNP,DNP,DNP,0,0,0,0,1,0,0,0,0,0,0,DNP,0,0,1,13,,,1,1
2020,Brodie Smith,Adelaide,0,0,0,0,0,0,0,1,0,DNP,0,0,0,DNP,0,0,0,0,1,16,,,1,1
