season,footywire_player,player_team,lookup,player_name
2014,Jonathan O'Rourke,Greater Western Sydney,2014Jonathan O'RourkeGreater Western Sydney,Jonathan ORourke
2014,Lachlan Plowman,Greater Western Sydney,2014Lachlan PlowmanGreater Western Sydney,Lachie Plowman
2014,Zachary Williams,Greater Western Sydney,2014Zachary WilliamsGreater Western Sydney,Zac Williams
2015,Matthew Buntine,Greater Western Sydney,2015Matthew BuntineGreater Western Sydney,Matt Buntine
2015,Will H-Elliott,Greater Western Sydney,2015Will H-ElliottGreater Western Sydney,Will Hoskin-Elliott
2015,Joshua Kelly,Greater Western Sydney,2015Joshua KellyGreater Western Sydney,Josh Kelly
2015,Cameron McCarthy,Greater Western Sydney,2015Cameron McCarthyGreater Western Sydney,Cam McCarthy
2015,Lachlan Plowman,Greater Western Sydney,2015Lachlan PlowmanGreater Western Sydney,Lachie Plowman
2015,Zachary Williams,Greater Western Sydney,2015Zachary WilliamsGreater Western Sydney,Zac Williams
2016,Matthew Buntine,Greater Western Sydney,2016Matthew BuntineGreater Western Sydney,Matt Buntine
2016,Will H-Elliott,Greater Western Sydney,2016Will H-ElliottGreater Western Sydney,Will Hoskin-Elliott
2016,Joshua Kelly,Greater Western Sydney,2016Joshua KellyGreater Western Sydney,Josh Kelly
2016,Samuel Reid,Greater Western Sydney,2016Samuel ReidGreater Western Sydney,Sam Reid
2016,Zachary Williams,Greater Western Sydney,2016Zachary WilliamsGreater Western Sydney,Zac Williams
2017,Matthew De Boer,Greater Western Sydney,2017Matthew De BoerGreater Western Sydney,Matthew de Boer
2017,Matthew Buntine,Greater Western Sydney,2017Matthew BuntineGreater Western Sydney,Matt Buntine
2017,Joshua Kelly,Greater Western Sydney,2017Joshua KellyGreater Western Sydney,Josh Kelly
2017,Samuel Reid,Greater Western Sydney,2017Samuel ReidGreater Western Sydney,Sam Reid
2017,Zachary Williams,Greater Western Sydney,2017Zachary WilliamsGreater Western Sydney,Zac Williams
2018,Matthew De Boer,Greater Western Sydney,2018Matthew De BoerGreater Western Sydney,Matthew de Boer
2018,Matthew Buntine,Greater Western Sydney,2018Matthew BuntineGreater Western Sydney,Matt Buntine
2018,Joshua Kelly,Greater Western Sydney,2018Joshua KellyGreater Western Sydney,Josh Kelly
2018,Samuel Reid,Greater Western Sydney,2018Samuel ReidGreater Western Sydney,Sam Reid
2018,Nicholas Shipley,Greater Western Sydney,2018Nicholas ShipleyGreater Western Sydney,Nick Shipley
2018,Zachary Williams,Greater Western Sydney,2018Zachary WilliamsGreater Western Sydney,Zac Williams
2019,Matthew De Boer,Greater Western Sydney,2019Matthew De BoerGreater Western Sydney,Matthew de Boer
2019,Matthew Buntine,Greater Western Sydney,2019Matthew BuntineGreater Western Sydney,Matt Buntine
2019,Joshua Kelly,Greater Western Sydney,2019Joshua KellyGreater Western Sydney,Josh Kelly
2019,Samuel Reid,Greater Western Sydney,2019Samuel ReidGreater Western Sydney,Sam Reid
2019,Thomas Sheridan,Greater Western Sydney,2019Thomas SheridanGreater Western Sydney,Tom Sheridan
2019,Zachary Williams,Greater Western Sydney,2019Zachary WilliamsGreater Western Sydney,Zac Williams
2019,Ian Hill,Greater Western Sydney,2019Ian HillGreater Western Sydney,Bobby Hill
2019,Zachary Sproule,Greater Western Sydney,2019Zachary SprouleGreater Western Sydney,Zach Sproule
2020,Matthew De Boer,Greater Western Sydney,2020Matthew De BoerGreater Western Sydney,Matt de Boer
2020,Joshua Kelly,Greater Western Sydney,2020Joshua KellyGreater Western Sydney,Josh Kelly
2020,Harrison Himmelberg,Greater Western Sydney,2020Harrison HimmelbergGreater Western Sydney,Harry Himmelberg
2020,Zachary Williams,Greater Western Sydney,2020Zachary WilliamsGreater Western Sydney,Zac Williams
2020,Lachlan Ash,Greater Western Sydney,2020Lachlan AshGreater Western Sydney,Lachie Ash
2020,Thomas Sheridan,Greater Western Sydney,2020Thomas SheridanGreater Western Sydney,Tommy Sheridan
2020,Ian Hill,Greater Western Sydney,2020Ian HillGreater Western Sydney,Bobby Hill
2020,Thomas Hutchesson,Greater Western Sydney,2020Thomas HutchessonGreater Western Sydney,Tom Hutchesson
2020,Samuel Reid,Greater Western Sydney,2020Samuel ReidGreater Western Sydney,Sam J. Reid
2021,Samuel Reid,Greater Western Sydney,2021Samuel ReidGreater Western Sydney,Sam J. Reid
2021,Matthew De Boer,Greater Western Sydney,2021Matthew De BoerGreater Western Sydney,Matt de Boer
2021,Joshua Kelly,Greater Western Sydney,2021Joshua KellyGreater Western Sydney,Josh Kelly
2021,Harrison Himmelberg,Greater Western Sydney,2021Harrison HimmelbergGreater Western Sydney,Harry Himmelberg
2021,Ian Hill,Greater Western Sydney,2021Ian HillGreater Western Sydney,Bobby Hill
2021,Lachlan Ash,Greater Western Sydney,2021Lachlan AshGreater Western Sydney,Lachie Ash
2021,Matthew Flynn,Greater Western Sydney,2021Matthew FlynnGreater Western Sydney,Matt Flynn
2021,Zachary Sproule,Greater Western Sydney,2021Zachary SprouleGreater Western Sydney,Zach Sproule
2021,Matthew Buntine,Greater Western Sydney,2021Matthew BuntineGreater Western Sydney,Matt Buntine
2021,Nicholas Shipley,Greater Western Sydney,2021Nicholas ShipleyGreater Western Sydney,Nick Shipley
2021,Callum Brown,Greater Western Sydney,2021Callum BrownGreater Western Sydney,Callum M. Brown
2013,William Langford,Hawthorn,2013William LangfordHawthorn,Will Langford
2013,Benjamin Stratton,Hawthorn,2013Benjamin StrattonHawthorn,Ben Stratton
2014,Mitchell Hallahan,Hawthorn,2014Mitchell HallahanHawthorn,Mitch Hallahan
2014,William Langford,Hawthorn,2014William LangfordHawthorn,Will Langford
2014,Tim O'Brien,Hawthorn,2014Tim O'BrienHawthorn,Tim OBrien
2014,Benjamin Stratton,Hawthorn,2014Benjamin StrattonHawthorn,Ben Stratton
2014,Matthew Suckling,Hawthorn,2014Matthew SucklingHawthorn,Matt Suckling
2015,William Langford,Hawthorn,2015William LangfordHawthorn,Will Langford
2015,Jonathan O'Rourke,Hawthorn,2015Jonathan O'RourkeHawthorn,Jonathan ORourke
2015,Benjamin Stratton,Hawthorn,2015Benjamin StrattonHawthorn,Ben Stratton
2015,Matthew Suckling,Hawthorn,2015Matthew SucklingHawthorn,Matt Suckling
2016,William Langford,Hawthorn,2016William LangfordHawthorn,Will Langford
2016,Tim O'Brien,Hawthorn,2016Tim O'BrienHawthorn,Tim OBrien
2016,Jonathan O'Rourke,Hawthorn,2016Jonathan O'RourkeHawthorn,Jonathan ORourke
2016,Benjamin Stratton,Hawthorn,2016Benjamin StrattonHawthorn,Ben Stratton
2017,William Langford,Hawthorn,2017William LangfordHawthorn,Will Langford
2017,Tim O'Brien,Hawthorn,2017Tim O'BrienHawthorn,Tim OBrien
2017,Jaeger O'Meara,Hawthorn,2017Jaeger O'MearaHawthorn,Jaeger OMeara
2017,Benjamin Stratton,Hawthorn,2017Benjamin StrattonHawthorn,Ben Stratton
2017,Tyrone Vickery,Hawthorn,2017Tyrone VickeryHawthorn,Ty Vickery
2018,William Langford,Hawthorn,2018William LangfordHawthorn,Will Langford
2018,Mitchell Lewis,Hawthorn,2018Mitchell LewisHawthorn,Mitch Lewis
2018,Tim O'Brien,Hawthorn,2018Tim O'BrienHawthorn,Tim OBrien
2018,Jaeger O'Meara,Hawthorn,2018Jaeger O'MearaHawthorn,Jaeger OMeara
2018,Jonathan O'Rourke,Hawthorn,2018Jonathan O'RourkeHawthorn,Jonathan ORourke
2018,Benjamin Stratton,Hawthorn,2018Benjamin StrattonHawthorn,Ben Stratton
2019,Mitchell Lewis,Hawthorn,2019Mitchell LewisHawthorn,Mitch Lewis
2019,Tim O'Brien,Hawthorn,2019Tim O'BrienHawthorn,Tim OBrien
2019,Jaeger O'Meara,Hawthorn,2019Jaeger O'MearaHawthorn,Jaeger OMeara
2019,Benjamin Stratton,Hawthorn,2019Benjamin StrattonHawthorn,Ben Stratton
2020,Benjamin Stratton,Hawthorn,2020Benjamin StrattonHawthorn,Ben Stratton
2020,Mitchell Lewis,Hawthorn,2020Mitchell LewisHawthorn,Mitch Lewis
2020,Harrison Jones,Hawthorn,2020Harrison JonesHawthorn,Harry Jones
2021,Mitchell Lewis,Hawthorn,2021Mitchell LewisHawthorn,Mitch Lewis
2021,Denver G-Barras,Hawthorn,2021Denver G-BarrasHawthorn,Denver Grainger-Barras
2013,Mitchell Clark,Melbourne,2013Mitchell ClarkMelbourne,Mitch Clark
2013,Mitchell Clisby,Melbourne,2013Mitchell ClisbyMelbourne,Mitch Clisby
2013,Thomas Gillies,Melbourne,2013Thomas GilliesMelbourne,Tom Gillies
2014,Alexis Georgiou,Melbourne,2014Alexis GeorgiouMelbourne,Alex Georgiou
2014,Jay K-Harris,Melbourne,2014Jay K-HarrisMelbourne,Jay Kennedy-Harris
2015,Jay K-Harris,Melbourne,2015Jay K-HarrisMelbourne,Jay Kennedy-Harris
2015,Alex N-Bullen,Melbourne,2015Alex N-BullenMelbourne,Alex Neal-Bullen
2015,Mitchell White,Melbourne,2015Mitchell WhiteMelbourne,Mitch White
2016,Alex N-Bullen,Melbourne,2016Alex N-BullenMelbourne,Alex Neal-Bullen
2016,Joshua Wagner,Melbourne,2016Joshua WagnerMelbourne,Josh Wagner
2016,Mitchell White,Melbourne,2016Mitchell WhiteMelbourne,Mitch White
2017,Mitchell Hannan,Melbourne,2017Mitchell HannanMelbourne,Mitch Hannan
2017,Jay K-Harris,Melbourne,2017Jay K-HarrisMelbourne,Jay Kennedy-Harris
2017,Alex N-Bullen,Melbourne,2017Alex N-BullenMelbourne,Alex Neal-Bullen
2017,Joshua Wagner,Melbourne,2017Joshua WagnerMelbourne,Josh Wagner
2017,Mitchell White,Melbourne,2017Mitchell WhiteMelbourne,Mitch White
2018,Mitchell Hannan,Melbourne,2018Mitchell HannanMelbourne,Mitch Hannan
2018,Jay K-Harris,Melbourne,2018Jay K-HarrisMelbourne,Jay Kennedy-Harris
2018,Alex N-Bullen,Melbourne,2018Alex N-BullenMelbourne,Alex Neal-Bullen
2018,Harrison Petty,Melbourne,2018Harrison PettyMelbourne,Harry Petty
2018,Joshua Wagner,Melbourne,2018Joshua WagnerMelbourne,Josh Wagner
2019,Mitchell Hannan,Melbourne,2019Mitchell HannanMelbourne,Mitch Hannan
2019,Jay K-Harris,Melbourne,2019Jay K-HarrisMelbourne,Jay Kennedy-Harris
2019,Alex N-Bullen,Melbourne,2019Alex N-BullenMelbourne,Alex Neal-Bullen
2019,Harrison Petty,Melbourne,2019Harrison PettyMelbourne,Harry Petty
2019,Joshua Wagner,Melbourne,2019Joshua WagnerMelbourne,Josh Wagner
2020,Mitchell Brown,Melbourne,2020Mitchell BrownMelbourne,Mitch Brown
2020,Alex N-Bullen,Melbourne,2020Alex N-BullenMelbourne,Alex Neal-Bullen
2020,Aaron Vandenberg,Melbourne,2020Aaron VandenbergMelbourne,Aaron vandenBerg
2020,Mitchell Hannan,Melbourne,2020Mitchell HannanMelbourne,Mitch Hannan
2020,Joshua Wagner,Melbourne,2020Joshua WagnerMelbourne,Josh Wagner
2021,Alex N-Bullen,Melbourne,2021Alex N-BullenMelbourne,Alex Neal-Bullen
2021,,Melbourne,2021Melbourne,James Jordon
2021,Mitchell Brown,Melbourne,2021Mitchell BrownMelbourne,Mitch Brown
2021,Aaron Vandenberg,Melbourne,2021Aaron VandenbergMelbourne,Aaron vandenBerg
2013,Jamie MacMillan,North Melbourne,2013Jamie MacMillanNorth Melbourne,Jamie Macmillan
2013,Bradley McKenzie,North Melbourne,2013Bradley McKenzieNorth Melbourne,Brad McKenzie
2013,William Sierakowski,North Melbourne,2013William SierakowskiNorth Melbourne,Will Sierakowski
2013,Samuel Wright,North Melbourne,2013Samuel WrightNorth Melbourne,Sam Wright
2014,Jamie MacMillan,North Melbourne,2014Jamie MacMillanNorth Melbourne,Jamie Macmillan
2014,Bradley McKenzie,North Melbourne,2014Bradley McKenzieNorth Melbourne,Brad McKenzie
2014,Samuel Wright,North Melbourne,2014Samuel WrightNorth Melbourne,Sam Wright
2015,Jamie MacMillan,North Melbourne,2015Jamie MacMillanNorth Melbourne,Jamie Macmillan
2015,Bradley McKenzie,North Melbourne,2015Bradley McKenzieNorth Melbourne,Brad McKenzie
2015,Samuel Wright,North Melbourne,2015Samuel WrightNorth Melbourne,Sam Wright
2016,Jamie MacMillan,North Melbourne,2016Jamie MacMillanNorth Melbourne,Jamie Macmillan
2016,Bradley McKenzie,North Melbourne,2016Bradley McKenzieNorth Melbourne,Brad McKenzie
2016,Samuel Wright,North Melbourne,2016Samuel WrightNorth Melbourne,Sam Wright
2017,Jamie MacMillan,North Melbourne,2017Jamie MacMillanNorth Melbourne,Jamie Macmillan
2017,Daniel Nielson,North Melbourne,2017Daniel NielsonNorth Melbourne,Dan Nielson
2017,Ed V-Willis,North Melbourne,2017Ed V-WillisNorth Melbourne,Ed Vickers-Willis
2018,Luke D-Uniacke,North Melbourne,2018Luke D-UniackeNorth Melbourne,Luke Davies-Uniacke
2018,Jamie MacMillan,North Melbourne,2018Jamie MacMillanNorth Melbourne,Jamie Macmillan
2018,Thomas Murphy,North Melbourne,2018Thomas MurphyNorth Melbourne,Tom Murphy
2018,Ed V-Willis,North Melbourne,2018Ed V-WillisNorth Melbourne,Ed Vickers-Willis
2018,Samuel Wright,North Melbourne,2018Samuel WrightNorth Melbourne,Sam Wright
2019,Luke D-Uniacke,North Melbourne,2019Luke D-UniackeNorth Melbourne,Luke Davies-Uniacke
2019,Jamie MacMillan,North Melbourne,2019Jamie MacMillanNorth Melbourne,Jamie Macmillan
2019,Ed V-Willis,North Melbourne,2019Ed V-WillisNorth Melbourne,Ed Vickers-Willis
2019,Samuel Wright,North Melbourne,2019Samuel WrightNorth Melbourne,Sam Wright
2020,Jamie MacMillan,North Melbourne,2020Jamie MacMillanNorth Melbourne,Jamie Macmillan
2020,Joshua Walker,North Melbourne,2020Joshua WalkerNorth Melbourne,Josh Walker
2020,Thomas Murphy,North Melbourne,2020Thomas MurphyNorth Melbourne,Tom Murphy
2020,Luke D-Uniacke,North Melbourne,2020Luke D-UniackeNorth Melbourne,Luke Davies-Uniacke
2020,Ed V-Willis,North Melbourne,2020Ed V-WillisNorth Melbourne,Ed Vickers-Willis
2021,Joshua Walker,North Melbourne,2021Joshua WalkerNorth Melbourne,Josh Walker
2021,Luke D-Uniacke,North Melbourne,2021Luke D-UniackeNorth Melbourne,Luke Davies-Uniacke
2013,Thomas Jonas,Port Adelaide,2013Thomas JonasPort Adelaide,Tom Jonas
2013,Cameron O'Shea,Port Adelaide,2013Cameron O'SheaPort Adelaide,Cameron OShea
2013,Oliver Wines,Port Adelaide,2013Oliver WinesPort Adelaide,Ollie Wines
2014,Thomas Jonas,Port Adelaide,2014Thomas JonasPort Adelaide,Tom Jonas
2014,Cameron O'Shea,Port Adelaide,2014Cameron O'SheaPort Adelaide,Cameron OShea
2014,Matthew White,Port Adelaide,2014Matthew WhitePort Adelaide,Matt White
2014,Oliver Wines,Port Adelaide,2014Oliver WinesPort Adelaide,Ollie Wines
2015,Thomas Jonas,Port Adelaide,2015Thomas JonasPort Adelaide,Tom Jonas
2015,Cameron O'Shea,Port Adelaide,2015Cameron O'SheaPort Adelaide,Cameron OShea
2015,Matthew White,Port Adelaide,2015Matthew WhitePort Adelaide,Matt White
2015,Oliver Wines,Port Adelaide,2015Oliver WinesPort Adelaide,Ollie Wines
2016,Darcy B-Jones,Port Adelaide,2016Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2016,Thomas Jonas,Port Adelaide,2016Thomas JonasPort Adelaide,Tom Jonas
2016,Cameron O'Shea,Port Adelaide,2016Cameron O'SheaPort Adelaide,Cameron OShea
2016,Matthew White,Port Adelaide,2016Matthew WhitePort Adelaide,Matt White
2016,Oliver Wines,Port Adelaide,2016Oliver WinesPort Adelaide,Ollie Wines
2017,Darcy B-Jones,Port Adelaide,2017Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2017,Thomas Jonas,Port Adelaide,2017Thomas JonasPort Adelaide,Tom Jonas
2017,Sam P-Pepper,Port Adelaide,2017Sam P-PepperPort Adelaide,Sam Powell-Pepper
2017,Matthew White,Port Adelaide,2017Matthew WhitePort Adelaide,Matt White
2017,Oliver Wines,Port Adelaide,2017Oliver WinesPort Adelaide,Ollie Wines
2018,Darcy B-Jones,Port Adelaide,2018Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2018,Thomas Jonas,Port Adelaide,2018Thomas JonasPort Adelaide,Tom Jonas
2018,Sam P-Pepper,Port Adelaide,2018Sam P-PepperPort Adelaide,Sam Powell-Pepper
2018,Oliver Wines,Port Adelaide,2018Oliver WinesPort Adelaide,Ollie Wines
2019,Darcy B-Jones,Port Adelaide,2019Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2019,Thomas Jonas,Port Adelaide,2019Thomas JonasPort Adelaide,Tom Jonas
2019,Sam P-Pepper,Port Adelaide,2019Sam P-PepperPort Adelaide,Sam Powell-Pepper
2019,Oliver Wines,Port Adelaide,2019Oliver WinesPort Adelaide,Ollie Wines
2020,Thomas Jonas,Port Adelaide,2020Thomas JonasPort Adelaide,Tom Jonas
2020,Darcy B-Jones,Port Adelaide,2020Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2020,Sam P-Pepper,Port Adelaide,2020Sam P-PepperPort Adelaide,Sam Powell-Pepper
2020,Oliver Wines,Port Adelaide,2020Oliver WinesPort Adelaide,Ollie Wines
2020,Cameron Sutcliffe,Port Adelaide,2020Cameron SutcliffePort Adelaide,Cam Sutcliffe
2021,Thomas Jonas,Port Adelaide,2021Thomas JonasPort Adelaide,Tom Jonas
2021,Oliver Wines,Port Adelaide,2021Oliver WinesPort Adelaide,Ollie Wines
2021,Darcy B-Jones,Port Adelaide,2021Darcy B-JonesPort Adelaide,Darcy Byrne-Jones
2021,Lachlan Jones,Port Adelaide,2021Lachlan JonesPort Adelaide,Lachie Jones
2021,Sam P-Pepper,Port Adelaide,2021Sam P-PepperPort Adelaide,Sam Powell-Pepper
2013,Matthew Arnot,Richmond,2013Matthew ArnotRichmond,Matt Arnot
2013,Matthew Dea,Richmond,2013Matthew DeaRichmond,Matt Dea
2013,Benjamin Griffiths,Richmond,2013Benjamin GriffithsRichmond,Ben Griffiths
2013,Bradley Helbig,Richmond,2013Bradley HelbigRichmond,Brad Helbig
2013,Matthew Mcdonough,Richmond,2013Matthew McdonoughRichmond,Matt McDonough
2013,Tyrone Vickery,Richmond,2013Tyrone VickeryRichmond,Ty Vickery
2013,Matthew White,Richmond,2013Matthew WhiteRichmond,Matt White
2014,Matthew Arnot,Richmond,2014Matthew ArnotRichmond,Matt Arnot
2014,Matthew Dea,Richmond,2014Matthew DeaRichmond,Matt Dea
2014,Benjamin Griffiths,Richmond,2014Benjamin GriffithsRichmond,Ben Griffiths
2014,Matthew Mcdonough,Richmond,2014Matthew McdonoughRichmond,Matt McDonough
2014,Brett O'Hanlon,Richmond,2014Brett O'HanlonRichmond,Brett OHanlon
2014,Tyrone Vickery,Richmond,2014Tyrone VickeryRichmond,Ty Vickery
2015,Matthew Arnot,Richmond,2015Matthew ArnotRichmond,Matt Arnot
2015,Benjamin Griffiths,Richmond,2015Benjamin GriffithsRichmond,Ben Griffiths
2015,Liam Mcbean,Richmond,2015Liam McbeanRichmond,Liam McBean
2015,Matthew Mcdonough,Richmond,2015Matthew McdonoughRichmond,Matt McDonough
2015,Kamdyn Mcintosh,Richmond,2015Kamdyn McintoshRichmond,Kamdyn McIntosh
2015,Tyrone Vickery,Richmond,2015Tyrone VickeryRichmond,Ty Vickery
2016,Benjamin Griffiths,Richmond,2016Benjamin GriffithsRichmond,Ben Griffiths
2016,Liam Mcbean,Richmond,2016Liam McbeanRichmond,Liam McBean
2016,Kamdyn Mcintosh,Richmond,2016Kamdyn McintoshRichmond,Kamdyn McIntosh
2016,Tyrone Vickery,Richmond,2016Tyrone VickeryRichmond,Ty Vickery
2017,Daniel Butler,Richmond,2017Daniel ButlerRichmond,Dan Butler
2017,Benjamin Griffiths,Richmond,2017Benjamin GriffithsRichmond,Ben Griffiths
2017,Kamdyn Mcintosh,Richmond,2017Kamdyn McintoshRichmond,Kamdyn McIntosh
2018,Daniel Butler,Richmond,2018Daniel ButlerRichmond,Dan Butler
2018,Kamdyn Mcintosh,Richmond,2018Kamdyn McintoshRichmond,Kamdyn McIntosh
2019,Daniel Butler,Richmond,2019Daniel ButlerRichmond,Dan Butler
2019,Callum C-Jones,Richmond,2019Callum C-JonesRichmond,Callum Coleman-Jones
2019,Kamdyn Mcintosh,Richmond,2019Kamdyn McintoshRichmond,Kamdyn McIntosh
2019,Derek E-Smith,Richmond,2019Derek E-SmithRichmond,Derek Eggmolesse-Smith
2020,Tom Lynch,Richmond,2020Tom LynchRichmond,Tom J. Lynch
2020,Kamdyn Mcintosh,Richmond,2020Kamdyn McintoshRichmond,Kamdyn McIntosh
2020,Derek E-Smith,Richmond,2020Derek E-SmithRichmond,Derek Eggmolesse-Smith
2021,Tom Lynch,Richmond,2021Tom LynchRichmond,Tom J. Lynch
2021,Kamdyn Mcintosh,Richmond,2021Kamdyn McintoshRichmond,Kamdyn McIntosh
2021,Derek E-Smith,Richmond,2021Derek E-SmithRichmond,Derek Eggmolesse-Smith
2021,Riley C-Dawkins,Richmond,2021Riley C-DawkinsRichmond,Riley Collier-Dawkins
2021,Callum C-Jones,Richmond,2021Callum C-JonesRichmond,Callum Coleman-Jones
2013,Thomas Curren,St Kilda,2013Thomas CurrenSt Kilda,Tom Curren
2013,Trent D-Lane,St Kilda,2013Trent D-LaneSt Kilda,Trent Dennis-Lane
2013,Thomas Lee,St Kilda,2013Thomas LeeSt Kilda,Tom Lee
2014,Thomas Curren,St Kilda,2014Thomas CurrenSt Kilda,Tom Curren
2014,Trent D-Lane,St Kilda,2014Trent D-LaneSt Kilda,Trent Dennis-Lane
2014,Thomas Lee,St Kilda,2014Thomas LeeSt Kilda,Tom Lee
2015,Thomas Curren,St Kilda,2015Thomas CurrenSt Kilda,Tom Curren
2015,Patrick McCartin,St Kilda,2015Patrick McCartinSt Kilda,Paddy McCartin
2016,Thomas Lee,St Kilda,2016Thomas LeeSt Kilda,Tom Lee
2016,Patrick McCartin,St Kilda,2016Patrick McCartinSt Kilda,Paddy McCartin
2017,Patrick McCartin,St Kilda,2017Patrick McCartinSt Kilda,Paddy McCartin
2018,Nicholas Coffield,St Kilda,2018Nicholas CoffieldSt Kilda,Nick Coffield
2018,Patrick McCartin,St Kilda,2018Patrick McCartinSt Kilda,Paddy McCartin
2018,Edward Phillips,St Kilda,2018Edward PhillipsSt Kilda,Ed Phillips
2019,Nicholas Coffield,St Kilda,2019Nicholas CoffieldSt Kilda,Nick Coffield
2019,Edward Phillips,St Kilda,2019Edward PhillipsSt Kilda,Ed Phillips
2019,Robert Young,St Kilda,2019Robert YoungSt Kilda,Robbie Young
2019,Daniel Hannebery,St Kilda,2019Daniel HanneberySt Kilda,Dan Hannebery
2020,Patrick Ryder,St Kilda,2020Patrick RyderSt Kilda,Paddy Ryder
2020,Daniel Hannebery,St Kilda,2020Daniel HanneberySt Kilda,Dan Hannebery
2020,Daniel Butler,St Kilda,2020Daniel ButlerSt Kilda,Dan Butler
2020,Nicholas Coffield,St Kilda,2020Nicholas CoffieldSt Kilda,Nick Coffield
2020,Edward Phillips,St Kilda,2020Edward PhillipsSt Kilda,Ed Phillips
2021,Daniel Butler,St Kilda,2021Daniel ButlerSt Kilda,Dan Butler
2021,Nicholas Coffield,St Kilda,2021Nicholas CoffieldSt Kilda,Nick Coffield
2021,Patrick Ryder,St Kilda,2021Patrick RyderSt Kilda,Paddy Ryder
2021,Daniel Hannebery,St Kilda,2021Daniel HanneberySt Kilda,Dan Hannebery
2013,Daniel Hannebery,Sydney,2013Daniel HanneberySydney,Dan Hannebery
2013,Josh P. Kennedy,Sydney,2013Josh P. KennedySydney,Josh P. Kennedy
2013,Ryan O'Keefe,Sydney,2013Ryan O'KeefeSydney,Ryan OKeefe
2013,Lewis R-Thomson,Sydney,2013Lewis R-ThomsonSydney,Lewis Roberts-Thomson
2014,Daniel Hannebery,Sydney,2014Daniel HanneberySydney,Dan Hannebery
2014,Josh P. Kennedy,Sydney,2014Josh P. KennedySydney,Josh P. Kennedy
2014,Ryan O'Keefe,Sydney,2014Ryan O'KeefeSydney,Ryan OKeefe
2014,Lewis R-Thomson,Sydney,2014Lewis R-ThomsonSydney,Lewis Roberts-Thomson
2015,Daniel Hannebery,Sydney,2015Daniel HanneberySydney,Dan Hannebery
2015,Josh P. Kennedy,Sydney,2015Josh P. KennedySydney,Josh P. Kennedy
2015,Daniel Robinson,Sydney,2015Daniel RobinsonSydney,Dan Robinson
2016,Daniel Hannebery,Sydney,2016Daniel HanneberySydney,Dan Hannebery
2016,Josh P. Kennedy,Sydney,2016Josh P. KennedySydney,Josh P. Kennedy
2016,Daniel Robinson,Sydney,2016Daniel RobinsonSydney,Dan Robinson
2017,Daniel Hannebery,Sydney,2017Daniel HanneberySydney,Dan Hannebery
2017,Josh P. Kennedy,Sydney,2017Josh P. KennedySydney,Josh P. Kennedy
2017,Daniel Robinson,Sydney,2017Daniel RobinsonSydney,Dan Robinson
2018,Daniel Hannebery,Sydney,2018Daniel HanneberySydney,Dan Hannebery
2018,Josh P. Kennedy,Sydney,2018Josh P. KennedySydney,Josh P. Kennedy
2018,Colin O'Riordan,Sydney,2018Colin O'RiordanSydney,Colin ORiordan
2018,Daniel Robinson,Sydney,2018Daniel RobinsonSydney,Dan Robinson
2019,Josh P. Kennedy,Sydney,2019Josh P. KennedySydney,Josh P. Kennedy
2019,Justin Mcinerney,Sydney,2019Justin McinerneySydney,Justin McInerney
2019,Colin O'Riordan,Sydney,2019Colin O'RiordanSydney,Colin ORiordan
2020,Justin Mcinerney,Sydney,2020Justin McinerneySydney,Justin McInerney
2021,Justin Mcinerney,Sydney,2021Justin McinerneySydney,Justin McInerney
2013,Mitchell Brown,West Coast,2013Mitchell BrownWest Coast,Mitch Brown
2013,Joshua Kennedy,West Coast,2013Joshua KennedyWest Coast,Josh J. Kennedy
2013,Mark Lecras,West Coast,2013Mark LecrasWest Coast,Mark LeCras
2013,Eric MacKenzie,West Coast,2013Eric MacKenzieWest Coast,Eric Mackenzie
2013,Nicholas Naitanui,West Coast,2013Nicholas NaitanuiWest Coast,Nic Naitanui
2013,Matthew Priddis,West Coast,2013Matthew PriddisWest Coast,Matt Priddis
2013,Matthew Rosa,West Coast,2013Matthew RosaWest Coast,Matt Rosa
2013,Bradley Sheppard,West Coast,2013Bradley SheppardWest Coast,Brad Sheppard
2014,Mitchell Brown,West Coast,2014Mitchell BrownWest Coast,Mitch Brown
2014,Joshua Kennedy,West Coast,2014Joshua KennedyWest Coast,Josh J. Kennedy
2014,Mark Lecras,West Coast,2014Mark LecrasWest Coast,Mark LeCras
2014,Eric MacKenzie,West Coast,2014Eric MacKenzieWest Coast,Eric Mackenzie
2014,Nicholas Naitanui,West Coast,2014Nicholas NaitanuiWest Coast,Nic Naitanui
2014,Matthew Priddis,West Coast,2014Matthew PriddisWest Coast,Matt Priddis
2014,Matthew Rosa,West Coast,2014Matthew RosaWest Coast,Matt Rosa
2014,Dominic Sheed,West Coast,2014Dominic SheedWest Coast,Dom Sheed
2014,Bradley Sheppard,West Coast,2014Bradley SheppardWest Coast,Brad Sheppard
2015,Mitchell Brown,West Coast,2015Mitchell BrownWest Coast,Mitch Brown
2015,Joshua Kennedy,West Coast,2015Joshua KennedyWest Coast,Josh J. Kennedy
2015,Mark Lecras,West Coast,2015Mark LecrasWest Coast,Mark LeCras
2015,Nicholas Naitanui,West Coast,2015Nicholas NaitanuiWest Coast,Nic Naitanui
