season,footywire_player,player_team,lookup,player_name
2017,Nicholas Graham,Carlton,2017Nicholas GrahamCarlton,Nick Graham
2017,Sam P-Seton,Carlton,2017Sam P-SetonCarlton,Sam Petrevski-Seton
2017,Lachlan Plowman,Carlton,2017Lachlan PlowmanCarlton,Lachie Plowman
2018,Edward Curnow,Carlton,2018Edward CurnowCarlton,Ed Curnow
2018,Nicholas Graham,Carlton,2018Nicholas GrahamCarlton,Nick Graham
2018,Lochie O'Brien,Carlton,2018Lochie O'BrienCarlton,Lochie OBrien
2018,Cameron O'Shea,Carlton,2018Cameron O'SheaCarlton,Cameron OShea
2018,Sam P-Seton,Carlton,2018Sam P-SetonCarlton,Sam Petrevski-Seton
2018,Lachlan Plowman,Carlton,2018Lachlan PlowmanCarlton,Lachie Plowman
2019,Edward Curnow,Carlton,2019Edward CurnowCarlton,Ed Curnow
2019,Lochie O'Brien,Carlton,2019Lochie O'BrienCarlton,Lochie OBrien
2019,Sam P-Seton,Carlton,2019Sam P-SetonCarlton,Sam Petrevski-Seton
2019,Lachlan Plowman,Carlton,2019Lachlan PlowmanCarlton,Lachie Plowman
2019,Joshua Deluca,Carlton,2019Joshua DelucaCarlton,Josh Deluca
2020,Edward Curnow,Carlton,2020Edward CurnowCarlton,Ed Curnow
2020,Lachlan Plowman,Carlton,2020Lachlan PlowmanCarlton,Lachie Plowman
2020,Sam P-Seton,Carlton,2020Sam P-SetonCarlton,Sam Petrevski-Seton
2020,Matt Cottrell,Carlton,2020Matt CottrellCarlton,Matthew Cottrell
2020,Matt Owies,Carlton,2020Matt OwiesCarlton,Matthew Owies
2021,Edward Curnow,Carlton,2021Edward CurnowCarlton,Ed Curnow
2021,Lachlan Plowman,Carlton,2021Lachlan PlowmanCarlton,Lachie Plowman
2021,Sam P-Seton,Carlton,2021Sam P-SetonCarlton,Sam Petrevski-Seton
2021,Lachlan Fogarty,Carlton,2021Lachlan FogartyCarlton,Lachie Fogarty
2021,Zachary Williams,Carlton,2021Zachary WilliamsCarlton,Zac Williams
2021,Matt Cottrell,Carlton,2021Matt CottrellCarlton,Matthew Cottrell
2021,Matt Owies,Carlton,2021Matt OwiesCarlton,Matthew Owies
2014,Timothy Broomhead,Collingwood,2014Timothy BroomheadCollingwood,Tim Broomhead
2015,Timothy Broomhead,Collingwood,2015Timothy BroomheadCollingwood,Tim Broomhead
2015,Jordan De Goey,Collingwood,2015Jordan De GoeyCollingwood,Jordan de Goey
2015,Matthew Scharenberg,Collingwood,2015Matthew ScharenbergCollingwood,Matt Scharenberg
2016,Timothy Broomhead,Collingwood,2016Timothy BroomheadCollingwood,Tim Broomhead
2016,Jordan De Goey,Collingwood,2016Jordan De GoeyCollingwood,Jordan de Goey
2017,Timothy Broomhead,Collingwood,2017Timothy BroomheadCollingwood,Tim Broomhead
2017,Jordan De Goey,Collingwood,2017Jordan De GoeyCollingwood,Jordan de Goey
2017,Will H-Elliott,Collingwood,2017Will H-ElliottCollingwood,Will Hoskin-Elliott
2017,Christopher Mayne,Collingwood,2017Christopher MayneCollingwood,Chris Mayne
2017,Matthew Scharenberg,Collingwood,2017Matthew ScharenbergCollingwood,Matt Scharenberg
2018,Timothy Broomhead,Collingwood,2018Timothy BroomheadCollingwood,Tim Broomhead
2018,Jordan De Goey,Collingwood,2018Jordan De GoeyCollingwood,Jordan de Goey
2018,Will H-Elliott,Collingwood,2018Will H-ElliottCollingwood,Will Hoskin-Elliott
2018,Christopher Mayne,Collingwood,2018Christopher MayneCollingwood,Chris Mayne
2018,Samuel Murray,Collingwood,2018Samuel MurrayCollingwood,Sam Murray
2018,Matthew Scharenberg,Collingwood,2018Matthew ScharenbergCollingwood,Matt Scharenberg
2019,Jordan De Goey,Collingwood,2019Jordan De GoeyCollingwood,Jordan de Goey
2019,Will H-Elliott,Collingwood,2019Will H-ElliottCollingwood,Will Hoskin-Elliott
2019,Christopher Mayne,Collingwood,2019Christopher MayneCollingwood,Chris Mayne
2019,Matthew Scharenberg,Collingwood,2019Matthew ScharenbergCollingwood,Matt Scharenberg
2020,Christopher Mayne,Collingwood,2020Christopher MayneCollingwood,Chris Mayne
2020,Will H-Elliott,Collingwood,2020Will H-ElliottCollingwood,Will Hoskin-Elliott
2020,Callum Brown,Collingwood,2020Callum BrownCollingwood,Callum L. Brown
2020,Timothy Broomhead,Collingwood,2020Timothy BroomheadCollingwood,Tim Broomhead
2021,Will H-Elliott,Collingwood,2021Will H-ElliottCollingwood,Will Hoskin-Elliott
2021,Callum Brown,Collingwood,2021Callum BrownCollingwood,Callum L. Brown
2021,Christopher Mayne,Collingwood,2021Christopher MayneCollingwood,Chris Mayne
2013,Corey Dell'Olio,Essendon,2013Corey Dell'OlioEssendon,Cory DellOlio
2013,Nicholas Kommer,Essendon,2013Nicholas KommerEssendon,Nick Kommer
2013,Nathan L-Murray,Essendon,2013Nathan L-MurrayEssendon,Nathan Lovett-Murray
2013,Nicholas O'Brien,Essendon,2013Nicholas O'BrienEssendon,Nick OBrien
2014,Corey Dell'Olio,Essendon,2014Corey Dell'OlioEssendon,Cory DellOlio
2014,Zachary Merrett,Essendon,2014Zachary MerrettEssendon,Zach Merrett
2014,Dylan Van Unen,Essendon,2014Dylan Van UnenEssendon,Dylan van Unen
2015,Zachary Merrett,Essendon,2015Zachary MerrettEssendon,Zach Merrett
2015,Nicholas O'Brien,Essendon,2015Nicholas O'BrienEssendon,Nick OBrien
2016,Mitchell Brown,Essendon,2016Mitchell BrownEssendon,Mitch Brown
2016,Matthew Dea,Essendon,2016Matthew DeaEssendon,Matt Dea
2016,Nicholas Kommer,Essendon,2016Nicholas KommerEssendon,Nick Kommer
2016,Anthony M-Tipungwuti,Essendon,2016Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2016,Zachary Merrett,Essendon,2016Zachary MerrettEssendon,Zach Merrett
2017,Joshua Begley,Essendon,2017Joshua BegleyEssendon,Josh Begley
2017,Mitchell Brown,Essendon,2017Mitchell BrownEssendon,Mitch Brown
2017,Matthew Dea,Essendon,2017Matthew DeaEssendon,Matt Dea
2017,Joshua Green,Essendon,2017Joshua GreenEssendon,Josh Green
2017,Anthony M-Tipungwuti,Essendon,2017Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2017,Zachary Merrett,Essendon,2017Zachary MerrettEssendon,Zach Merrett
2018,Joshua Begley,Essendon,2018Joshua BegleyEssendon,Josh Begley
2018,Mitchell Brown,Essendon,2018Mitchell BrownEssendon,Mitch Brown
2018,Matthew Dea,Essendon,2018Matthew DeaEssendon,Matt Dea
2018,Joshua Green,Essendon,2018Joshua GreenEssendon,Josh Green
2018,Anthony M-Tipungwuti,Essendon,2018Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2018,Zachary Merrett,Essendon,2018Zachary MerrettEssendon,Zach Merrett
2019,Joshua Begley,Essendon,2019Joshua BegleyEssendon,Josh Begley
2019,Mitchell Brown,Essendon,2019Mitchell BrownEssendon,Mitch Brown
2019,Zachary Clarke,Essendon,2019Zachary ClarkeEssendon,Zac Clarke
2019,Anthony M-Tipungwuti,Essendon,2019Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2019,Zachary Merrett,Essendon,2019Zachary MerrettEssendon,Zach Merrett
2019,Brandon Z-Thatcher,Essendon,2019Brandon Z-ThatcherEssendon,Brandon Zerk-Thatcher
2020,Zachary Merrett,Essendon,2020Zachary MerrettEssendon,Zach Merrett
2020,Anthony M-Tipungwuti,Essendon,2020Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2020,Brandon Z-Thatcher,Essendon,2020Brandon Z-ThatcherEssendon,Brandon Zerk-Thatcher
2020,Joshua Begley,Essendon,2020Joshua BegleyEssendon,Josh Begley
2021,Zachary Merrett,Essendon,2021Zachary MerrettEssendon,Zach Merrett
2021,Anthony M-Tipungwuti,Essendon,2021Anthony M-TipungwutiEssendon,Anthony McDonald-Tipungwuti
2021,Nikolas Cox,Essendon,2021Nikolas CoxEssendon,Nik Cox
2021,Brandon Z-Thatcher,Essendon,2021Brandon Z-ThatcherEssendon,Brandon Zerk-Thatcher
2013,Matthew De Boer,Fremantle,2013Matthew De BoerFremantle,Matthew de Boer
2013,Zachary Clarke,Fremantle,2013Zachary ClarkeFremantle,Zac Clarke
2013,Nathan Fyfe,Fremantle,2013Nathan FyfeFremantle,Nat Fyfe
2013,Christopher Mayne,Fremantle,2013Christopher MayneFremantle,Chris Mayne
2013,Thomas Sheridan,Fremantle,2013Thomas SheridanFremantle,Tom Sheridan
2013,Nicholas Suban,Fremantle,2013Nicholas SubanFremantle,Nick Suban
2014,Matthew De Boer,Fremantle,2014Matthew De BoerFremantle,Matthew de Boer
2014,Zachary Clarke,Fremantle,2014Zachary ClarkeFremantle,Zac Clarke
2014,Nathan Fyfe,Fremantle,2014Nathan FyfeFremantle,Nat Fyfe
2014,Christopher Mayne,Fremantle,2014Christopher MayneFremantle,Chris Mayne
2014,Thomas Sheridan,Fremantle,2014Thomas SheridanFremantle,Tom Sheridan
2014,Nicholas Suban,Fremantle,2014Nicholas SubanFremantle,Nick Suban
2015,Matthew De Boer,Fremantle,2015Matthew De BoerFremantle,Matthew de Boer
2015,Zachary Clarke,Fremantle,2015Zachary ClarkeFremantle,Zac Clarke
2015,Nathan Fyfe,Fremantle,2015Nathan FyfeFremantle,Nat Fyfe
2015,Christopher Mayne,Fremantle,2015Christopher MayneFremantle,Chris Mayne
2015,Thomas Sheridan,Fremantle,2015Thomas SheridanFremantle,Tom Sheridan
2015,Nicholas Suban,Fremantle,2015Nicholas SubanFremantle,Nick Suban
2015,Lachlan Weller,Fremantle,2015Lachlan WellerFremantle,Lachie Weller
2016,Matthew De Boer,Fremantle,2016Matthew De BoerFremantle,Matthew de Boer
2016,Zachary Clarke,Fremantle,2016Zachary ClarkeFremantle,Zac Clarke
2016,Samuel Collins,Fremantle,2016Samuel CollinsFremantle,Sam Collins
2016,Nathan Fyfe,Fremantle,2016Nathan FyfeFremantle,Nat Fyfe
2016,Christopher Mayne,Fremantle,2016Christopher MayneFremantle,Chris Mayne
2016,Thomas Sheridan,Fremantle,2016Thomas SheridanFremantle,Tom Sheridan
2016,Nicholas Suban,Fremantle,2016Nicholas SubanFremantle,Nick Suban
2016,Lachlan Weller,Fremantle,2016Lachlan WellerFremantle,Lachie Weller
2017,Samuel Collins,Fremantle,2017Samuel CollinsFremantle,Sam Collins
2017,Josh D-Cardillo,Fremantle,2017Josh D-CardilloFremantle,Josh Deluca
2017,Nathan Fyfe,Fremantle,2017Nathan FyfeFremantle,Nat Fyfe
2017,Cameron McCarthy,Fremantle,2017Cameron McCarthyFremantle,Cam McCarthy
2017,Thomas Sheridan,Fremantle,2017Thomas SheridanFremantle,Tom Sheridan
2017,Nicholas Suban,Fremantle,2017Nicholas SubanFremantle,Nick Suban
2017,Lachlan Weller,Fremantle,2017Lachlan WellerFremantle,Lachie Weller
2018,Mitchell Crowden,Fremantle,2018Mitchell CrowdenFremantle,Mitch Crowden
2018,Nathan Fyfe,Fremantle,2018Nathan FyfeFremantle,Nat Fyfe
2018,Cameron McCarthy,Fremantle,2018Cameron McCarthyFremantle,Cam McCarthy
2018,Thomas Sheridan,Fremantle,2018Thomas SheridanFremantle,Tom Sheridan
2019,Nathan Fyfe,Fremantle,2019Nathan FyfeFremantle,Nat Fyfe
2019,Cameron McCarthy,Fremantle,2019Cameron McCarthyFremantle,Cam McCarthy
2019,Lachlan Schultz,Fremantle,2019Lachlan SchultzFremantle,Lachie Schultz
2019,Mitchell Crowden,Fremantle,2019Mitchell CrowdenFremantle,Mitch Crowden
2020,Nathan Fyfe,Fremantle,2020Nathan FyfeFremantle,Nat Fyfe
2020,Matthew Taberner,Fremantle,2020Matthew TabernerFremantle,Matt Taberner
2020,Cameron McCarthy,Fremantle,2020Cameron McCarthyFremantle,Cam McCarthy
2020,Mitchell Crowden,Fremantle,2020Mitchell CrowdenFremantle,Mitch Crowden
