Feature,Gain,Cover,Frequency
coaches_votes,0.6087952314995392,0.05195799555808689,0.03989181879648411
afl_fantasy_score,0.05884474964979777,0.05159631234650054,0.03425738111336488
disposals_prop,0.026678760803028823,0.0676473406064433,0.03493351363533919
goals_prop,0.019473531957993433,0.03777265787434021,0.02208699571782736
supercoach_score,0.015631482716093163,0.03164383210401844,0.03313049357674104
num_games,0.01110134676881773,0.006305879229299835,0.02479152580572459
goals,0.011069138552862005,0.010678503174283278,0.00856434527834122
rating_points,0.01023136946686691,0.04089219677658672,0.027946810908271353
match_margin,0.009291678009482805,0.004354785731249585,0.02389001577642551
contested_possessions_prop,0.009251172889783466,0.03726074919875748,0.01983322064457967
clearances_prop,0.008546115952403776,0.052545808518733673,0.0196078431372549
shots_at_goal_prop,0.007716324564922461,0.008411551733208622,0.01329727293216137
inside_fifties_prop,0.007655656715813884,0.022884166640352237,0.019382465629930134
kicks_prop,0.007625593725873989,0.028821832345272507,0.02186161821050259
turnovers_prop,0.007441016086197406,0.024347465561575663,0.018480955600631056
tackles_prop,0.0068515289396632205,0.027130226904057576,0.018706333107955827
marks_inside_fifty_prop,0.0066890448943968586,0.011544660116583894,0.01104349785891368
metres_gained,0.006650155974123433,0.026177310091789908,0.02005859815190444
uncontested_possessions_prop,0.006609827267847844,0.03391355398082355,0.01803020058598152
disposal_efficiency_percentage,0.006481599535479596,4.973497531216662e-4,0.023213883254451204
team_score,0.006213357780942629,0.00204008667845308,0.012846517917511832
handballs_prop,0.005337574279547283,0.037167826522777773,0.018706333107955827
pressure_acts,0.005085902551620717,0.012304862027070719,0.016227180527383367
marks_prop,0.004870560890930417,0.016103892696840236,0.016903313049357674
kicks,0.00439642480284598,0.010895162556305927,0.0610773044850124
effective_disposals,0.004359702900806009,0.024671097686496758,0.01780482307865675
def_half_pressure_acts,0.004317183804198231,0.004371040838851754,0.013071895424836602
match_outcome_Win,0.004298538061551207,9.189648396934009e-4,0.0033806626098715348
time_on_ground_percentage,0.004231258892962452,7.782945519918486e-4,0.013522650439486139
disposals,0.004143265378369179,0.011608436677889099,0.018255578093306288
clangers,0.003987448442051256,0.008697754706016202,0.010818120351588911
match_outcome_Loss,0.0036807941774274567,0.002065359837055409,0.0038314176245210726
goal_assists_prop,0.0034582459230910996,9.985159228107982e-4,0.011268875366238449
one_percenters,0.0033729297130921454,4.822537053659128e-4,0.009691232814965067
rebounds,0.0031918516533697345,0.00824046319197675,0.009691232814965067
stoppage_clearances,0.0031725024901819504,0.011830693470877363,0.009691232814965067
team_behinds,0.0030818163071102897,0.002238512070208948,0.011268875366238449
intercepts,0.003074266588744664,0.008766393664725883,0.009916610322289835
behinds_prop,0.0030677788330041255,0.0038755568893852933,0.006986702727067838
marks,0.003065416347347729,0.008047946178462367,0.02479152580572459
contest_def_one_on_ones,0.0029686626442157007,2.4170638260616415e-4,0.0033806626098715348
contested_marks_prop,0.002902630062803824,0.017323280194774072,0.00901510029299076
f50_ground_ball_gets,0.0027869417243719893,0.0018950911186417334,0.0074374577417173765
