kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,prev_season_br_votes,prev_season_games_polled,rolling_avg_votes_per_game,rolling_avg_games_polled,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
14,6,11,25,19,76,0,0,0,1,5,1,1,1,1,0,4,19,0,0,1,0,0,84,92,83,0,1,2,462,2,6,0,0,0,0,0,6,9,0,4,0,0,2,0,8,7.7,0,1,0,1,33,10,9,64,0,0,0,0,308,6,2,0.20666666666666667,0.10333333333333333,0.03189066059225513,0.037267080745341616,0.037037037037037035,0.033967391304347824,0,0,0.008333333333333333,0.009615384615384616,0.012987012987012988,0.0136986301369863,0.044186046511627906,0,0,0,0.014184397163120567,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018845697632059455,Kade Simpson,0,15408,1,Carlton,2019,31,0
16,4,13,29,21,72,1,0,0,1,4,5,1,1,1,0,6,23,0,0,0,0,0,87,97,91,0,1,7,530,5,3,0,0,0,0,0,5,9,2,5,0,0,0,1,12,14.9,0,0,1,0,33,10,9,64,0,0,0,0,250,2,1,0.4380165289256198,0.23140495867768596,0.03644646924829157,0.024844720496894408,0.04377104377104377,0.03940217391304348,0.05555555555555555,0,0.008333333333333333,0.04807692307692308,0.012987012987012988,0.02054794520547945,0.053488372093023255,0,0,0,0.03546099290780142,0.023809523809523808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.18109726905822754,Marc Murphy,0,15408,1,Carlton,2019,7,0
15,3,12,27,23,85,1,0,0,2,5,3,0,4,1,1,6,17,0,0,4,0,1,78,90,93,0,0,8,434,4,6,0,0,1,0,0,12,12,0,5,0,0,0,0,15,14,0,2,1,3,33,10,9,64,0,0,0,0,239,0,0,0.10454545454545454,0.05454545454545454,0.03416856492027335,0.018633540372670808,0.04040404040404041,0.036684782608695655,0.05555555555555555,0,0.016666666666666666,0.028846153846153848,0,0.02054794520547945,0.03953488372093023,0,0,0.058823529411764705,0.028368794326241134,0.023809523809523808,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10835881531238556,Dale Thomas,0,15408,1,Carlton,2019,9,0
8,0,14,22,18,82,0,0,0,4,0,3,5,1,1,0,11,12,0,0,1,0,1,85,69,92,2,3,9,259,1,5,1,0,0,0,0,8,4,2,8,0,0,0,0,14,22.6,0,3,0,0,33,13,14,97,0,0,0,0,232,7,4,0.07207207207207207,0.04054054054054054,0.018223234624145785,0,0.04713804713804714,0.029891304347826088,0,0,0.03333333333333333,0.028846153846153848,0.06493506493506493,0.03767123287671233,0.027906976744186046,0,0,0.058823529411764705,0.0070921985815602835,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09975279122591019,Shane Edwards,0,15408,1,Richmond,2019,10,0
16,6,8,24,22,92,0,0,0,4,8,3,1,2,1,0,4,14,0,0,2,0,1,83,102,112,0,1,5,486,4,8,0,0,0,0,0,12,14,0,3,0,0,1,0,17,16,0,2,0,2,33,13,14,97,1,1,0,0,186,0,0,0.06818181818181818,0.03977272727272727,0.03644646924829157,0.037267080745341616,0.026936026936026935,0.03260869565217391,0,0,0.03333333333333333,0.028846153846153848,0.012987012987012988,0.0136986301369863,0.03255813953488372,0,0,0.058823529411764705,0.028368794326241134,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08627152442932129,Bachar Houli,0,15408,1,Richmond,2019,11,0
6,2,2,8,4,50,1,1,0,2,0,1,0,7,1,4,9,2,1,2,3,0,2,98,32,50,0,0,5,71,7,2,2,0,0,4,1,0,2,4,5,0,0,0,0,4,3.1,1,1,4,0,33,13,14,97,0,0,0,0,250,10,5,0.2125,0.10416666666666667,0.01366742596810934,0.012422360248447204,0.006734006734006734,0.010869565217391304,0.05555555555555555,0.0625,0.016666666666666666,0.009615384615384616,0,0.030821917808219176,0.004651162790697674,0.0625,0.11764705882352941,0.11764705882352941,0.04964539007092199,0.09523809523809523,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01620982587337494,Jack Riewoldt,0,15408,1,Richmond,2019,18,0
20,6,11,31,16,52,0,1,0,4,0,6,6,5,2,4,14,14,1,1,2,1,0,80,107,98,1,5,8,548,6,5,0,0,1,0,0,7,9,0,11,0,0,1,0,19,12.6,0,4,1,2,33,13,14,97,0,0,10,1,221,10,5,0.6018957345971564,0.2890995260663507,0.04555808656036447,0.037267080745341616,0.037037037037037035,0.042119565217391304,0,0.0625,0.03333333333333333,0.057692307692307696,0.07792207792207792,0.04794520547945205,0.03255813953488372,0.0625,0.058823529411764705,0,0.0425531914893617,0.023809523809523808,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4088034629821777,Trent Cotchin,3,15408,1,Richmond,2019,2,2
18,4,12,30,19,63,0,0,0,0,1,7,5,7,0,3,15,17,1,1,2,2,1,79,81,109,2,3,11,628,8,2,0,0,0,3,2,3,10,1,9,0,0,1,0,6,17,0,1,0,1,33,13,14,97,0,1,1,0,202,19,9,0.7864583333333334,0.375,0.04100227790432802,0.024844720496894408,0.04040404040404041,0.04076086956521739,0,0,0,0.0673076923076923,0.06493506493506493,0.05136986301369863,0.03953488372093023,0.0625,0.058823529411764705,0.058823529411764705,0.05673758865248227,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7453457117080688,Dustin Martin,0,15408,1,Richmond,2019,5,0
5,1,4,9,7,78,0,0,0,0,2,0,0,0,0,0,4,4,0,0,3,0,0,92,26,40,0,0,4,175,0,5,0,0,1,0,0,6,4,0,4,0,0,0,0,6,7.5,0,2,0,3,33,13,14,97,0,0,0,0,108,1,1,0.00980392156862745,0.00980392156862745,0.011389521640091117,0.006211180124223602,0.013468013468013467,0.012228260869565218,0,0,0,0,0,0.0136986301369863,0.009302325581395349,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002857984509319067,David Astbury,0,15408,1,Richmond,2019,23,0
4,3,4,8,7,88,0,0,0,5,3,0,1,2,3,1,7,2,1,0,7,0,0,97,49,65,0,1,1,20,1,8,0,2,5,0,0,10,4,0,2,0,0,3,0,11,11.5,0,1,0,5,33,10,9,64,0,0,0,0,113,0,0,0.06306306306306306,0.02702702702702703,0.009111617312072893,0.018633540372670808,0.013468013468013467,0.010869565217391304,0,0,0.041666666666666664,0,0.012987012987012988,0.023972602739726026,0.004651162790697674,0.0625,0,0,0.0070921985815602835,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391701515763998,Liam Jones,0,15408,1,Carlton,2019,20,0
