player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Tom Mitchell,Hawthorn,28,35,88,32.44682312197983,-7
Dayne Beams,Brisbane Lions,18,21,72,16.57624354190193,-3
Brodie Grundy,Collingwood,17,21,82,18.665742214769125,-4
Elliot Yeo,West Coast,15,21,62,16.852208703756332,-6
Clayton Oliver,Melbourne,13,21,72,17.392964793369174,-8
Steele Sidebottom,Collingwood,24,20,64,15.185889209766174,4
Max Gawn,Melbourne,20,20,97,19.208850676659495,0
Dustin Martin,Richmond,19,20,70,14.328971736133099,-1
Nat Fyfe,Fremantle,16,20,60,18.504781333729625,-4
Patrick Cripps,Carlton,20,19,91,22.09799951389141,1
Patrick Dangerfield,Geelong,17,19,60,18.819035511929542,-2
Jack Macrae,Western Bulldogs,14,18,72,20.091488556936383,-4
Angus Brayshaw,Melbourne,21,17,54,15.796057508210652,4
Andrew Gaff,West Coast,16,16,65,14.127167085185647,0
Joel Selwood,Geelong,14,16,47,12.58632755279541,-2
Lachie Whitfield,Greater Western Sydney,16,15,70,13.740178840467706,1
Lance Franklin,Sydney,16,15,44,12.864526452845894,1
Gary Ablett,Geelong,14,15,50,13.920420730020851,-1
Rory Laird,Adelaide,19,14,65,14.58494717348367,5
Scott Pendlebury,Collingwood,15,14,62,12.927722446620464,1
Shaun Higgins,North Melbourne,15,13,67,11.364065000787377,2
Ollie Wines,Port Adelaide,14,13,38,9.805187723133713,1
Ben Cunnington,North Melbourne,11,13,53,11.135755889699794,-2
Josh P. Kennedy,Sydney,6,13,35,11.713762920349836,-7
Dyson Heppell,Essendon,13,12,68,12.85338752483949,1
Lachie Neale,Fremantle,11,12,48,12.325964510906488,-1
Zach Merrett,Essendon,10,12,37,9.801723459138884,-2
Tom Hawkins,Geelong,9,12,39,12.188257544941735,-3
Kane Lambert,Richmond,12,11,56,7.417456433438929,1
Jack Darling,West Coast,11,11,51,9.371386407670798,0
Jack Redden,West Coast,10,11,34,9.62086200201884,-1
Josh Kelly,Greater Western Sydney,10,11,32,11.329821294290014,-1
Trent Cotchin,Richmond,10,11,49,11.522909918799996,-1
Robbie Gray,Port Adelaide,8,11,42,9.829455584054813,-3
Jack Gunston,Hawthorn,10,10,38,8.091618267004378,0
Lachie Hunter,Western Bulldogs,9,10,44,12.275584572344087,-1
Ben Brown,North Melbourne,6,10,40,8.992644038517028,-4
Jake Lloyd,Sydney,6,10,42,8.029904331313446,-4
Sebastian Ross,St Kilda,6,10,36,10.98301397881005,-4
Jesse Hogan,Melbourne,5,10,41,8.788137875846587,-5
Jack Steven,St Kilda,18,9,38,9.398323377943598,9
Tim Kelly,Geelong,13,9,53,8.858835637103766,4
Stephen Coniglio,Greater Western Sydney,11,9,53,12.715034467400983,2
Jack Riewoldt,Richmond,10,9,48,11.250902630155906,1
Luke Parker,Sydney,10,9,40,10.288682972663082,1
Liam Shiels,Hawthorn,8,9,35,7.819462316459976,-1
Matt Crouch,Adelaide,8,9,38,11.362354085315019,-1
Luke Breust,Hawthorn,7,9,48,9.057207234203815,-2
Taylor Adams,Collingwood,6,9,38,8.49022505665198,-3
Stefan Martin,Brisbane Lions,5,9,36,6.4313368948642164,-4
Callan Ward,Greater Western Sydney,13,8,45,11.323586391750723,5
Devon Smith,Essendon,11,8,44,7.111594968242571,3
Marcus Bontempelli,Western Bulldogs,9,8,37,6.929769676295109,1
Adam Treloar,Collingwood,8,8,24,7.5609004981815815,0
Callum Sinclair,Sydney,6,8,35,7.548967140355671,-2
Tom McDonald,Melbourne,4,8,37,6.227922088088235,-4
Isaac Heeney,Sydney,7,7,41,6.241127737332135,0
Dayne Zorko,Brisbane Lions,6,7,31,7.818965306971222,-1
Josh Caddy,Richmond,6,7,29,6.5507244679902215,-1
Kade Simpson,Carlton,6,7,37,8.992863064049743,-1
Jordan De Goey,Collingwood,12,6,0,3.845753696747124,6
David Mundy,Fremantle,8,6,21,4.375514475395903,2
James Sicily,Hawthorn,8,6,39,7.716788908292074,2
Michael Walters,Fremantle,8,6,21,6.345962115155999,2
Jack Ziebell,North Melbourne,7,6,22,4.383823486277834,1
Jared Polec,Port Adelaide,7,6,28,5.116841162322089,1
Shane Edwards,Richmond,7,6,38,4.50674853369128,1
Jeremy Cameron,Greater Western Sydney,6,6,20,5.845715766772628,0
Justin Westhoff,Port Adelaide,5,6,26,4.682753571076319,-1
Chad Wingard,Port Adelaide,4,6,36,5.138431379396934,-2
Josh Jenkins,Adelaide,3,6,21,4.757790667703375,-3
Orazio Fantasia,Essendon,3,6,20,4.883216719259508,-3
Jaeger O'Meara,Hawthorn,13,5,30,5.562375563196838,8
Dylan Shiel,Greater Western Sydney,10,5,27,3.5523128068307415,5
Bryce Gibbs,Adelaide,9,5,22,5.959648891410325,4
Jarrad Waite,North Melbourne,7,5,27,6.230193892261013,2
Luke Shuey,West Coast,6,5,23,5.000418350013206,1
Ben Ronke,Sydney,5,5,19,4.346594530019502,0
Jake Melksham,Melbourne,4,5,22,4.546509448962752,-1
Charlie Dixon,Port Adelaide,3,5,20,4.806241698446684,-2
Josh Thomas,Collingwood,3,5,17,3.6208694494562224,-2
Aaron Young,Gold Coast,2,5,15,2.8537844691600185,-3
Paul Seedsman,Adelaide,2,5,25,2.664548362692585,-3
Jack Steele,St Kilda,1,5,23,5.226045192372112,-4
Trent Dumont,North Melbourne,1,5,21,5.404757193178739,-4
Nathan Jones,Melbourne,7,4,16,5.329575694166124,3
Sam Menegola,Geelong,7,4,20,5.703360453830101,3
David Zaharakis,Essendon,6,4,19,3.6425293868524022,2
Isaac Smith,Hawthorn,6,4,26,3.9245884111733176,2
Jeremy McGovern,West Coast,6,4,27,3.824401176534593,2
Shannon Hurn,West Coast,6,4,40,6.225384048186243,2
Todd Goldstein,North Melbourne,6,4,22,3.687875249888748,2
Ed Curnow,Carlton,4,4,13,4.702042497694492,0
Jack Viney,Melbourne,4,4,16,2.9875959291821346,0
Josh J. Kennedy,West Coast,4,4,0,3.3500491710437927,0
Mitch Duncan,Geelong,4,4,37,5.410734983248403,0
Tom Stewart,Geelong,4,4,35,3.4824683903716505,0
Brandan Parfitt,Geelong,3,4,14,3.922081627883017,-1
Dion Prestia,Richmond,3,4,16,3.107241596095264,-1
Jamie Cripps,West Coast,3,4,19,3.525491367909126,-1
David Swallow,Gold Coast,2,4,15,2.575582567980746,-2
Wayne Milera,Adelaide,2,4,22,2.1195194273459492,-2
Tom Cutler,Brisbane Lions,1,4,9,4.193135523004457,-3
Ben McEvoy,Hawthorn,8,3,25,3.1677542112010997,5
Michael Hurley,Essendon,7,3,30,3.0838103950954974,4
Nick Haynes,Greater Western Sydney,5,3,15,1.7798424142820295,2
Taylor Walker,Adelaide,5,3,15,2.4917828291654587,2
Tom J. Lynch,Gold Coast,5,3,0,2.93121841608081,2
James Harmes,Melbourne,4,3,25,4.7305714746471494,1
Sam Gray,Port Adelaide,4,3,15,2.4991632595774718,1
Touk Miller,Gold Coast,4,3,13,1.2079991654027253,1
Dom Sheed,West Coast,3,3,9,3.465611830848502,0
Jason Johannisen,Western Bulldogs,3,3,17,5.374127039103769,0
Richard Douglas,Adelaide,3,3,14,2.3005936902482063,0
Sam Powell-Pepper,Port Adelaide,3,3,14,2.652427869848907,0
Scott Thompson,North Melbourne,3,3,15,1.3016488493885845,0
Shaun McKernan,Essendon,3,3,12,2.597987533546984,0
Harris Andrews,Brisbane Lions,2,3,23,3.4803883598651737,-1
Jack Billings,St Kilda,2,3,8,2.294126967928605,-1
Jarrod Witts,Gold Coast,2,3,11,5.091517805820331,-1
Jarryd Lyons,Gold Coast,2,3,11,4.413556032726774,-1
Mason Wood,North Melbourne,2,3,9,1.9719985403935425,-1
Shaun Grigg,Richmond,2,3,12,1.7606246108771302,-1
Tom Rockliff,Port Adelaide,2,3,9,3.248416613700101,-1
Brad Ebert,Port Adelaide,1,3,14,2.16647171752993,-2
Brennan Cox,Fremantle,1,3,9,1.9394428585947026,-2
Connor Blakely,Fremantle,1,3,7,2.1573028445709497,-2
Eddie Betts,Adelaide,1,3,14,1.7034079120203387,-2
Mitch Robinson,Brisbane Lions,1,3,4,1.7397563288977835,-2
Paddy Ryder,Port Adelaide,0,3,7,1.9916646444471553,-3
Shaun Burgoyne,Hawthorn,0,3,22,3.8862699587189127,-3
Tom Bellchambers,Essendon,0,3,13,2.6288707492058165,-3
Tom Phillips,Collingwood,0,3,34,5.685467524919659,-3
Eric Hipwood,Brisbane Lions,6,2,13,2.85712491592858,4
Aaron Sandilands,Fremantle,5,2,13,3.3338074507191777,3
Brayden Fiorini,Gold Coast,5,2,7,1.325657562352717,3
Josh Dunkley,Western Bulldogs,4,2,14,3.0185225071327295,2
Tim Membrey,St Kilda,4,2,8,1.4701266048359685,2
Adam Cerra,Fremantle,3,2,10,1.4684809008031152,1
Adam Saad,Essendon,3,2,22,1.0027577779801504,1
Aliir Aliir,Sydney,3,2,14,1.5527587514952756,1
Anthony McDonald-Tipungwuti,Essendon,3,2,12,1.5491370696399827,1
Brett Deledio,Greater Western Sydney,3,2,17,2.973441619578807,1
Daniel Menzel,Geelong,3,2,12,3.083136854809709,1
Lachie Weller,Gold Coast,3,2,13,1.3039736250066198,1
Mason Cox,Collingwood,3,2,7,1.9304782132967375,1
Rory Atkins,Adelaide,3,2,13,2.3112049349583685,1
Sam Jacobs,Adelaide,3,2,11,1.941343446582323,1
Toby Nankervis,Richmond,3,2,11,1.7733221865491942,1
Hugh Greenwood,Adelaide,2,2,17,3.3369885004358366,0
Marc Murphy,Carlton,2,2,5,1.7335478460154263,0
Mitch McGovern,Adelaide,2,2,8,2.2897396676416975,0
Nick Vlastuin,Richmond,2,2,25,1.3509787692601094,0
Robbie Tarrant,North Melbourne,2,2,8,1.5808048984908964,0
Steven Motlop,Port Adelaide,2,2,10,1.41238682216499,0
Toby McLean,Western Bulldogs,2,2,13,3.5170646990882233,0
Travis Boak,Port Adelaide,2,2,9,2.8645305114696384,0
Alex Sexton,Gold Coast,1,2,11,1.7140813876176253,-1
Brodie Smith,Adelaide,1,2,7,1.1121594846845255,-1
Matthew Kreuzer,Carlton,1,2,6,1.7993412009673193,-1
Paul Ahern,North Melbourne,1,2,9,2.2466660770078306,-1
Aaron Francis,Essendon,0,2,6,0.8306791394134052,-2
Alex Rance,Richmond,0,2,30,2.3085966566577554,-2
Cale Hooker,Essendon,0,2,14,2.3241220444288047,-2
Cameron Ellis-Yolmen,Adelaide,0,2,7,0.9873190834186971,-2
Ed Langdon,Fremantle,0,2,14,2.7108679949069483,-2
Harry Himmelberg,Greater Western Sydney,0,2,13,1.4610505034215748,-2
Heath Shaw,Greater Western Sydney,0,2,10,1.5389926366624422,-2
Jack Crisp,Collingwood,0,2,20,2.1796401494939346,-2
Jackson Trengove,Western Bulldogs,0,2,6,1.4702245660300832,-2
Jade Gresham,St Kilda,0,2,23,1.8971571759320796,-2
Jonathon Patton,Greater Western Sydney,0,2,2,0.8011085483885836,-2
Luke Hodge,Brisbane Lions,0,2,10,2.456564911422902,-2
Nathan Wilson,Fremantle,0,2,22,1.632037132192636,-2
Scott Lycett,West Coast,0,2,12,1.8439325874496717,-2
Tim Taranto,Greater Western Sydney,0,2,6,1.973254237906076,-2
Rory Sloane,Adelaide,6,1,15,2.7039731116965413,5
Charlie Curnow,Carlton,3,1,22,2.415760151867289,2
David Myers,Essendon,3,1,12,1.8758576096006436,2
Jarrod Harbrow,Gold Coast,3,1,12,1.0304188805748709,2
Will Hoskin-Elliott,Collingwood,3,1,6,1.1436056568054482,2
Christian Salem,Melbourne,2,1,16,1.656051017320351,1
Darcy Byrne-Jones,Port Adelaide,2,1,17,1.047987705678679,1
Jaidyn Stephenson,Collingwood,2,1,7,1.9878387727076188,1
Matthew Suckling,Western Bulldogs,2,1,7,0.9420360247604549,1
Bailey Williams,Western Bulldogs,1,1,12,0.4430147594830487,0
Blake Acres,St Kilda,1,1,7,1.5726579606998712,0
Caleb Daniel,Western Bulldogs,1,1,11,2.5162874989673583,0
David Armitage,St Kilda,1,1,7,1.5210090197215322,0
Jake Stringer,Essendon,1,1,12,1.3173533929511905,0
Jarrod Berry,Brisbane Lions,1,1,11,1.1803030469236546,0
Jeff Garlett,Melbourne,1,1,5,0.9455619091168046,0
Paul Puopolo,Hawthorn,1,1,7,1.1747823230107315,0
Ryan Griffen,Greater Western Sydney,1,1,6,0.8331070604035631,0
Steven May,Gold Coast,1,1,5,1.383068964118138,0
Adam Tomlinson,Greater Western Sydney,0,1,7,2.009851885981334,-1
Bachar Houli,Richmond,0,1,6,0.33735509737743996,-1
Jacob Hopper,Greater Western Sydney,0,1,8,1.3004168757470325,-1
Jeremy Howe,Collingwood,0,1,23,1.717031232874433,-1
Luke Dahlhaus,Western Bulldogs,0,1,9,1.515608765737852,-1
Luke McDonald,North Melbourne,0,1,3,1.3658901947492268,-1
Mark Hutchings,West Coast,0,1,2,1.1643130221127649,-1
Mark LeCras,West Coast,0,1,4,1.270307881088229,-1
Matt de Boer,Greater Western Sydney,0,1,0,1.1345769949257374,-1
Rory Lobb,Greater Western Sydney,0,1,2,0.8536322538056993,-1
Sam Rowe,Carlton,0,1,0,0.6901963637210429,-1
Shaun Atley,North Melbourne,0,1,8,0.6768128468083887,-1
Stephen Hill,Fremantle,0,1,6,0.6017460773873609,-1
Tom Barrass,West Coast,0,1,9,0.9705377551435959,-1
Tom Lynch,Adelaide,0,1,13,2.3666372587904334,-1
Ben Jacobs,North Melbourne,4,0,18,2.08671853915439,4
Alex Neal-Bullen,Melbourne,3,0,2,1.2032267472004605,3
Callum Mills,Sydney,3,0,8,-0.0023848563141655177,3
Cam Rayner,Brisbane Lions,3,0,2,0.1975688609527424,3
Christian Petracca,Melbourne,3,0,11,1.0892723422148265,3
George Hewett,Sydney,3,0,22,2.273670100788877,3
Marley Williams,North Melbourne,3,0,0,-0.00198588414787082,3
Oliver Florent,Sydney,3,0,4,0.41602287669229554,3
Tom Jonas,Port Adelaide,3,0,22,1.6441807086812332,3
Billy Gowers,Western Bulldogs,2,0,0,0.2395838029915467,2
Jack Watts,Port Adelaide,2,0,0,0.4992895891191438,2
Jarrad McVeigh,Sydney,2,0,9,-0.08698901394382119,2
Joel Hamling,Fremantle,2,0,2,-0.054615533066680655,2
Matthew Scharenberg,Collingwood,2,0,1,0.012204809812828898,2
Alex Witherden,Brisbane Lions,1,0,4,0.6870528792205732,1
Bradley Hill,Fremantle,1,0,7,-0.13288213990745135,1
Brendon Goddard,Essendon,1,0,12,1.294382376538124,1
Chris Masten,West Coast,1,0,5,1.28854066983331,1
Dane Rampe,Sydney,1,0,8,1.085326254949905,1
Daniel Rioli,Richmond,1,0,3,0.1458441672148183,1
David Astbury,Richmond,1,0,9,0.10827771772892447,1
Hugh McCluggage,Brisbane Lions,1,0,20,1.7800340036046691,1
Jack Lonie,St Kilda,1,0,3,-0.09710747341159731,1
Jack Martin,Gold Coast,1,0,4,0.048000540235079825,1
Jake Carlisle,St Kilda,1,0,7,0.5158570995699847,1
Jake Lever,Melbourne,1,0,3,0.14649106064462103,1
Jarryd Roughead,Hawthorn,1,0,5,1.141434374731034,1
Jayden Short,Richmond,1,0,3,0.1799345063045621,1
Kyle Langford,Essendon,1,0,4,0.7266591178777162,1
Michael Hibberd,Melbourne,1,0,7,0.1845658067468321,1
Reece Conca,Richmond,1,0,1,8.485413854941726e-4,1
Sam Petrevski-Seton,Carlton,1,0,1,-0.039154589001554996,1
Toby Greene,Greater Western Sydney,1,0,5,0.948313496861374,1
Tom Langdon,Collingwood,1,0,1,0.28877055339398794,1
Aaron Black,Geelong,0,0,0,0.009980968112358823,0
Aaron Hall,Gold Coast,0,0,0,-0.29820063908118755,0
Aaron Mullett,Carlton,0,0,0,-0.06541289345477708,0
Aaron Naughton,Western Bulldogs,0,0,5,0.03460062446538359,0
Aaron vandenBerg,Melbourne,0,0,0,0.02388794010039419,0
Adam Kennedy,Greater Western Sydney,0,0,3,0.07034579294850118,0
Adam Oxley,Collingwood,0,0,0,-0.02644976889132522,0
Aidan Corr,Greater Western Sydney,0,0,0,0.02680157104623504,0
Aiden Bonar,Greater Western Sydney,0,0,0,-0.029351671662880108,0
Aidyn Johnson,Port Adelaide,0,0,2,-0.08495674439473078,0
Alex Fasolo,Collingwood,0,0,0,-0.0012308411533012986,0
Alex Johnson,Sydney,0,0,0,-0.05737742187920958,0
Alex Keath,Adelaide,0,0,0,0.019479534588754177,0
Alex Morgan,North Melbourne,0,0,0,-0.0049141921335831285,0
Alex Pearce,Fremantle,0,0,7,0.12467812384056742,0
Allen Christensen,Brisbane Lions,0,0,1,0.12234154826728627,0
Andrew Brayshaw,Fremantle,0,0,3,0.06699868233408779,0
Andrew McGrath,Essendon,0,0,1,0.07489034062018618,0
Andrew Phillips,Carlton,0,0,0,-0.07616101857274771,0
Andy Otten,Adelaide,0,0,2,-0.09085575550852809,0
Anthony Miles,Richmond,0,0,0,0.08687063306570053,0
Bailey Banfield,Fremantle,0,0,0,-0.04371563049789984,0
Bailey Dale,Western Bulldogs,0,0,0,-0.016502858576131985,0
Bailey Rice,St Kilda,0,0,0,-0.020014294888824224,0
Bayley Fritsch,Melbourne,0,0,1,0.3069295936729759,0
Ben Ainsworth,Gold Coast,0,0,0,0.12884208292780386,0
Ben Crocker,Collingwood,0,0,0,-0.03444808511994779,0
Ben Keays,Brisbane Lions,0,0,0,-0.0024251877330243587,0
Ben Long,St Kilda,0,0,3,0.06208553345641121,0
Ben McNiece,Essendon,0,0,0,0.007995245076017454,0
Ben Paton,St Kilda,0,0,0,-0.004167344857705757,0
Ben Reid,Collingwood,0,0,0,-7.059196941554546e-4,0
Ben Stratton,Hawthorn,0,0,23,0.8272309119638521,0
Bernie Vince,Melbourne,0,0,0,0.0896678217977751,0
Billy Frampton,Port Adelaide,0,0,0,0.00505445059388876,0
Billy Hartung,North Melbourne,0,0,0,0.13384748309181305,0
Billy Longer,St Kilda,0,0,0,-0.007621160242706537,0
Billy Stretch,Melbourne,0,0,0,0.005472925608046353,0
Blake Hardwick,Hawthorn,0,0,10,0.2749779248260893,0
Brad Lynch,Western Bulldogs,0,0,0,-0.01439254664001055,0
Brad Scheer,Gold Coast,0,0,0,-0.02747195854317397,0
Brad Sheppard,West Coast,0,0,19,0.808862657577265,0
Brady Grey,Fremantle,0,0,0,-0.009336004266515374,0
Brandon Ellis,Richmond,0,0,0,0.10045078868279234,0
Brandon Matera,Fremantle,0,0,1,-2.8211024073243607e-4,0
Brandon Starcevich,Brisbane Lions,0,0,0,-0.01763319654855877,0
Brandon White,St Kilda,0,0,0,-0.016523335478268564,0
Brayden Ainsworth,West Coast,0,0,0,0.006332541001029313,0
Brayden Crossley,Gold Coast,0,0,0,-0.009924338693963364,0
Brayden Maynard,Collingwood,0,0,10,0.48009859520971077,0
Brayden Sier,Collingwood,0,0,0,-0.09512767885462381,0
Brendan Whitecross,Hawthorn,0,0,0,-0.005914913373999298,0
Brendon Ah Chee,West Coast,0,0,0,-0.008986899629235268,0
Brent Daniels,Greater Western Sydney,0,0,0,-0.008251918654423207,0
Brody Mihocek,Collingwood,0,0,0,0.26181869603169616,0
Caleb Marchbank,Carlton,0,0,0,0.006639357336098328,0
Callum Ah Chee,Gold Coast,0,0,0,-0.03990300385339651,0
Callum L. Brown,Collingwood,0,0,0,0.027950600953772664,0
Callum Moore,Richmond,0,0,0,-0.030382459284737706,0
Cam McCarthy,Fremantle,0,0,1,-0.026560352445812896,0
Cam Sutcliffe,Fremantle,0,0,0,-0.010363254812546074,0
Cameron Guthrie,Geelong,0,0,0,-0.03663891862379387,0
Cameron OShea,Carlton,0,0,0,-0.01716104751540115,0
Cameron Pedersen,Melbourne,0,0,0,0.007186476606875658,0
Cameron Polson,Carlton,0,0,0,-0.03970279288478196,0
Cameron Zurhaar,North Melbourne,0,0,0,-0.0019807144708465785,0
Cedric Cox,Brisbane Lions,0,0,0,-0.006832665880210698,0
Charlie Ballard,Gold Coast,0,0,0,-0.005637071801174898,0
Charlie Cameron,Brisbane Lions,0,0,9,0.19227875312208198,0
Charlie Spargo,Melbourne,0,0,0,-0.048906744545092806,0
Chris Mayne,Collingwood,0,0,6,0.7760185504739638,0
Ciaran Byrne,Carlton,0,0,0,-0.0021061132138129324,0
Colin O'Riordan,Sydney,0,0,0,0.00734396418556571,0
Connor Menadue,Richmond,0,0,0,-0.01304358258494176,0
Conor Glass,Hawthorn,0,0,0,0.0019610205199569464,0
Conor McKenna,Essendon,0,0,3,0.19078856603300665,0
Conor Nash,Hawthorn,0,0,0,-0.017717548413202167,0
Corey Ellis,Richmond,0,0,0,0.0018744740227703005,0
Corey Maynard,Melbourne,0,0,0,-0.006295001599937677,0
Cory Gregson,Geelong,0,0,0,-0.022141606808872893,0
Curtly Hampton,Adelaide,0,0,0,-0.007363091048318893,0
Cyril Rioli,Hawthorn,0,0,0,-0.01601326497620903,0
Dale Morris,Western Bulldogs,0,0,0,-0.005045748112024739,0
Dale Thomas,Carlton,0,0,2,1.4371918056713184,0
Dan Butler,Richmond,0,0,2,0.1858105803548824,0
Dan Hannebery,Sydney,0,0,0,0.11176935380353825,0
Dan Houston,Port Adelaide,0,0,1,0.02081755339168012,0
Dan Robinson,Sydney,0,0,0,-0.044494653528090566,0
Daniel Howe,Hawthorn,0,0,1,0.36657411068154033,0
Daniel Lloyd,Greater Western Sydney,0,0,0,-0.008454178896499798,0
Daniel McKenzie,St Kilda,0,0,0,-9.173958387691528e-4,0
Daniel McStay,Brisbane Lions,0,0,0,-0.04248216457199305,0
Daniel Rich,Brisbane Lions,0,0,4,0.49874566835933365,0
Daniel Talia,Adelaide,0,0,4,0.13155259401537478,0
Daniel Venables,West Coast,0,0,0,0.010327761876396835,0
Daniel Wells,Collingwood,0,0,0,0.17262003547511995,0
Danyle Pearce,Fremantle,0,0,0,-0.0038814786821603775,0
Darcy Cameron,Sydney,0,0,0,-0.0011435206979513168,0
Darcy Fogarty,Adelaide,0,0,0,-0.014705824432894588,0
Darcy Gardiner,Brisbane Lions,0,0,12,0.470570790268539,0
Darcy Lang,Carlton,0,0,1,0.16167043760651723,0
Darcy MacPherson,Gold Coast,0,0,0,0.060637746908469126,0
Darcy Moore,Collingwood,0,0,0,-0.0027004802832379937,0
Darcy Parish,Essendon,0,0,3,-0.2875458329508547,0
Darcy Tucker,Fremantle,0,0,0,-0.07522692898055539,0
Darragh Joyce,St Kilda,0,0,0,0.008115016156807542,0
David Cuningham,Carlton,0,0,0,-0.009063026576768607,0
David Mackay,Adelaide,0,0,0,-0.044103850465035066,0
David Mirra,Hawthorn,0,0,0,0.004094021016499028,0
Dawson Simpson,Greater Western Sydney,0,0,1,0.6390801228117198,0
Dean Kent,Melbourne,0,0,2,0.1374464506516233,0
Dean Towers,Sydney,0,0,0,0.03168651257874444,0
Dom Barry,Port Adelaide,0,0,0,-0.017300666047958657,0
Dom Tyson,Melbourne,0,0,0,-0.0025380186270922422,0
Dougal Howard,Port Adelaide,0,0,1,-0.0057675293064676225,0
Dylan Buckley,Greater Western Sydney,0,0,0,-0.00903662876226008,0
Dylan Clarke,Essendon,0,0,0,-0.0012308411533012986,0
Dylan Grimes,Richmond,0,0,11,0.4997657530475408,0
Dylan Roberton,St Kilda,0,0,0,-0.026694074731494766,0
Easton Wood,Western Bulldogs,0,0,1,0.15550554543733597,0
Ed Phillips,St Kilda,0,0,0,-0.017371938476571813,0
Ed Richards,Western Bulldogs,0,0,0,-0.009864116553217173,0
Ed Vickers-Willis,North Melbourne,0,0,1,0.001893444190500304,0
Elliott Himmelberg,Adelaide,0,0,0,-0.009752005338668823,0
Esava Ratugolea,Geelong,0,0,2,0.04687078343704343,0
Ethan Hughes,Fremantle,0,0,0,-0.013502412009984255,0
Fergus Greene,Western Bulldogs,0,0,0,-0.009365734062157571,0
Fletcher Roberts,Western Bulldogs,0,0,0,-0.0018621028866618872,0
Flynn Appleby,Collingwood,0,0,0,0.014727864356245846,0
Fraser McInnes,West Coast,0,0,0,-0.010793551940878388,0
