player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Clayton Oliver,Melbourne,0,33,114,29.861651103943586,-33
Ollie Wines,Port Adelaide,0,33,101,27.89015321433544,-33
Jack Steele,St Kilda,0,31,100,25.485083147883415,-31
Marcus Bontempelli,Western Bulldogs,0,29,101,31.468774562701583,-29
Touk Miller,Gold Coast,0,28,97,25.862526515498757,-28
Zach Merrett,Essendon,0,27,91,24.329040923155844,-27
Jarryd Lyons,Brisbane Lions,0,24,66,19.62799530941993,-24
Darcy Parish,Essendon,0,23,81,19.369058832060546,-23
Sam Walsh,Carlton,0,23,92,19.749489909037948,-23
Rory Laird,Adelaide,0,22,74,18.508001717040315,-22
Tom Mitchell,Hawthorn,0,22,61,19.31663807678342,-22
Christian Petracca,Melbourne,0,21,86,26.666832089424133,-21
Cameron Guthrie,Geelong,0,20,55,17.6925463572843,-20
Jack Macrae,Western Bulldogs,0,20,60,21.619909089058638,-20
Dayne Zorko,Brisbane Lions,0,17,62,16.955185292754322,-17
Dustin Martin,Richmond,0,15,42,12.032991586718708,-15
Hugh McCluggage,Brisbane Lions,0,15,66,12.90537564526312,-15
Max Gawn,Melbourne,0,15,63,16.18059817655012,-15
David Mundy,Fremantle,0,14,69,12.972741706296802,-14
Josh Kelly,Greater Western Sydney,0,14,55,11.831146531039849,-14
Taylor Adams,Collingwood,0,14,30,10.079814178869128,-14
Ben Cunnington,North Melbourne,0,13,46,10.157484319177456,-13
Callum Mills,Sydney,0,13,42,11.823212483897805,-13
Dom Sheed,West Coast,0,13,35,11.665227292338386,-13
Luke Parker,Sydney,0,13,52,13.096754876285559,-13
Travis Boak,Port Adelaide,0,13,50,11.97179950370628,-13
Andrew Brayshaw,Fremantle,0,12,35,10.00501439999789,-12
Chad Wingard,Hawthorn,0,11,38,8.879817482607905,-11
Karl Amon,Port Adelaide,0,11,44,8.288953713607043,-11
Patrick Dangerfield,Geelong,0,11,36,9.328378943842836,-11
Jack Crisp,Collingwood,0,10,36,9.929876412905287,-10
Jack Riewoldt,Richmond,0,10,30,8.212630172318313,-10
Tim Taranto,Greater Western Sydney,0,10,46,10.940306577365845,-10
Isaac Heeney,Sydney,0,9,41,8.136676853580866,-9
Jaeger O'Meara,Hawthorn,0,9,41,7.928851974662393,-9
Joel Selwood,Geelong,0,9,30,10.016927905380726,-9
Jy Simpkin,North Melbourne,0,9,33,8.694794722599909,-9
Scott Pendlebury,Collingwood,0,9,17,7.364423586055636,-9
Taylor Walker,Adelaide,0,9,38,8.265639029443264,-9
Tom McDonald,Melbourne,0,9,39,7.227200394263491,-9
Andrew Gaff,West Coast,0,8,23,5.67836790997535,-8
Ben Keays,Adelaide,0,8,31,8.478778506163508,-8
Callan Ward,Greater Western Sydney,0,8,33,7.291172627534252,-8
Charlie Dixon,Port Adelaide,0,8,30,5.6815307507058606,-8
Jake Stringer,Essendon,0,8,45,9.486552927293815,-8
Lance Franklin,Sydney,0,8,32,7.689726989599876,-8
Luke Dunstan,St Kilda,0,8,31,7.302678055712022,-8
Mitch Duncan,Geelong,0,8,30,7.540765423327684,-8
Nat Fyfe,Fremantle,0,8,28,7.9151647666003555,-8
Sean Darcy,Fremantle,0,8,46,8.34930597199127,-8
Toby Greene,Greater Western Sydney,0,8,41,8.00707362871617,-8
Aaron Hall,North Melbourne,0,7,31,7.978117826220114,-7
Brodie Grundy,Collingwood,0,7,27,7.410296380810905,-7
Christian Salem,Melbourne,0,7,42,7.509313091635704,-7
Jacob Hopper,Greater Western Sydney,0,7,51,9.433712365105748,-7
Tom Liberatore,Western Bulldogs,0,7,40,8.275705189618748,-7
Aliir Aliir,Port Adelaide,0,6,34,4.53455529268831,-6
Bailey Smith,Western Bulldogs,0,6,26,8.011502900277264,-6
Bayley Fritsch,Melbourne,0,6,20,6.63413535268046,-6
Harry McKay,Carlton,0,6,28,7.310451005065261,-6
Jack Darling,West Coast,0,6,23,5.026977192188497,-6
Jacob Weitering,Carlton,0,6,39,4.8796131167327985,-6
Jeremy Cameron,Geelong,0,6,23,6.289414581144229,-6
Jordan Dawson,Sydney,0,6,25,6.374845494166948,-6
