player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Lachie Neale,Brisbane Lions,31,28,93,25.465284613892436,3
Travis Boak,Port Adelaide,21,22,77,17.285714408848435,-1
Christian Petracca,Melbourne,20,20,78,14.801207108423114,0
Jack Steele,St Kilda,20,19,72,13.432910549076041,1
Jack Macrae,Western Bulldogs,15,18,46,15.25675192847848,-3
Clayton Oliver,Melbourne,14,17,34,14.652639206498861,-3
Scott Pendlebury,Collingwood,13,17,43,10.607673902064562,-4
Patrick Dangerfield,Geelong,15,16,44,11.706853381590918,-1
Marcus Bontempelli,Western Bulldogs,10,16,59,14.707761977799237,-6
Zach Merrett,Essendon,13,15,55,12.020639032125473,-2
Nat Fyfe,Fremantle,10,14,39,10.479767047800124,-4
Tom Rockliff,Port Adelaide,10,14,25,9.63676075451076,-4
Luke Parker,Sydney,15,13,44,11.10103223612532,2
Cameron Guthrie,Geelong,14,13,48,11.767097672913224,1
Taylor Adams,Collingwood,11,13,60,10.764156865887344,-2
Matt Crouch,Adelaide,3,13,24,9.437431189930066,-10
Dustin Martin,Richmond,15,12,42,8.584976911079139,3
Ollie Wines,Port Adelaide,10,11,43,9.202983143855818,-1
Sam Menegola,Geelong,5,11,41,9.858455841516843,-6
Patrick Cripps,Carlton,10,10,18,6.791602234821767,0
Andrew Brayshaw,Fremantle,9,10,34,5.619231745135039,-1
Michael Walters,Fremantle,8,10,34,6.897018089424819,-2
Rowan Marshall,St Kilda,8,10,23,4.073065173812211,-2
Dylan Shiel,Essendon,6,10,24,7.065717983525246,-4
Nic Naitanui,West Coast,5,10,56,6.48939172225073,-5
Lachie Whitfield,Greater Western Sydney,4,10,40,7.919771935557947,-6
Toby Greene,Greater Western Sydney,12,9,34,7.951710150809959,3
Tom Hawkins,Geelong,11,9,35,8.803522373404121,2
Matt Rowell,Gold Coast,9,9,30,6.2987185071688145,0
David Mundy,Fremantle,3,9,36,5.716374522307888,-6
Jed Anderson,North Melbourne,3,9,29,6.827356135472655,-6
Liam Ryan,West Coast,1,9,41,4.9029035990533885,-8
Tim Kelly,West Coast,11,8,34,7.279552576917922,3
Charlie Dixon,Port Adelaide,9,8,36,5.918883474078029,1
Jarryd Lyons,Brisbane Lions,9,8,39,9.570663566468284,1
Zak Jones,St Kilda,7,8,37,5.066179885761812,-1
Adam Treloar,Collingwood,4,8,24,4.837794846855104,-4
Dayne Zorko,Brisbane Lions,0,8,30,6.38329661032185,-8
Max Gawn,Melbourne,13,7,30,7.276533234864473,6
Tom Mitchell,Hawthorn,10,7,23,5.133748729946092,3
Josh Kelly,Greater Western Sydney,8,7,33,6.596600764198229,1
Andrew McGrath,Essendon,7,7,37,6.165814025327563,0
Chad Wingard,Hawthorn,6,7,29,5.118685895809904,-1
Lachie Hunter,Western Bulldogs,6,7,20,5.431375595740974,-1
Todd Goldstein,North Melbourne,5,7,32,3.8434432114299852,-2
Trent Cotchin,Richmond,5,7,26,3.4081080885371193,-2
Rory Laird,Adelaide,4,7,33,5.707913721213117,-3
Josh P. Kennedy,Sydney,0,7,19,4.88396717607975,-7
Hugh Greenwood,Gold Coast,11,6,21,4.6550421779975295,5
Shai Bolton,Richmond,9,6,32,3.6456611432367936,3
Dan Butler,St Kilda,8,6,25,3.301881250576116,2
Brodie Grundy,Collingwood,6,6,22,5.081942368327873,0
Ed Curnow,Carlton,5,6,18,2.7778158935543615,-1
