kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
4,3,4,8,7,88,0,0,0,5,3,0,1,2,3,1,7,2,1,0,7,0,0,97,49,65,0,1,1,20,1,8,0,2,5,0,0,10,4,0,2,0,0,3,0,11,11.5,0,1,0,5,33,10,9,64,0,0,0,0,0.008791208791208791,0.017857142857142856,0.013157894736842105,0.010540184453227932,0,0,0.03968253968253968,0,0.01282051282051282,0.023026315789473683,0.0045351473922902496,0.058823529411764705,0,0,0.00684931506849315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003312419168651104,Liam Jones,0,15408,1,Carlton,2019,21,0
5,1,4,9,6,67,0,0,0,4,2,1,1,2,1,1,5,3,1,0,7,0,0,80,40,51,0,1,0,169,1,6,0,0,4,0,0,17,3,0,3,0,0,1,0,17,8,0,0,0,6,33,13,14,97,1,1,0,0,0.01098901098901099,0.005952380952380952,0.013157894736842105,0.011857707509881422,0,0,0.031746031746031744,0.009345794392523364,0.01282051282051282,0.01644736842105263,0.006802721088435374,0.058823529411764705,0,0,0.00684931506849315,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015267621725797653,Dylan Grimes,0,15408,1,Richmond,2019,41,0
13,12,12,25,18,72,0,1,0,3,1,3,2,4,1,0,7,18,0,2,1,0,1,82,113,98,0,2,8,303,6,0,2,0,0,0,0,1,8,4,6,0,0,0,0,7,3.9,0,2,1,0,33,10,9,64,0,0,0,0,0.02857142857142857,0.07142857142857142,0.039473684210526314,0.03293807641633729,0,0.058823529411764705,0.023809523809523808,0.028037383177570093,0.02564102564102564,0.023026315789473683,0.04081632653061224,0,0.10526315789473684,0.058823529411764705,0.0410958904109589,0.02,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.040153443813323975,Ed Curnow,0,15408,1,Carlton,2019,8,0
10,1,10,20,14,70,0,0,0,7,0,5,4,2,3,0,9,11,0,0,1,0,1,78,80,82,1,3,7,342,3,3,0,0,0,0,0,13,7,2,6,0,0,0,0,26,14.5,0,1,0,0,33,13,14,97,0,1,0,0,0.02197802197802198,0.005952380952380952,0.03289473684210526,0.026350461133069828,0,0,0.05555555555555555,0.04672897196261682,0.05128205128205128,0.029605263157894735,0.024943310657596373,0,0,0.058823529411764705,0.02054794520547945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.004945793654769659,Dion Prestia,0,15408,1,Richmond,2019,20,0
9,2,6,15,14,93,1,1,0,1,2,3,1,1,0,0,4,11,0,0,2,0,0,85,60,63,0,1,4,313,3,1,0,0,0,0,0,2,8,0,2,0,0,0,0,18,11.8,0,0,2,0,33,13,14,97,0,0,0,0,0.01978021978021978,0.011904761904761904,0.019736842105263157,0.019762845849802372,0.043478260869565216,0.058823529411764705,0.007936507936507936,0.028037383177570093,0.01282051282051282,0.013157894736842105,0.024943310657596373,0,0,0,0.02054794520547945,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0012253570603206754,Maverick Weller,0,15408,1,Richmond,2019,24,0
4,1,3,7,6,86,3,1,0,2,0,0,0,3,2,1,5,2,1,1,1,0,0,78,47,58,0,0,5,95,0,0,0,0,0,8,1,3,3,1,2,0,0,0,0,8,9,0,0,4,1,33,13,14,97,0,0,0,0,0.008791208791208791,0.005952380952380952,0.009868421052631578,0.00922266139657444,0.13043478260869565,0.058823529411764705,0.015873015873015872,0,0,0.01644736842105263,0.0045351473922902496,0.058823529411764705,0.05263157894736842,0,0,0.08,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0064298659563064575,Tom J. Lynch,0,15408,1,Richmond,2019,19,0
4,2,1,5,4,80,1,0,0,1,0,0,0,1,1,1,1,3,0,1,0,0,0,72,28,26,0,0,2,74,2,1,1,0,0,2,0,0,3,0,0,0,0,0,1,5,0.9,0,1,2,0,33,10,9,64,0,0,0,0,0.008791208791208791,0.011904761904761904,0.003289473684210526,0.006587615283267457,0.043478260869565216,0,0.007936507936507936,0,0,0.003289473684210526,0.006802721088435374,0,0.05263157894736842,0,0.0136986301369863,0.04,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-4.280544235371053e-4,Alex Fasolo,0,15408,1,Carlton,2019,28,0
5,3,4,9,6,67,0,0,27,8,0,2,3,4,1,3,3,7,1,0,4,0,0,79,83,98,2,1,2,163,0,2,2,0,1,1,0,6,3,0,0,11,40.9,2,0,16,9.7,66,1,0,2,33,10,9,64,0,0,0,0,0.01098901098901099,0.017857142857142856,0.013157894736842105,0.011857707509881422,0,0,0.06349206349206349,0.018691588785046728,0.038461538461538464,0.009868421052631578,0.015873015873015872,0.058823529411764705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.010399850085377693,Andrew Phillips,0,15408,1,Carlton,2019,40,0
11,6,2,13,13,100,0,0,0,3,2,0,1,1,3,1,4,8,0,0,11,0,0,91,67,96,0,1,2,169,1,6,0,1,3,0,0,10,11,0,0,0,0,2,0,11,11.3,0,0,0,8,33,10,9,64,0,0,0,0,0.024175824175824177,0.03571428571428571,0.006578947368421052,0.017127799736495388,0,0,0.023809523809523808,0,0.01282051282051282,0.013157894736842105,0.018140589569160998,0,0,0,0.00684931506849315,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025408307556062937,Lachie Plowman,0,15408,1,Carlton,2019,22,0
10,5,4,14,14,100,0,0,0,1,6,0,0,1,0,0,3,7,0,0,3,0,0,89,53,67,0,0,3,254,0,9,0,0,1,0,0,7,10,0,3,0,0,3,0,8,11.2,0,3,0,3,33,13,14,97,0,0,0,0,0.02197802197802198,0.02976190476190476,0.013157894736842105,0.01844532279314888,0,0,0.007936507936507936,0,0,0.009868421052631578,0.015873015873015872,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007798356469720602,Nick Vlastuin,0,15408,1,Richmond,2019,18,0
