kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
15,5,7,22,15,68,0,1,0,1,2,3,0,3,0,0,3,18,0,0,0,1,0,83,79,75,0,0,7,484,4,3,0,1,1,0,0,6,8,0,3,0,0,0,0,14,9.3,0,1,1,0,14,14,11,80,0,0,3,0,164,0.04120879120879121,0.0273224043715847,0.029661016949152543,0.03666666666666667,0,0.045454545454545456,0.015151515151515152,0.03529411764705882,0,0.016216216216216217,0.04488778054862843,0,0,0,0.044444444444444446,0.022222222222222223,0,1,0,0,0,0,0,0,1,0.4118588864803314,Bradley Hill,1,15841,16,St Kilda,2020,7,0
3,1,7,10,7,70,0,0,22,3,0,2,3,2,1,1,6,4,0,0,1,1,0,83,58,80,3,0,4,78,1,0,0,1,1,0,0,7,3,0,3,6,37.9,0,0,9,8.2,58,2,0,1,16,7,9,61,0,0,0,0,106,0.008695652173913044,0.006896551724137931,0.024734982332155476,0.01592356687898089,0,0,0.033707865168539325,0.02531645569620253,0.04411764705882353,0.02531645569620253,0.01015228426395939,0,0,0,0.008064516129032258,0,0,1,0,0,0,0,0,1,0,0.021315742284059525,Scott Lycett,0,15865,18,Port Adelaide,2020,22,0
4,3,6,10,8,80,2,0,4,1,0,0,1,2,1,1,5,5,2,2,2,0,0,77,51,79,0,1,3,110,2,1,0,0,0,1,1,5,4,0,2,0,33.3,0,1,9,11.4,12,1,2,1,37,4,8,52,0,0,0,0,125,0.011594202898550725,0.02054794520547945,0.02654867256637168,0.017513134851138354,0.09523809523809523,0,0.007692307692307693,0,0.01639344262295082,0.021739130434782608,0.01440922190201729,0.10526315789473684,0.1111111111111111,0,0.018691588785046728,0.04878048780487805,1,0,0,0,0,1,0,0,0,-0.011661679483950138,Sam Day,0,15722,5,Gold Coast,2020,39,0
15,5,4,19,10,53,0,1,0,3,3,6,2,3,0,2,4,16,0,1,1,0,0,90,75,82,0,2,4,503,4,2,0,0,0,0,0,7,7,1,3,0,0,1,1,12,6.8,4,1,2,1,3,8,6,44,0,0,0,0,143,0.04155124653739612,0.03048780487804878,0.018018018018018018,0.032590051457975985,0,0.09090909090909091,0.030303030303030304,0.07142857142857142,0.03636363636363636,0.017937219730941704,0.04597701149425287,0,0.06666666666666667,0,0.037383177570093455,0.06666666666666667,1,0,0,0,0,0,0,0,1,0.14765086770057678,Adam Tomlinson,0,15708,4,Melbourne,2020,18,0
5,3,11,16,13,81,0,0,0,8,1,0,1,1,0,0,8,8,0,0,1,0,0,75,78,94,1,0,1,6,3,2,1,1,1,0,0,8,4,1,8,0,0,0,0,18,9.7,0,0,0,0,26,7,4,31,0,0,0,0,34,0.013404825737265416,0.016304347826086956,0.05365853658536585,0.02768166089965398,0,0,0.08695652173913043,0,0.020833333333333332,0.0365296803652968,0.0223463687150838,0,0,0,0.02459016393442623,0,1,0,0,0,0,1,0,0,0,0.44068506360054016,Tom Atkins,0,15849,17,Geelong,2020,5,0
3,2,5,8,6,75,2,0,24,5,1,1,1,1,0,1,6,2,2,1,0,0,0,86,78,99,1,0,4,74,0,0,2,0,0,3,0,2,3,2,4,5,47.1,0,0,14,13.3,51,0,2,0,1,11,7,53,0,0,0,0,49,0.008875739644970414,0.012578616352201259,0.02127659574468085,0.013961605584642234,0.13333333333333333,0,0.050505050505050504,0.012195121951219513,0.017241379310344827,0.02608695652173913,0.006006006006006006,0.07407407407407407,0.0625,0,0,0.05714285714285714,0,1,0,0,0,0,0,1,0,0.041050828993320465,Oscar McInerney,0,15810,12,Brisbane Lions,2020,20,0
5,3,9,14,8,57,1,0,0,3,0,1,3,6,1,0,11,5,0,1,1,0,0,91,61,66,2,1,2,144,4,1,0,0,0,1,0,3,3,2,8,0,0,0,0,8,9.2,0,0,1,0,17,8,12,80,0,0,0,0,173,0.014705882352941176,0.02112676056338028,0.04090909090909091,0.025,0.047619047619047616,0,0.031578947368421054,0.012048192771084338,0.057692307692307696,0.04782608695652174,0.015527950310559006,0,0.0625,0,0.03278688524590164,0.02564102564102564,0,1,0,1,0,0,0,0,0,0.14247305691242218,Jake Melksham,0,15746,6,Melbourne,2020,12,0
5,2,11,16,14,88,0,0,0,5,0,4,2,5,1,5,8,9,1,0,0,0,0,83,49,75,1,1,5,106,2,2,1,0,0,4,3,8,4,0,5,0,0,0,0,12,7.4,0,0,0,0,7,10,9,64,0,0,0,1,109,0.014204545454545454,0.016,0.05314009661835749,0.028622540250447227,0,0,0.03875968992248062,0.042105263157894736,0.028985507246376812,0.0326530612244898,0.02903225806451613,0.08333333333333333,0,0,0.014598540145985401,0,0,1,1,0,0,0,0,0,0,0.07593588531017303,Patrick Cripps,0,15762,8,Carlton,2020,19,0
4,0,1,5,4,80,0,0,10,2,0,0,2,2,3,2,5,0,0,0,2,0,1,53,29,55,0,2,1,120,0,1,0,0,0,2,0,3,3,0,1,4,40,0,0,5,4.1,25,0,0,2,7,11,7,53,0,0,0,0,15,0.01078167115902965,0,0.0044444444444444444,0.008389261744966443,0,0,0.019230769230769232,0,0.03389830508474576,0.017985611510791366,0,0,0,0.1,0,0,1,0,0,1,0,0,0,0,0,-0.016864264383912086,Keegan Brooksby,0,15763,8,Hawthorn,2020,40,0
12,3,10,22,14,64,0,0,0,14,2,2,4,3,1,0,9,12,0,0,1,0,0,81,122,133,2,2,2,321,4,0,0,0,1,0,0,17,8,2,6,0,0,0,0,33,11.2,0,0,0,1,28,7,5,37,0,0,3,0,121,0.0375,0.024390243902439025,0.03690036900369004,0.03722504230118443,0,0,0.09271523178807947,0.02857142857142857,0.05970149253731343,0.0371900826446281,0.034782608695652174,0,0,0,0.0380952380952381,0,1,0,1,0,0,0,0,0,0,1.1531009674072266,Matt Crouch,0,15822,13,Adelaide,2020,4,0
3,2,3,6,3,50,0,2,0,4,0,1,2,4,1,3,5,3,0,0,1,0,0,70,31,35,0,2,3,130,2,0,1,0,0,0,0,6,1,0,3,0,0,0,0,17,-0.2,0,0,2,0,12,8,9,62,0,0,0,0,28,0.009259259259259259,0.015748031496062992,0.015544041450777202,0.01160541586073501,0,0.1111111111111111,0.03278688524590164,0.01282051282051282,0.030303030303030304,0.022026431718061675,0.01090909090909091,0,0,0,0.02247191011235955,0.05405405405405406,0,1,0,0,0,1,0,0,0,-0.005745438393205404,Zac Langdon,0,15761,8,Greater Western Sydney,2020,37,0
5,0,1,6,2,33,0,0,0,2,0,3,0,0,0,0,2,3,0,0,0,0,1,82,25,33,0,0,1,125,2,0,2,0,0,5,1,0,2,0,2,0,0,0,0,8,5.5,0,0,0,0,12,1,10,61,0,0,0,0,144,0.013850415512465374,0,0.003472222222222222,0.009244992295839754,0,0,0.020202020202020204,0.03896103896103896,0,0.007518796992481203,0.007874015748031496,0,0,0.07142857142857142,0.015037593984962405,0,0,1,0,1,0,0,0,0,0,7.523724343627691e-4,Brandon Matera,0,15777,9,Fremantle,2020,32,0
10,8,5,15,12,80,0,0,0,2,2,1,0,2,1,0,5,11,0,0,2,0,0,86,73,62,0,0,3,86,2,5,0,0,2,0,0,5,8,0,4,0,0,1,0,7,5.5,0,1,0,2,44,7,5,37,0,0,0,0,20,0.026385224274406333,0.04081632653061224,0.018315018315018316,0.023006134969325152,0,0,0.02040816326530612,0.013513513513513514,0,0.02262443438914027,0.025522041763341066,0,0,0,0.016666666666666666,0,1,0,0,0,0,0,0,0,0,0.009486845694482327,Nick Coffield,0,15661,3,St Kilda,2020,27,0
4,1,2,6,4,67,0,0,0,1,0,1,1,2,1,1,2,3,0,0,0,0,0,77,21,20,1,0,2,58,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,10,1.7,0,0,0,0,2,11,11,77,0,0,0,0,184,0.011834319526627219,0.007462686567164179,0.0106951871657754,0.011428571428571429,0,0,0.009615384615384616,0.0125,0.016129032258064516,0.008888888888888889,0.010169491525423728,0,0,0,0.00847457627118644,0,1,0,1,0,0,0,0,0,0,0.011303840205073357,Jack Steven,0,15663,3,Geelong,2020,25,0
8,5,3,11,10,91,2,0,0,1,0,2,0,0,1,0,4,9,0,2,1,0,1,79,62,92,0,0,4,276,2,1,0,0,0,0,0,1,7,2,3,0,0,0,1,6,11.7,0,0,2,0,12,1,10,61,0,0,0,0,16,0.0221606648199446,0.038461538461538464,0.010416666666666666,0.01694915254237288,0.11764705882352941,0,0.010101010101010102,0.025974025974025976,0,0.015037593984962405,0.023622047244094488,0,0.18181818181818182,0.07142857142857142,0.015037593984962405,0.06896551724137931,0,1,0,1,0,0,0,0,0,0.018971526995301247,Lachie Schultz,0,15777,9,Fremantle,2020,21,0
7,2,6,13,10,77,1,0,0,4,1,3,2,4,1,3,7,8,0,0,0,1,0,77,53,83,0,2,2,212,1,2,0,0,0,1,0,4,5,2,6,0,0,0,0,11,8.9,0,0,1,0,27,8,8,56,0,0,0,0,11,0.02005730659025788,0.01282051282051282,0.027149321266968326,0.02280701754385965,0.08333333333333333,0,0.04938271604938271,0.037037037037037035,0.03508771929824561,0.031818181818181815,0.022922636103151862,0,0,0,0.010101010101010102,0.03571428571428571,0,1,0,0,0,1,0,0,0,-0.003494435688480735,Jake Aarts,1,15836,15,Richmond,2020,36,0
14,5,5,19,14,74,0,1,0,1,1,2,0,2,1,1,7,12,0,0,1,1,0,86,70,108,0,0,7,331,5,6,0,1,1,1,0,5,10,1,6,0,0,0,1,10,7.5,0,2,1,1,41,17,4,41,0,0,0,0,54,0.03553299492385787,0.02512562814070352,0.02512562814070352,0.03204047217537943,0,0.043478260869565216,0.0136986301369863,0.023809523809523808,0,0.035,0.031496062992125984,0,0,0,0.043859649122807015,0.023809523809523808,1,0,0,0,0,0,0,0,0,0.08362630009651184,Callum Ah Chee,0,15780,10,Brisbane Lions,2020,13,0
8,2,6,14,8,57,0,0,0,1,0,3,3,4,1,2,8,6,0,0,2,0,0,69,41,59,1,2,3,142,5,3,0,0,0,1,0,4,4,1,7,0,0,0,0,16,6.2,0,0,0,2,32,9,5,39,0,0,0,0,98,0.022222222222222223,0.013333333333333334,0.023529411764705882,0.022764227642276424,0,0,0.01639344262295082,0.038461538461538464,0.07692307692307693,0.034934497816593885,0.016172506738544475,0,0,0,0.03546099290780142,0,1,0,1,0,0,0,0,0,0,0.010358151979744434,Kane Lambert,0,15658,3,Richmond,2020,24,0
4,2,5,9,6,67,1,0,24,2,0,0,2,2,0,2,6,1,1,1,2,0,0,68,60,85,1,1,5,0,2,3,0,0,0,0,0,3,2,1,4,8,53.3,1,0,4,10.9,45,3,1,2,21,5,8,53,0,0,0,0,32,0.012084592145015106,0.012269938650306749,0.02336448598130841,0.01651376146788991,0.08333333333333333,0,0.01904761904761905,0,0.03773584905660377,0.02631578947368421,0.0031545741324921135,0.045454545454545456,0.06666666666666667,0,0.015748031496062992,0.03225806451612903,0,1,0,0,0,0,0,1,0,-0.0021341077517718077,Ivan Soldo,0,15816,12,Richmond,2020,32,0
11,4,5,16,10,63,0,0,0,3,1,3,0,3,0,0,3,13,0,0,2,2,0,85,67,67,0,0,1,319,6,3,0,0,0,0,0,14,5,0,2,0,0,1,0,20,6.5,0,0,1,1,44,10,6,46,0,0,0,0,198,0.028205128205128206,0.03225806451612903,0.021367521367521368,0.02564102564102564,0,0,0.03225806451612903,0.031578947368421054,0,0.011904761904761904,0.036414565826330535,0,0,0,0.04477611940298507,0.021739130434782608,1,0,0,0,1,0,0,0,0,-0.027251288294792175,Lewis Jetta,0,15652,2,West Coast,2020,38,0
7,3,16,23,22,96,0,0,0,3,1,2,5,0,1,0,8,14,0,0,0,0,1,86,75,113,1,4,3,204,2,3,0,0,1,0,0,14,6,0,7,0,0,0,0,27,16.3,0,1,0,0,35,3,5,33,0,0,2,0,75,0.01928374655647383,0.016853932584269662,0.06611570247933884,0.03801652892561983,0,0,0.04,0.02531645569620253,0.09259259259259259,0.04081632653061224,0.034912718204488775,0,0,0.09090909090909091,0.01834862385321101,0,1,0,1,0,0,0,0,0,0,0.36525607109069824,Andrew McGrath,0,15814,12,Essendon,2020,10,0
7,6,5,12,10,83,2,0,0,1,0,4,1,3,0,1,2,10,0,1,2,0,0,84,62,69,0,1,3,219,5,0,1,0,0,2,0,2,6,0,2,0,0,0,2,11,7.8,0,0,2,2,13,4,10,64,0,0,0,0,45,0.02040816326530612,0.03680981595092025,0.023923444976076555,0.021739130434782608,0.1111111111111111,0,0.01020408163265306,0.04938271604938271,0.01694915254237288,0.008695652173913044,0.031746031746031744,0,0.058823529411764705,0,0.0423728813559322,0.06896551724137931,0,1,0,1,0,0,0,0,0,0.02113961987197399,Ben Ainsworth,0,15706,4,Gold Coast,2020,23,0
4,2,2,6,4,67,0,0,0,0,1,0,0,1,1,0,2,4,0,0,4,0,0,100,23,40,0,0,1,117,1,2,0,1,1,1,1,4,2,0,1,0,0,1,0,5,4.7,1,0,0,3,28,7,10,67,0,0,0,0,34,0.012048192771084338,0.015037593984962405,0.008368200836820083,0.010507880910683012,0,0,0,0,0,0.008547008547008548,0.0125,0,0,0,0.008849557522123894,0,0,1,0,0,0,0,0,0,0,0.008691525086760521,Alex Keath,0,15701,4,Western Bulldogs,2020,25,0
11,7,7,18,14,78,0,1,0,1,2,4,1,1,0,0,4,13,1,1,0,0,1,84,73,90,0,1,3,292,5,3,0,0,0,0,0,4,8,2,2,0,0,2,0,10,5.5,0,0,1,0,16,12,10,72,0,0,0,0,45,0.02997275204359673,0.04666666666666667,0.030434782608695653,0.03015075376884422,0,0.058823529411764705,0.008547008547008548,0.045454545454545456,0.016129032258064516,0.01702127659574468,0.03735632183908046,0.05,0.05,0.06666666666666667,0.045871559633027525,0.02127659574468085,0,1,0,0,0,0,0,0,1,0.0935421884059906,Ben Keays,0,15853,17,Adelaide,2020,14,0
4,0,6,10,7,70,0,0,0,1,0,1,3,2,0,0,7,4,0,0,1,0,0,68,28,42,2,1,2,115,4,2,0,0,0,0,0,8,1,0,6,0,0,0,0,16,7,0,0,0,0,30,2,5,32,0,0,0,0,4,0.01098901098901099,0,0.02510460251046025,0.01658374792703151,0,0,0.01098901098901099,0.014925373134328358,0.058823529411764705,0.029787234042553193,0.010638297872340425,0,0,0,0.034482758620689655,0,1,0,1,0,0,0,0,0,0,-0.01160670630633831,Caleb Serong,0,15758,7,Fremantle,2020,35,0
4,2,10,14,11,79,0,0,0,2,0,3,2,0,0,0,3,10,0,0,2,0,0,74,46,71,1,1,5,81,0,0,0,0,0,0,0,8,3,1,3,0,0,0,0,18,7.5,0,1,0,0,59,9,14,93,1,1,0,0,172,0.011494252873563218,0.013245033112582781,0.04132231404958678,0.023728813559322035,0,0,0.020618556701030927,0.03614457831325301,0.03225806451612903,0.013100436681222707,0.028011204481792718,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.06492819637060165,Cameron Guthrie,0,15804,11,Geelong,2020,14,0
12,8,13,25,20,80,0,0,0,2,2,1,3,1,0,0,4,21,0,0,1,0,0,92,94,105,0,3,2,216,2,1,0,0,1,0,0,9,7,0,4,0,0,0,0,16,6.8,0,1,0,0,12,7,7,49,0,0,0,0,145,0.03380281690140845,0.043478260869565216,0.05485232067510549,0.04222972972972973,0,0,0.022727272727272728,0.012987012987012988,0.04838709677419355,0.018604651162790697,0.05370843989769821,0,0,0,0.019230769230769232,0,1,0,0,0,0,0,0,0,1,1.0167638063430786,Lachie Whitfield,0,15824,13,Greater Western Sydney,2020,4,0
9,2,9,18,11,61,0,1,0,3,1,4,3,3,0,2,9,9,2,0,0,0,0,86,58,88,2,1,2,214,4,3,0,0,0,2,1,2,3,2,7,0,0,1,0,18,8,1,0,1,0,32,12,6,48,1,1,0,0,256,0.02586206896551724,0.02197802197802198,0.03260869565217391,0.028846153846153848,0,0.09090909090909091,0.02054794520547945,0.05405405405405406,0.04225352112676056,0.029900332225913623,0.030612244897959183,0.18181818181818182,0,0,0.027972027972027972,0.03333333333333333,0,1,1,0,0,0,0,0,0,0.0860164612531662,Patrick Dangerfield,0,15768,8,Geelong,2020,16,0
3,1,2,5,2,40,0,0,2,0,0,3,1,0,0,0,1,3,0,0,5,0,0,73,18,36,0,1,1,147,1,0,0,0,0,6,2,2,1,0,0,0,40,0,1,6,3.3,5,0,0,5,14,11,7,53,0,0,0,0,45,0.00819672131147541,0.009174311926605505,0.00784313725490196,0.008051529790660225,0,0,0,0.03333333333333333,0.01694915254237288,0.003968253968253968,0.008955223880597015,0,0,0,0.007575757575757576,0,1,0,0,0,0,1,0,0,0,-0.006464577279984951,Tom Campbell,0,15747,6,North Melbourne,2020,37,0
12,2,4,16,10,63,2,0,0,3,0,2,5,3,1,1,8,8,0,0,1,0,0,86,72,81,2,3,6,256,4,0,1,0,0,0,0,2,6,1,5,0,0,0,0,8,17.1,0,1,2,0,20,8,10,68,0,0,0,0,64,0.0335195530726257,0.013071895424836602,0.019230769230769232,0.028268551236749116,0.08695652173913043,0,0.0410958904109589,0.022222222222222223,0.0684931506849315,0.03418803418803419,0.023952095808383235,0,0,0,0.03669724770642202,0.043478260869565216,1,0,0,1,0,0,0,0,0,0.014133057557046413,Tim Taranto,0,15753,7,Greater Western Sydney,2020,20,0
6,1,5,11,7,64,0,0,0,0,4,0,0,2,0,0,5,4,0,0,3,0,0,90,31,45,0,0,1,180,2,7,0,2,7,0,0,6,4,0,5,0,0,0,0,6,4.3,0,1,0,3,32,7,7,49,0,0,0,0,236,0.016713091922005572,0.006711409395973154,0.01838235294117647,0.017432646592709985,0,0,0,0,0,0.019305019305019305,0.010526315789473684,0,0,0,0.014084507042253521,0,1,0,0,0,0,0,0,0,0,-0.008787768892943859,James Frawley,0,15815,12,Hawthorn,2020,35,0
8,3,10,18,12,67,0,2,0,2,1,3,2,1,0,0,6,13,0,1,0,0,0,71,63,71,1,1,3,243,3,3,0,0,0,0,0,9,3,0,5,0,0,1,0,16,10.2,0,2,2,0,27,9,7,51,0,0,0,0,81,0.020460358056265986,0.01507537688442211,0.040160642570281124,0.028125,0,0.15384615384615385,0.03125,0.0375,0.03773584905660377,0.02843601895734597,0.030732860520094562,0,0.0625,0,0.023255813953488372,0.05128205128205128,1,0,0,0,0,0,0,0,1,0.03115321509540081,Angus Brayshaw,0,15623,1,Melbourne,2020,19,0
6,5,4,10,8,80,0,0,0,0,0,1,0,3,0,1,4,7,1,0,1,0,0,88,38,45,0,0,2,186,3,2,0,0,0,1,0,6,6,1,2,0,0,0,0,17,6.1,0,0,0,0,16,8,4,32,0,0,0,0,183,0.01643835616438356,0.033783783783783786,0.013377926421404682,0.015060240963855422,0,0,0,0.014285714285714285,0,0.0163265306122449,0.01650943396226415,0.05555555555555555,0,0,0.023622047244094488,0,1,0,0,0,0,0,0,0,1,-0.00676251295953989,Tom Scully,0,15805,11,Hawthorn,2020,33,0
10,0,11,21,11,52,0,1,0,8,2,4,3,5,0,3,10,11,0,0,0,0,0,82,76,93,0,3,5,368,6,3,1,0,0,0,0,13,5,1,8,0,0,0,0,31,6.8,0,0,1,0,44,5,12,77,0,0,1,0,51,0.02857142857142857,0,0.03985507246376811,0.03354632587859425,0,0.09090909090909091,0.07920792079207921,0.04395604395604396,0.05263157894736842,0.040160642570281124,0.030470914127423823,0,0,0,0.04225352112676056,0.02857142857142857,0,1,1,0,0,0,0,0,0,0.05802147090435028,Jack Graham,0,15860,18,Richmond,2020,16,0
