kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
15,5,7,22,15,68,0,1,0,1,2,3,0,3,0,0,3,18,0,0,0,1,0,83,79,75,0,0,7,484,4,3,0,1,1,0,0,6,8,0,3,0,0,0,0,14,9.3,0,1,1,0,14,14,11,80,0,0,3,0,164,0.04120879120879121,0.0273224043715847,0.029661016949152543,0.03666666666666667,0,0.045454545454545456,0.015151515151515152,0.03529411764705882,0,0.016216216216216217,0.04488778054862843,0,0,0,0.044444444444444446,0.022222222222222223,0,1,0,0,0,0,0,0,1,0.8355046510696411,0.11469565331935883,0.03351213410496712,0.01628755033016205,0.2305825725197792,0,Bradley Hill,1,15841,16,St Kilda,2020,0
3,1,7,10,7,70,0,0,22,3,0,2,3,2,1,1,6,4,0,0,1,1,0,83,58,80,3,0,4,78,1,0,0,1,1,0,0,7,3,0,3,6,37.9,0,0,9,8.2,58,2,0,1,16,7,9,61,0,0,0,0,106,0.008695652173913044,0.006896551724137931,0.024734982332155476,0.01592356687898089,0,0,0.033707865168539325,0.02531645569620253,0.04411764705882353,0.02531645569620253,0.01015228426395939,0,0,0,0.008064516129032258,0,0,1,0,0,0,0,0,1,0,0.9993336796760559,4.7154378262348473e-4,6.293047772487625e-5,1.3184612907934934e-4,9.929431253112853e-4,0,Scott Lycett,0,15865,18,Port Adelaide,2020,0
4,3,6,10,8,80,2,0,4,1,0,0,1,2,1,1,5,5,2,2,2,0,0,77,51,79,0,1,3,110,2,1,0,0,0,1,1,5,4,0,2,0,33.3,0,1,9,11.4,12,1,2,1,37,4,8,52,0,0,0,0,125,0.011594202898550725,0.02054794520547945,0.02654867256637168,0.017513134851138354,0.09523809523809523,0,0.007692307692307693,0,0.01639344262295082,0.021739130434782608,0.01440922190201729,0.10526315789473684,0.1111111111111111,0,0.018691588785046728,0.04878048780487805,1,0,0,0,0,1,0,0,0,0.9991866946220398,6.01838284637779e-4,1.8319583614356816e-4,2.832235441019293e-5,0.001053197020155494,0,Sam Day,0,15722,5,Gold Coast,2020,0
15,5,4,19,10,53,0,1,0,3,3,6,2,3,0,2,4,16,0,1,1,0,0,90,75,82,0,2,4,503,4,2,0,0,0,0,0,7,7,1,3,0,0,1,1,12,6.8,4,1,2,1,3,8,6,44,0,0,0,0,143,0.04155124653739612,0.03048780487804878,0.018018018018018018,0.032590051457975985,0,0.09090909090909091,0.030303030303030304,0.07142857142857142,0.03636363636363636,0.017937219730941704,0.04597701149425287,0,0.06666666666666667,0,0.037383177570093455,0.06666666666666667,1,0,0,0,0,0,0,0,1,0.992683470249176,0.006638781167566776,6.333594210445881e-4,4.4381195039022714e-5,0.00803864359477302,0,Adam Tomlinson,0,15708,4,Melbourne,2020,0
5,3,11,16,13,81,0,0,0,8,1,0,1,1,0,0,8,8,0,0,1,0,0,75,78,94,1,0,1,6,3,2,1,1,1,0,0,8,4,1,8,0,0,0,0,18,9.7,0,0,0,0,26,7,4,31,0,0,0,0,34,0.013404825737265416,0.016304347826086956,0.05365853658536585,0.02768166089965398,0,0,0.08695652173913043,0,0.020833333333333332,0.0365296803652968,0.0223463687150838,0,0,0,0.02459016393442623,0,1,0,0,0,0,1,0,0,0,0.9948098659515381,0.0048821354284882545,2.0554341608658433e-4,1.0241131531074643e-4,0.0056004562065936625,0,Tom Atkins,0,15849,17,Geelong,2020,0
3,2,5,8,6,75,2,0,24,5,1,1,1,1,0,1,6,2,2,1,0,0,0,86,78,99,1,0,4,74,0,0,2,0,0,3,0,2,3,2,4,5,47.1,0,0,14,13.3,51,0,2,0,1,11,7,53,0,0,0,0,49,0.008875739644970414,0.012578616352201259,0.02127659574468085,0.013961605584642234,0.13333333333333333,0,0.050505050505050504,0.012195121951219513,0.017241379310344827,0.02608695652173913,0.006006006006006006,0.07407407407407407,0.0625,0,0,0.05714285714285714,0,1,0,0,0,0,0,1,0,0.9936867356300354,0.005336900241672993,7.638247916474938e-4,2.126013278029859e-4,0.007502353808376938,0,Oscar McInerney,0,15810,12,Brisbane Lions,2020,0
5,3,9,14,8,57,1,0,0,3,0,1,3,6,1,0,11,5,0,1,1,0,0,91,61,66,2,1,2,144,4,1,0,0,0,1,0,3,3,2,8,0,0,0,0,8,9.2,0,0,1,0,17,8,12,80,0,0,0,0,173,0.014705882352941176,0.02112676056338028,0.04090909090909091,0.025,0.047619047619047616,0,0.031578947368421054,0.012048192771084338,0.057692307692307696,0.04782608695652174,0.015527950310559006,0,0.0625,0,0.03278688524590164,0.02564102564102564,0,1,0,1,0,0,0,0,0,0.9991880059242249,3.2254858524538577e-4,2.8494090656749904e-4,2.0448111172299832e-4,0.0015058737335493788,0,Jake Melksham,0,15746,6,Melbourne,2020,0
5,2,11,16,14,88,0,0,0,5,0,4,2,5,1,5,8,9,1,0,0,0,0,83,49,75,1,1,5,106,2,2,1,0,0,4,3,8,4,0,5,0,0,0,0,12,7.4,0,0,0,0,7,10,9,64,0,0,0,1,109,0.014204545454545454,0.016,0.05314009661835749,0.028622540250447227,0,0,0.03875968992248062,0.042105263157894736,0.028985507246376812,0.0326530612244898,0.02903225806451613,0.08333333333333333,0,0,0.014598540145985401,0,0,1,1,0,0,0,0,0,0,0.9973888993263245,0.0018106458010151982,2.3373067961074412e-4,5.667692748829722e-4,0.003978414984885603,0,Patrick Cripps,0,15762,8,Carlton,2020,0
4,0,1,5,4,80,0,0,10,2,0,0,2,2,3,2,5,0,0,0,2,0,1,53,29,55,0,2,1,120,0,1,0,0,0,2,0,3,3,0,1,4,40,0,0,5,4.1,25,0,0,2,7,11,7,53,0,0,0,0,15,0.01078167115902965,0,0.0044444444444444444,0.008389261744966443,0,0,0.019230769230769232,0,0.03389830508474576,0.017985611510791366,0,0,0,0.1,0,0,1,0,0,1,0,0,0,0,0,0.9998177886009216,1.3704426237381995e-4,6.3354787016578484e-6,3.8903486711205915e-5,2.664256799107534e-4,0,Keegan Brooksby,0,15763,8,Hawthorn,2020,0
12,3,10,22,14,64,0,0,0,14,2,2,4,3,1,0,9,12,0,0,1,0,0,81,122,133,2,2,2,321,4,0,0,0,1,0,0,17,8,2,6,0,0,0,0,33,11.2,0,0,0,1,28,7,5,37,0,0,3,0,121,0.0375,0.024390243902439025,0.03690036900369004,0.03722504230118443,0,0,0.09271523178807947,0.02857142857142857,0.05970149253731343,0.0371900826446281,0.034782608695652174,0,0,0,0.0380952380952381,0,1,0,1,0,0,0,0,0,0,0.295633465051651,0.470873087644577,0.22744520008563995,0.006048257928341627,0.9439082616008818,1,Matt Crouch,0,15822,13,Adelaide,2020,1
