kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,prob_0,prob_1,prob_2,prob_3,expected_votes,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,predicted_votes
3,2,6,9,8,89,2,0,0,2,0,0,0,3,1,1,8,1,2,0,1,0,0,84,45,76,0,0,5,58,1,0,0,0,0,1,1,2,3,0,4,0,0,0,0,7,9.4,0,0,2,0,35,11,12,83,0,0,0,0,21,0.010526315789473684,0.018867924528301886,0.024096385542168676,0.016853932584269662,0.1111111111111111,0,0.02666666666666667,0,0,0.037914691943127965,0.003194888178913738,0.1111111111111111,0,0,0.01098901098901099,0.05714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.996921718120575,0.0025055473670363426,4.198409733362496e-4,1.5287859423551708e-4,0.003803865096415393,0,Darcy Fogarty,0,15834,15,Adelaide,2020,0
9,3,11,20,12,60,0,1,0,7,0,0,3,3,0,2,9,10,0,0,0,0,1,87,81,88,1,2,4,123,5,2,0,1,1,0,0,8,3,2,8,0,0,1,0,17,5.7,0,1,1,0,3,7,9,61,0,0,0,0,172,0.02727272727272727,0.02112676056338028,0.052132701421800945,0.036968576709796676,0,0.06666666666666667,0.07777777777777778,0,0.06521739130434782,0.04205607476635514,0.03125,0,0,0.08333333333333333,0.04424778761061947,0.02857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9861863851547241,0.008025456219911575,0.005243375897407532,5.44801470823586e-4,0.020146612427197397,0,Ed Curnow,0,15756,7,Carlton,2020,0
11,1,8,19,11,58,0,0,1,7,0,3,5,2,2,0,11,8,0,0,0,0,0,77,83,90,0,5,5,227,5,3,1,0,0,0,0,10,3,2,8,0,14.3,0,0,18,7.4,7,0,2,0,13,12,5,42,0,0,0,0,70,0.03492063492063492,0.009345794392523364,0.03125,0.03327495621716287,0,0,0.05263157894736842,0.04225352112676056,0.07462686567164178,0.03985507246376811,0.026490066225165563,0,0,0,0.04201680672268908,0.05714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9820312261581421,0.015805458649992943,0.0020631966181099415,1.0007469245465472e-4,0.02023207596357679,0,Josh Dunkley,0,15778,10,Western Bulldogs,2020,0
8,2,2,10,4,40,1,1,0,1,0,1,0,2,2,0,3,6,0,0,0,0,0,79,47,43,0,0,3,140,2,1,0,0,0,1,0,2,3,1,3,0,0,0,0,17,4.2,0,1,3,0,34,7,7,49,0,0,0,0,193,0.023952095808383235,0.012121212121212121,0.008438818565400843,0.017513134851138354,0.05263157894736842,0.14285714285714285,0.010752688172043012,0.01694915254237288,0,0.015228426395939087,0.01652892561983471,0,0,0,0.018518518518518517,0.09090909090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999403953552246,4.061371146235615e-5,1.7930145986611024e-5,1.10639916783839e-6,7.979320093909337e-5,0,Paul Puopolo,0,15741,5,Hawthorn,2020,0
7,4,5,12,5,42,0,0,0,4,1,2,0,3,0,0,7,5,1,1,0,0,0,85,59,59,0,0,0,193,7,1,1,0,0,0,0,3,3,1,6,0,0,0,1,16,3.1,0,0,1,0,8,6,6,42,0,0,0,0,1,0.02127659574468085,0.027586206896551724,0.019305019305019305,0.02040816326530612,0,0,0.03773584905660377,0.028985507246376812,0,0.030042918454935622,0.013736263736263736,0.09090909090909091,0.1,0,0.05982905982905983,0.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998856782913208,9.089799277717248e-5,7.786526111885905e-6,1.560904274811037e-5,1.532981732452754e-4,0,Keidean Coleman,0,15839,15,Brisbane Lions,2020,0
8,3,6,14,8,57,0,0,0,1,0,1,0,3,0,2,4,9,0,0,0,0,0,82,43,48,0,0,3,133,5,0,0,0,0,0,0,4,5,2,4,0,0,0,0,8,1.8,0,0,1,0,52,12,3,30,0,0,0,0,49,0.02318840579710145,0.01910828025477707,0.03333333333333333,0.02666666666666667,0,0,0.015873015873015872,0.013888888888888888,0,0.020942408376963352,0.02821316614420063,0,0,0,0.05555555555555555,0.030303030303030304,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9999126195907593,6.950674287509173e-5,1.407981471857056e-5,3.8034193039493402e-6,1.0907663022408087e-4,0,Brent Daniels,0,15858,18,Greater Western Sydney,2020,0
9,3,4,13,10,77,0,0,0,3,1,0,1,2,0,0,2,12,0,0,4,1,0,74,56,70,1,0,0,262,4,1,0,1,2,1,0,10,6,0,1,0,0,0,0,19,5,0,0,0,3,16,11,10,71,0,0,0,0,20,0.03308823529411765,0.02830188679245283,0.013888888888888888,0.023214285714285715,0,0,0.036585365853658534,0,0.02,0.010638297872340425,0.0326975476839237,0,0,0,0.0425531914893617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9997898936271667,1.8135615391656756e-4,1.8438371625961736e-5,1.0279631169396453e-5,2.490717906766804e-4,0,Conor Glass,0,15826,14,Hawthorn,2020,0
20,9,6,26,22,85,0,0,0,0,3,3,0,5,1,0,6,17,0,0,0,3,1,77,100,118,0,0,5,542,5,5,0,0,0,0,0,1,16,0,5,0,0,0,0,5,5.5,0,1,1,0,8,10,4,34,0,0,4,0,77,0.05952380952380952,0.06766917293233082,0.02666666666666667,0.04634581105169341,0,0,0,0.0375,0,0.030456852791878174,0.05,0,0,0.2,0.03968253968253968,0.041666666666666664,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6494221091270447,0.1829053908586502,0.13653220236301422,0.031140288338065147,0.5493906605988741,0,Jayden Short,0,15749,6,Richmond,2020,0
14,6,8,22,17,77,1,0,0,3,2,5,2,2,2,1,10,12,1,0,0,0,1,83,93,140,2,0,5,473,2,3,1,0,0,2,1,7,12,1,6,0,0,0,1,11,10.7,0,0,2,0,3,5,7,47,1,1,3,0,252,0.04242424242424243,0.0410958904109589,0.04,0.04150943396226415,0.1111111111111111,0,0.03614457831325301,0.0641025641025641,0.0392156862745098,0.050505050505050504,0.03761755485893417,0.125,0,0.125,0.0196078431372549,0.08695652173913043,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872223898768425,0.1036730632185936,0.03656977042555809,0.7725348472595215,2.4944171458482742,3,Patrick Dangerfield,0,15708,4,Geelong,2020,3
5,1,3,8,4,50,1,1,0,0,0,0,2,3,0,1,4,5,0,0,2,0,0,81,28,35,0,2,3,81,3,0,0,0,0,1,0,2,1,2,3,0,0,0,0,14,3.6,0,1,3,0,28,7,5,37,0,0,0,0,12,0.016722408026755852,0.008771929824561403,0.01171875,0.014414414414414415,0.09090909090909091,0.08333333333333333,0,0,0.031746031746031744,0.0182648401826484,0.015197568389057751,0,0,0,0.03,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999163150787354,5.963055809843354e-5,6.8098124756943434e-6,1.7198284695041366e-5,1.2484503713494632e-4,0,Tyson Stengle,0,15822,13,Adelaide,2020,0
