kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,rolling_avg_votes_per_game,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcome_Loss,match_outcome_Win,player_position_BPR,player_position_C,player_position_CHB,player_position_CHF,player_position_FB,player_position_FF,player_position_FPL,player_position_FPR,player_position_HBFL,player_position_HBFR,player_position_HFFL,player_position_HFFR,player_position_INT,player_position_R,player_position_RK,player_position_RR,player_position_SUB,player_position_WL,player_position_WR,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
9,7,3,12,9,75,3,1,0,4,0,2,0,3,0,2,8,6,3,4,2,0,1,89,83,103,0,0,6,216,3,2,4,0,0,3,2,1,6,3,5,0,0,0,3,12,17,0,0,5,1,41,9,9,63,0,0,0,0,40,0.041666666666666664,0.021479713603818614,0.03867403314917127,0.010238907849829351,0.016853932584269662,0.13636363636363635,0.07692307692307693,0.03076923076923077,0.019801980198019802,0,0.03018867924528302,0.013824884792626729,0.14285714285714285,0.2,0.07692307692307693,0.02142857142857143,0.11363636363636363,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09829217195510864,Darcy Fogarty,0,16094,22,Adelaide,2021,39,0
8,3,4,12,9,75,0,0,0,0,2,2,0,1,0,1,3,10,0,0,1,0,1,81,38,52,0,0,6,279,2,4,0,0,0,0,0,12,6,0,3,0,0,0,0,16,7.9,0,1,0,0,25,14,11,80,0,0,0,0,33,0,0.017977528089887642,0.01775147928994083,0.013289036544850499,0.0160857908847185,0,0,0,0.017543859649122806,0,0.010526315789473684,0.022988505747126436,0,0,0.047619047619047616,0.014184397163120567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.595327963121235e-4,Tom Williamson,0,15875,1,Carlton,2021,32,0
7,4,4,11,8,73,1,0,0,5,1,2,0,4,1,2,2,9,0,1,0,0,1,84,62,47,0,0,3,164,4,0,2,0,0,0,0,13,5,1,1,0,0,0,0,25,4.5,0,0,1,0,54,11,9,65,0,0,0,0,24,0,0.016129032258064516,0.02185792349726776,0.012232415902140673,0.01445466491458607,0.037037037037037035,0,0.049019607843137254,0.020618556701030927,0,0.007168458781362007,0.018867924528301886,0,0.03571428571428571,0.058823529411764705,0.031007751937984496,0.02040816326530612,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4.6956894220784307e-4,Will Snelling,0,15887,2,Essendon,2021,23,0
8,4,5,13,11,85,1,0,0,7,1,2,1,0,1,0,5,7,0,1,0,0,1,79,81,83,0,1,4,236,1,0,1,0,0,1,0,8,6,0,4,0,0,0,1,27,14.7,0,0,1,0,33,13,18,121,0,0,0,0,9,0,0.019464720194647202,0.025806451612903226,0.019762845849802372,0.01957831325301205,0.03571428571428571,0,0.07777777777777778,0.017699115044247787,0.014925373134328358,0.0211864406779661,0.017456359102244388,0,0.04,0.05263157894736842,0.00819672131147541,0.016666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0399099700152874,Sam Wicks,0,15886,2,Sydney,2021,37,0
8,10,5,13,12,92,0,0,0,1,3,0,1,3,1,2,5,10,2,0,6,0,0,95,63,86,0,1,2,133,1,7,0,1,3,0,0,8,8,0,3,0,0,4,0,8,9.7,0,1,0,6,62,8,8,56,0,0,0,0,45,0,0.017316017316017316,0.040983606557377046,0.017064846416382253,0.017218543046357615,0,0,0.009523809523809525,0,0.015625,0.0199203187250996,0.01972386587771203,0.11764705882352941,0,0,0.007194244604316547,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023082274943590164,Sam Collins,0,15913,5,Gold Coast,2021,18,0
11,4,4,15,12,80,0,0,0,0,2,3,2,3,0,1,5,10,0,0,4,0,0,76,50,52,0,2,1,249,3,1,0,0,2,0,0,3,8,0,5,0,0,0,0,8,2.9,0,0,0,3,1,11,8,59,0,0,0,0,54,0.04,0.023504273504273504,0.017167381974248927,0.013986013986013986,0.01989389920424403,0,0,0,0.030927835051546393,0.03125,0.019157088122605363,0.02074688796680498,0,0,0,0.02097902097902098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010971483774483204,Riley Bonner,0,15977,10,Port Adelaide,2021,26,0
11,4,7,18,15,83,0,0,0,9,5,2,0,1,3,1,8,9,2,0,5,0,0,91,95,111,0,0,4,342,1,8,0,3,4,0,0,15,9,0,2,0,0,3,0,17,12.2,0,1,0,4,4,9,7,51,0,0,0,0,49,0,0.026128266033254157,0.030303030303030304,0.024390243902439025,0.025423728813559324,0,0,0.0703125,0.02247191011235955,0,0.02711864406779661,0.023017902813299233,0.09523809523809523,0,0,0.006211180124223602,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19490084052085876,Tom Doedee,0,16082,21,Adelaide,2021,15,0
5,4,4,9,8,89,0,0,0,3,2,0,0,0,0,0,1,8,1,0,0,0,0,75,47,45,0,0,0,67,0,1,0,0,1,0,0,6,4,0,0,0,0,1,0,7,4.2,0,0,0,0,14,13,13,91,0,0,0,0,51,0,0.012106537530266344,0.02040816326530612,0.015444015444015444,0.013392857142857142,0,0,0.03409090909090909,0,0,0.004149377593360996,0.018691588785046728,0.05555555555555555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.001166542642749846,Robbie Fox,0,16093,22,Sydney,2021,29,0
8,1,8,16,11,69,0,0,0,3,1,2,2,1,0,1,7,9,0,0,1,0,1,83,52,77,0,2,4,244,2,2,0,0,0,1,0,9,4,1,7,0,0,0,0,19,7.7,0,2,0,1,97,9,5,39,0,0,0,0,72,0.7868852459016393,0.02040816326530612,0.0058823529411764705,0.03418803418803419,0.025559105431309903,0,0,0.03125,0.02247191011235955,0.02666666666666667,0.02834008097165992,0.02368421052631579,0,0,0.07692307692307693,0.016666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.017512179911136627,Tim Kelly,0,15921,6,West Coast,2021,28,0
13,6,6,19,11,58,0,1,19,2,0,6,1,2,0,0,10,10,2,0,2,0,1,81,97,93,1,0,2,338,5,9,0,0,0,1,0,7,6,1,5,5,42.2,5,0,13,13.2,45,1,1,1,39,9,19,123,0,0,1,0,23,0.05,0.031630170316301706,0.031088082901554404,0.02097902097902098,0.027259684361549498,0,0.07142857142857142,0.024390243902439025,0.057692307692307696,0.015151515151515152,0.0411522633744856,0.02197802197802198,0.1111111111111111,0,0.043478260869565216,0.04,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.27680426836013794,Mabior Chol,0,16000,12,Richmond,2021,9,0
