kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,pred_rank,predicted_votes
9,4,6,15,10,67,0,0,0,0,0,1,0,1,1,0,2,13,0,0,0,0,0,79,52,47,0,0,3,277,3,2,0,0,1,0,0,5,5,0,1,0,0,0,0,6,5.8,0,0,1,0,39,7,7,49,0,0,0,0,0.02601156069364162,0.027210884353741496,0.019417475728155338,0.022900763358778626,0,0,0,0.012658227848101266,0,0.008264462809917356,0.03140096618357488,0,0,0,0.031914893617021274,0.02702702702702703,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.216211088234559e-6,Matthew Suckling,0,15656,2,Western Bulldogs,25,0
13,2,7,20,15,75,1,0,0,4,0,3,3,3,1,1,8,12,0,0,0,0,0,76,79,97,2,1,5,346,4,0,1,0,0,0,0,8,9,0,4,0,0,0,0,18,12.5,0,0,1,0,39,4,14,88,0,0,0,0,0.03757225433526012,0.013605442176870748,0.022653721682847898,0.030534351145038167,0.047619047619047616,0,0.03773584905660377,0.0379746835443038,0.04918032786885246,0.03305785123966942,0.028985507246376812,0,0,0,0.0425531914893617,0.02702702702702703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0972689688205719,Dan Hannebery,0,15656,2,St Kilda,9,0
6,3,1,7,6,86,0,0,0,1,3,1,0,2,1,1,2,6,0,0,7,0,1,87,31,54,0,0,3,68,0,1,0,0,1,0,0,4,5,0,0,0,0,0,0,6,6,0,1,0,6,39,4,14,88,0,0,0,0,0.017341040462427744,0.02040816326530612,0.003236245954692557,0.010687022900763359,0,0,0.009433962264150943,0.012658227848101266,0,0.008264462809917356,0.014492753623188406,0,0,0.06666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.387550336308777e-4,Jake Carlisle,0,15656,2,St Kilda,20,0
4,2,8,12,9,75,1,0,0,1,0,2,1,2,2,0,5,7,1,1,1,0,1,81,46,64,0,1,4,98,1,0,1,0,0,2,1,0,3,0,2,0,0,0,0,6,7.5,0,0,1,0,39,7,7,49,0,0,0,0,0.011560693641618497,0.013605442176870748,0.025889967637540454,0.0183206106870229,0.047619047619047616,0,0.009433962264150943,0.02531645569620253,0.01639344262295082,0.02066115702479339,0.016908212560386472,0.058823529411764705,0.05,0.06666666666666667,0.010638297872340425,0.02702702702702703,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.954146523028612e-4,Mitch Wallis,0,15656,2,Western Bulldogs,23,0
10,3,9,19,12,63,0,0,0,1,1,2,2,5,1,1,3,16,0,1,0,1,1,78,59,57,0,2,3,222,5,0,0,1,1,0,0,8,6,1,1,0,0,0,1,18,0.5,0,0,1,0,39,4,14,88,0,0,0,0,0.028901734104046242,0.02040816326530612,0.02912621359223301,0.02900763358778626,0,0,0.009433962264150943,0.02531645569620253,0.03278688524590164,0.012396694214876033,0.03864734299516908,0,0.05,0.06666666666666667,0.05319148936170213,0.02702702702702703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.002733289496973157,Bradley Hill,0,15656,2,St Kilda,35,0
3,1,8,11,7,64,0,1,1,3,0,2,2,4,1,3,5,6,0,0,0,0,0,87,34,39,1,1,2,84,2,2,3,0,0,1,0,0,1,1,3,0,9.1,0,1,6,2,11,1,1,0,39,7,7,49,0,0,0,0,0.008670520231213872,0.006802721088435374,0.025889967637540454,0.016793893129770993,0,0.1111111111111111,0.02830188679245283,0.02531645569620253,0.03278688524590164,0.02066115702479339,0.014492753623188406,0,0,0,0.02127659574468085,0.02702702702702703,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004555944819003344,Josh Bruce,0,15656,2,Western Bulldogs,37,0
13,4,4,17,12,71,0,0,0,0,5,0,0,5,2,3,1,17,0,0,2,2,0,83,52,46,0,0,1,375,2,2,0,1,2,0,0,1,8,0,0,0,0,1,0,2,-0.3,0,1,0,2,39,7,7,49,0,0,0,0,0.03757225433526012,0.027210884353741496,0.012944983818770227,0.025954198473282442,0,0,0,0,0,0.004132231404958678,0.04106280193236715,0,0,0,0.02127659574468085,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0018979122396558523,Hayden Crozier,0,15656,2,Western Bulldogs,31,0
7,1,7,14,11,79,0,0,0,3,2,1,0,1,0,0,2,10,0,1,1,0,0,86,50,74,0,0,0,178,1,3,0,0,0,0,0,10,5,0,2,0,0,0,0,17,8.3,0,0,0,0,39,7,7,49,0,0,0,0,0.02023121387283237,0.006802721088435374,0.022653721682847898,0.021374045801526718,0,0,0.02830188679245283,0.012658227848101266,0,0.008264462809917356,0.024154589371980676,0,0.05,0,0.010638297872340425,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.216211088234559e-6,Jason Johannisen,0,15656,2,Western Bulldogs,26,0
7,3,10,17,14,82,0,0,1,4,0,4,1,4,2,2,6,9,1,1,1,0,1,73,63,89,0,1,3,183,2,3,2,0,0,0,0,4,4,0,3,1,100,0,0,14,12.6,1,1,0,0,39,7,7,49,0,0,0,0,0.02023121387283237,0.02040816326530612,0.032362459546925564,0.025954198473282442,0,0,0.03773584905660377,0.05063291139240506,0.01639344262295082,0.024793388429752067,0.021739130434782608,0.058823529411764705,0.05,0.06666666666666667,0.02127659574468085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.216211088234559e-6,Lin Jong,0,15656,2,Western Bulldogs,27,0
14,7,10,24,15,63,0,0,0,6,3,1,5,1,0,0,7,16,0,0,2,0,0,80,107,111,3,2,6,268,4,3,0,1,1,0,0,11,8,1,4,0,0,1,0,25,10,0,1,0,1,39,4,14,88,0,0,0,0,0.04046242774566474,0.047619047619047616,0.032362459546925564,0.0366412213740458,0,0,0.05660377358490566,0.012658227848101266,0.08196721311475409,0.028925619834710745,0.03864734299516908,0,0,0,0.0425531914893617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.15035630762577057,Sebastian Ross,0,15656,2,St Kilda,6,0
