player_name,player_team,actual_votes,predicted_votes,coaches_votes,prediction_sum,votes_accuracy
Jordan Dawson,Sydney,0,5,25,5,-5
Lachie Whitfield,Greater Western Sydney,0,5,23,5,-5
Oscar McInerney,Brisbane Lions,0,5,23,5,-5
Paul Seedsman,Adelaide,0,5,26,5,-5
Tom Papley,Sydney,0,5,26,5,-5
Brayden Maynard,Collingwood,0,4,28,4,-4
Caleb Serong,Fremantle,0,4,22,4,-4
Ed Curnow,Carlton,0,4,15,4,-4
Elliot Yeo,West Coast,0,4,9,4,-4
Harris Andrews,Brisbane Lions,0,4,25,4,-4
Jack Higgins,St Kilda,0,4,14,4,-4
Jordan De Goey,Collingwood,0,4,0,4,-4
Josh Dunkley,Western Bulldogs,0,4,19,4,-4
Lachlan Sholl,Adelaide,0,4,11,4,-4
Patrick Cripps,Carlton,0,4,23,4,-4
Peter Wright,Essendon,0,4,27,4,-4
Sam Menegola,Geelong,0,4,19,4,-4
Steven May,Melbourne,0,4,27,4,-4
Tim Membrey,St Kilda,0,4,17,4,-4
Tom Hickey,Sydney,0,4,37,4,-4
Tom J. Lynch,Richmond,0,4,0,4,-4
Aaron Naughton,Western Bulldogs,0,3,28,3,-3
Aliir Aliir,Port Adelaide,0,3,34,3,-3
Bradley Hill,St Kilda,0,3,13,3,-3
Caleb Daniel,Western Bulldogs,0,3,20,3,-3
Charlie Cameron,Brisbane Lions,0,3,29,3,-3
Daniel Howe,Hawthorn,0,3,9,3,-3
Devon Smith,Essendon,0,3,10,3,-3
Dion Prestia,Richmond,0,3,12,3,-3
Eric Hipwood,Brisbane Lions,0,3,16,3,-3
Hugh Greenwood,Gold Coast,0,3,16,3,-3
Jack Bowes,Gold Coast,0,3,5,3,-3
Jack Darling,West Coast,0,3,23,3,-3
Jaidyn Stephenson,North Melbourne,0,3,19,3,-3
James Aish,Fremantle,0,3,10,3,-3
Jamie Cripps,West Coast,0,3,13,3,-3
Jamie Elliott,Collingwood,0,3,15,3,-3
Josh Bruce,Western Bulldogs,0,3,16,3,-3
Josh P. Kennedy,Sydney,0,3,16,3,-3
Kane Lambert,Richmond,0,3,17,3,-3
Lachie Neale,Brisbane Lions,0,3,17,3,-3
Luke Shuey,West Coast,0,3,9,3,-3
Mitch Robinson,Brisbane Lions,0,3,9,3,-3
Nick Larkey,North Melbourne,0,3,11,3,-3
Noah Anderson,Gold Coast,0,3,23,3,-3
Oliver Florent,Sydney,0,3,12,3,-3
Oscar Allen,West Coast,0,3,16,3,-3
Rory Sloane,Adelaide,0,3,18,3,-3
Sam Wicks,Sydney,0,3,10,3,-3
Scott Pendlebury,Collingwood,0,3,17,3,-3
Shane Edwards,Richmond,0,3,5,3,-3
Shannon Hurn,West Coast,0,3,20,3,-3
Trent Cotchin,Richmond,0,3,9,3,-3
Will Hayward,Sydney,0,3,9,3,-3
Zac Bailey,Brisbane Lions,0,3,28,3,-3
Zak Butters,Port Adelaide,0,3,12,3,-3
Zak Jones,St Kilda,0,3,12,3,-3
Adam Cerra,Fremantle,0,2,21,2,-2
Andrew McGrath,Essendon,0,2,15,2,-2
Anthony McDonald-Tipungwuti,Essendon,0,2,12,2,-2
Archie Perkins,Essendon,0,2,5,2,-2
Bachar Houli,Richmond,0,2,5,2,-2
Bailey Dale,Western Bulldogs,0,2,28,2,-2
Ben King,Gold Coast,0,2,14,2,-2
Brandon Ellis,Gold Coast,0,2,19,2,-2
Changkuoth Jiath,Hawthorn,0,2,15,2,-2
Charlie Dixon,Port Adelaide,0,2,30,2,-2
Cody Weightman,Western Bulldogs,0,2,5,2,-2
Cooper Sharman,St Kilda,0,2,8,2,-2
