Feature,Gain,Cover,Frequency,na_prop,zero_prop
coaches_votes,0.6338142740072905,0.03156361367647199,0.02570981444220881,0,0.8551228818314442
afl_fantasy_score,0.056790295037618364,0.03082591191124571,0.027945450480661747,0,0.0013466502076085736
supercoach_score,0.03336478783163864,0.021520741929302728,0.03264028616141292,0,0.0013466502076085736
disposals_prop,0.02061702207522011,0.0360478735098195,0.030628213726805277,0,0.0019077544607788127
margin,0.018916101139123977,0.015847443063221448,0.026156941649899398,0,0.015037593984962405
contested_possessions_prop,0.013334095548647324,0.04019336573033886,0.03286384976525822,0,0.016720906744473123
goals_prop,0.010526106637467047,0.02574986740423904,0.018332215515314106,0,0.6798339131410616
goals,0.00861455545252337,0.008170298478968706,0.0053655264922870555,0,0.6798339131410616
kicks_prop,0.008493488946319403,0.033857176280197514,0.03867650346523586,0,0.00662103018740882
shots_at_goal_prop,0.008467632585473684,0.03453788745222406,0.018108651911468814,0,0.49803613511390415
turnovers_prop,0.008328096114808746,0.027760770781011086,0.023697742007601164,0,0.08225788351475705
uncontested_possessions_prop,0.008137878374721035,0.038724666975556855,0.026604068857589983,0,0.006733251038042868
clearances_prop,0.007781077413390174,0.03488706511148807,0.02414486921529175,0,0.45931994164515766
num_games,0.007749744606839375,0.017447061385044326,0.02638050525374469,0,0
rating_points,0.007128123698304333,0.03603111157064311,0.02682763246143528,0.001122208506340478,0.002583979328165375
marks_prop,0.00682761763851632,0.02710582006287668,0.03219315895372234,0,0.04522500280552127
handballs_prop,0.006028993280729159,0.04466051074157995,0.027945450480661747,0,0.019301986309056222
pressure_acts,0.005344982230095306,0.022713309791336796,0.018779342723004695,0,0.003366625519021434
metres_gained,0.0053319301424129524,0.017574981447179953,0.018555779119159403,0,0.0025810795645830995
tackles_prop,0.0053275967336818275,0.04298819853617103,0.02526268723451822,0,0.1406127258444619
inside_fifties_prop,0.005188149872192618,0.0313097144083159,0.02079141515761234,0,0.17966558186511053
team_score,0.005020464702240473,0.009409094004836614,0.012072434607645875,0,0
time_on_ground_percentage,0.004851180385133764,0.006833048615622621,0.016990833892242343,0,0
effective_disposals,0.004406920039954165,0.007804888204923352,0.012743125419181758,0,0.004152171473459768
marks_inside_fifty_prop,0.004373278359788191,0.01758433284482573,0.011848871003800582,0,0.7001458871058243
intercepts,0.004112895077120219,0.012741014630173396,0.012743125419181758,0,0.1485804062394793
contest_def_one_on_ones,0.0038228538926758917,0.0019060971465533394,0.004024144869215292,0,0.6701829199865335
